 	la	tombe	de	notre	père	se	trouve	dans	quel	cimetière	</S>
a66	0.203499	0.120253	0.12308	0.122186	0.0892578	0.0896803	0.114529	0.0623105	0.0376174	0.0203598	0.0172277
a87	0.306474	0.147114	0.147852	0.0752008	0.038542	0.0279551	0.0507692	0.0730432	0.0622136	0.0417045	0.0291315
a23	0.199249	0.251431	0.222712	0.120603	0.0558868	0.0316469	0.028763	0.0259639	0.0187489	0.0182888	0.0267061
a99	0.227061	0.361153	0.189167	0.0519068	0.0246912	0.0175759	0.0191932	0.0316459	0.0261369	0.0220834	0.029386
a70	0.244065	0.29741	0.162116	0.0683333	0.0464612	0.034349	0.0291559	0.0364489	0.0314354	0.0227793	0.0274463
a35	0.357721	0.267412	0.11838	0.0783016	0.0688008	0.0463027	0.025904	0.0195499	0.00885488	0.0051061	0.00366776
a94	0.322345	0.231981	0.110832	0.0877692	0.0840417	0.0651198	0.0376327	0.0318559	0.0161007	0.00753689	0.00478471
a20	0.169373	0.194263	0.156742	0.151245	0.134633	0.0839491	0.041302	0.0353643	0.019945	0.00891294	0.00427084
a47	0.186876	0.146756	0.102351	0.116301	0.132137	0.11187	0.0698846	0.0583583	0.0451842	0.0205815	0.00970042
a36	0.10157	0.072894	0.0876994	0.142883	0.178233	0.127081	0.0710372	0.0704621	0.0757631	0.0487889	0.0235881
a85	0.0606496	0.049923	0.077119	0.165962	0.214201	0.144323	0.0727017	0.062432	0.0652286	0.0552692	0.0321909
a6	0.0359904	0.0142528	0.0371105	0.104185	0.198549	0.185051	0.126968	0.103056	0.0843656	0.066923	0.0435485
a36	0.0393084	0.0177287	0.0556637	0.141825	0.214947	0.198064	0.150612	0.0890049	0.046023	0.0279842	0.0188385
a43	0.0161079	0.00910024	0.0203455	0.057999	0.14904	0.218541	0.208302	0.119119	0.0806525	0.061211	0.0595817
a56	0.0138454	0.00627977	0.0112358	0.033268	0.0954431	0.164673	0.19924	0.115061	0.117655	0.117079	0.126219
a44	0.012173	0.00575912	0.00975279	0.0279028	0.0829933	0.14375	0.201257	0.130798	0.154509	0.120655	0.11045
a31	0.00976322	0.00379045	0.00675556	0.0175906	0.0502142	0.0987096	0.166679	0.135717	0.182148	0.149702	0.178931
a0	0.0125618	0.00600959	0.00764582	0.0147973	0.026699	0.047618	0.0920796	0.098969	0.167038	0.193116	0.333466
a21	0.0195545	0.011888	0.0119374	0.0176234	0.0239314	0.034886	0.0571044	0.0925319	0.166557	0.18411	0.379876
a5	0.00174935	0.00117344	0.00116846	0.00173616	0.00301884	0.00642045	0.017945	0.0315761	0.119247	0.267614	0.548351
a21	0.000869681	0.000479625	0.000661169	0.00117704	0.00228128	0.00494168	0.0151808	0.0432152	0.165983	0.268328	0.496883
a12	0.000707994	0.000546677	0.00074176	0.00101958	0.00129659	0.00198736	0.00545489	0.0153333	0.0702921	0.207322	0.695297
a31	0.000469653	0.000351096	0.000461438	0.000613366	0.000815264	0.00125501	0.003239	0.0110132	0.0631222	0.204576	0.714084
a88	0.000625177	0.000428524	0.000410062	0.000440614	0.000747952	0.00157376	0.00418696	0.0116791	0.0672512	0.202496	0.71016
a71	0.00162176	0.0007996	0.000933171	0.00144072	0.0022995	0.00467297	0.0114786	0.022246	0.0827321	0.187976	0.6838
a25	0.024117	0.0115952	0.00784492	0.00947116	0.0157892	0.0254664	0.0472564	0.048914	0.0813109	0.210848	0.517387
a87	0.0879558	0.0385724	0.0226281	0.0266183	0.0338045	0.0387735	0.0604561	0.0596092	0.0765301	0.177515	0.377537
a23	0.268073	0.159262	0.111939	0.0932514	0.0735424	0.0576415	0.0750793	0.0617582	0.0355016	0.0320946	0.0318571
a87	0.120754	0.0884529	0.0694061	0.0532131	0.0368887	0.0209451	0.0318314	0.0384304	0.0586368	0.154714	0.326728
</S>	0.0217632	0.0175496	0.0186816	0.0176623	0.0130488	0.00804636	0.0172512	0.0266644	0.074384	0.218619	0.56633
