 	il	attache	le	cabri	a	l'	arbre	</S>
a23	0.33874	0.137633	0.0988336	0.07726	0.0698537	0.079414	0.095888	0.102377
a87	0.364414	0.16751	0.105733	0.074292	0.0624758	0.0652929	0.076158	0.0841239
a23	0.199973	0.140734	0.118584	0.0988992	0.0938266	0.102932	0.117993	0.127058
a20	0.164811	0.099926	0.072232	0.0669977	0.086508	0.131696	0.179233	0.198596
a30	0.458563	0.152073	0.0843126	0.080784	0.0675498	0.0612475	0.0528457	0.0426243
a37	0.396513	0.259968	0.155304	0.0970844	0.0438592	0.0220597	0.0145885	0.0106228
a24	0.300625	0.256002	0.17808	0.126551	0.0625809	0.0336998	0.0238971	0.0185643
a32	0.243371	0.240414	0.204778	0.157436	0.0821273	0.0339429	0.0208382	0.0170921
a25	0.204667	0.233498	0.205543	0.154222	0.0863586	0.0467131	0.0359019	0.0330958
a11	0.141251	0.194293	0.211801	0.168339	0.104848	0.0607022	0.0556538	0.0631118
a24	0.0999378	0.139349	0.179865	0.167387	0.132541	0.0890731	0.0877982	0.10405
a98	0.117075	0.156007	0.183393	0.183154	0.150254	0.0845886	0.064553	0.060976
a75	0.109692	0.154222	0.196561	0.198442	0.152517	0.0763909	0.0548025	0.0573731
a41	0.114578	0.156021	0.184383	0.182415	0.147358	0.08599	0.0639223	0.0653323
a35	0.0755945	0.112935	0.162497	0.174261	0.157508	0.112369	0.0962659	0.10857
a38	0.0633688	0.0892638	0.155285	0.163698	0.155452	0.118764	0.110872	0.143297
a76	0.0449607	0.0639783	0.122945	0.138172	0.149691	0.137119	0.146761	0.196372
a41	0.0501604	0.0595833	0.0981867	0.12028	0.141146	0.142504	0.158202	0.229938
a32	0.0289631	0.0380518	0.0713353	0.0920141	0.127698	0.163196	0.206174	0.272567
a31	0.0251369	0.02873	0.0478557	0.0618313	0.103279	0.164615	0.240182	0.328371
a24	0.0184459	0.0197164	0.026664	0.0378278	0.0720761	0.138946	0.248851	0.437473
a25	0.00722502	0.00780702	0.0117952	0.0179084	0.0389564	0.0990636	0.256604	0.560641
a10	0.0196915	0.0190595	0.0230982	0.0277076	0.0493711	0.109211	0.252741	0.49912
a24	0.0109467	0.0122066	0.0197862	0.024703	0.0478258	0.0993067	0.237539	0.547686
a41	0.00788203	0.00645456	0.00891461	0.0125472	0.0270804	0.0747475	0.231219	0.631155
a18	0.00292938	0.00251802	0.00397438	0.00726883	0.0220988	0.0886243	0.289281	0.583306
a24	0.00668958	0.00496009	0.00638772	0.00854408	0.0194063	0.0631442	0.230602	0.660266
a31	0.00495136	0.00285093	0.00375409	0.00552749	0.013648	0.0500478	0.209403	0.709817
a32	0.00383411	0.003033	0.00415963	0.00605169	0.0146274	0.051941	0.215013	0.70134
a71	0.0050936	0.00306521	0.0036437	0.00555342	0.0156292	0.0627823	0.224572	0.67966
a38	0.0105332	0.00613394	0.00635782	0.00816874	0.0185507	0.0654593	0.222708	0.662088
a76	0.00550677	0.00278406	0.0034045	0.00518213	0.0163742	0.0689586	0.232095	0.665695
a73	0.00417821	0.00241432	0.00392685	0.00721149	0.021349	0.0775545	0.251088	0.632278
a84	0.00347706	0.002341	0.00338009	0.00504708	0.0145113	0.0559282	0.232031	0.683284
a57	0.00277839	0.00202554	0.00296429	0.00476516	0.0147551	0.0634185	0.224188	0.685105
a87	0.00702207	0.00344361	0.00491998	0.00847872	0.0258918	0.0936149	0.25883	0.597798
</S>	0.00743524	0.00354909	0.00562375	0.0110559	0.0330692	0.110426	0.266507	0.562334
