 	edzunza	est	un	poisson	qu'	on	trouve	dans	le	ruisseau	vouma	pendant	la	grande	saison	des	pluies	</S>
a87	0.231511	0.118992	0.0559824	0.0697677	0.0492716	0.0505368	0.0669052	0.0686529	0.0572238	0.0503007	0.0324031	0.0292481	0.0223549	0.0226826	0.0225238	0.0192121	0.0161573	0.0162744
a23	0.109099	0.110243	0.0493824	0.0503811	0.0445254	0.0334361	0.0339544	0.0318132	0.0246022	0.0190477	0.0159683	0.0191775	0.0400853	0.0626081	0.102008	0.0765361	0.0828366	0.0942957
a97	0.0947591	0.159096	0.112049	0.0727772	0.0552559	0.0415376	0.0393944	0.0421178	0.0420074	0.0362261	0.0302686	0.0296567	0.0359325	0.0408049	0.0510098	0.0345507	0.0355941	0.0469618
a87	0.0943396	0.125544	0.104067	0.0821289	0.0608616	0.0462904	0.0309882	0.0284479	0.0278751	0.0244102	0.0218969	0.0241378	0.0337633	0.0454582	0.0686715	0.0517037	0.0559497	0.0734658
a23	0.145359	0.151914	0.122496	0.0813014	0.055226	0.0355956	0.0224467	0.0213952	0.0220063	0.0209685	0.0218609	0.023575	0.0309191	0.0398532	0.060209	0.0444539	0.0445273	0.0558933
a62	0.14035	0.150817	0.0936287	0.0530349	0.0347979	0.0254907	0.0190521	0.0206994	0.0214487	0.0219804	0.0217711	0.0253132	0.0418986	0.0703366	0.0971048	0.0497152	0.0469729	0.0655873
a83	0.270433	0.295473	0.181537	0.068656	0.0375812	0.0212065	0.0164314	0.0188626	0.0155679	0.014189	0.00790447	0.00689084	0.00674504	0.00773517	0.00783614	0.00795673	0.00690606	0.0080878
a24	0.245282	0.194553	0.154974	0.0752942	0.0539479	0.0398541	0.0329917	0.033979	0.0307745	0.0278174	0.0183025	0.0155788	0.0136562	0.0136221	0.0119273	0.0119354	0.0116712	0.0138395
a62	0.242779	0.154008	0.173641	0.0940037	0.066217	0.0510406	0.0366205	0.0323202	0.0297482	0.0253995	0.0181236	0.0145947	0.0106594	0.00950355	0.00805873	0.00943445	0.0105016	0.0133458
a70	0.241538	0.139102	0.175222	0.0972669	0.0757648	0.0635447	0.0443185	0.0377714	0.0317504	0.0252703	0.0144813	0.0104525	0.00670459	0.00583204	0.00522983	0.00734339	0.00824163	0.0101661
a75	0.141539	0.115797	0.15717	0.120624	0.0962946	0.0842543	0.0599055	0.0488023	0.0417074	0.0327016	0.0216442	0.0160735	0.0102183	0.00848543	0.00743798	0.0101804	0.0118284	0.0153365
a70	0.111159	0.0777116	0.118546	0.106587	0.0967058	0.102085	0.0777525	0.0653924	0.060293	0.0462236	0.0296433	0.0192869	0.0103202	0.00782276	0.00837904	0.0150422	0.0204405	0.0266089
a61	0.0967251	0.090715	0.150005	0.131683	0.105872	0.0979324	0.074922	0.0595	0.0503662	0.0378488	0.0246412	0.0175428	0.0103377	0.0078987	0.00677252	0.00965914	0.011825	0.0157541
a31	0.0899949	0.0688163	0.127814	0.115443	0.105738	0.103535	0.0909615	0.0746294	0.0650204	0.0504657	0.0308809	0.0214341	0.0104421	0.00705247	0.00572771	0.00864834	0.0104501	0.0129456
a0	0.0698493	0.0536722	0.0904001	0.105575	0.103512	0.112797	0.106361	0.088181	0.0777766	0.0611277	0.0394489	0.0273752	0.0134413	0.00828652	0.00638932	0.00998694	0.0115315	0.0142894
a11	0.0399949	0.0364657	0.0621044	0.0974964	0.103629	0.125713	0.119714	0.0988225	0.087895	0.0683929	0.0433856	0.0316085	0.0171857	0.0112804	0.00991469	0.0135498	0.0145914	0.0182567
a21	0.0275863	0.023724	0.0469828	0.0899887	0.105996	0.14189	0.136153	0.11031	0.0952763	0.074442	0.0451791	0.0333544	0.0168356	0.00994568	0.00738831	0.00919303	0.0108087	0.0149464
a85	0.0513424	0.0315495	0.0510846	0.0815786	0.0979918	0.127635	0.135083	0.11072	0.0909573	0.0732121	0.0479014	0.0340374	0.0185773	0.0109085	0.00687993	0.00903522	0.010091	0.0114155
a25	0.0527759	0.0351543	0.0448228	0.0628052	0.0651403	0.0892748	0.0870991	0.0804907	0.0765108	0.0675883	0.0584888	0.0444285	0.0344819	0.0276339	0.0241063	0.0405507	0.0499842	0.0586632
a44	0.0253516	0.0202472	0.0261302	0.0487084	0.0592017	0.0960439	0.107133	0.101926	0.0980309	0.0841386	0.0696348	0.0468944	0.0309011	0.0226068	0.0202371	0.0383827	0.0487229	0.0557088
a93	0.0172204	0.0126258	0.016936	0.0306102	0.0447733	0.091107	0.124861	0.127284	0.133256	0.112733	0.0866097	0.0571556	0.0316806	0.0181555	0.0127185	0.0201179	0.027781	0.034374
a90	0.0131865	0.0100741	0.0151594	0.0267503	0.0384373	0.0861814	0.122729	0.126989	0.137819	0.118539	0.0919346	0.0648546	0.0348285	0.0197065	0.0131625	0.0180817	0.0261489	0.0354172
a94	0.0113256	0.00780576	0.0118426	0.0201642	0.0295814	0.0703647	0.103387	0.113738	0.136489	0.120219	0.107077	0.0733085	0.0412192	0.0236003	0.0157743	0.025841	0.0382497	0.050012
a76	0.00789258	0.00626978	0.0093927	0.017432	0.0244384	0.0629052	0.0888895	0.101245	0.135518	0.121925	0.109003	0.0843143	0.0487485	0.0261746	0.017313	0.0286977	0.0449346	0.0649061
a35	0.0204687	0.0151377	0.0186107	0.0230734	0.0252745	0.0424096	0.0525253	0.0619126	0.0886879	0.0869911	0.108379	0.0832737	0.0578621	0.0379819	0.0285003	0.0554749	0.0857952	0.107641
a90	0.0207661	0.0130109	0.0166473	0.0222393	0.0270567	0.0473439	0.0564916	0.0615276	0.0801614	0.0800728	0.0882189	0.0699637	0.0516933	0.0361494	0.0322023	0.0660082	0.09907	0.131377
a56	0.0109283	0.00728759	0.0112055	0.0165074	0.0227609	0.04794	0.0674125	0.0743913	0.102713	0.0983446	0.102063	0.0806693	0.0547056	0.0341881	0.0291926	0.0523115	0.0788067	0.108572
a70	0.0175578	0.00936765	0.0156713	0.0223364	0.0305982	0.0546145	0.0736678	0.0772127	0.101527	0.0944834	0.0955318	0.0748348	0.0498106	0.0330525	0.0298039	0.0523945	0.0730079	0.0945275
a62	0.0067728	0.00506387	0.00776134	0.01246	0.0166438	0.0358459	0.0456706	0.0484209	0.0703849	0.0685124	0.0804282	0.0731242	0.0597009	0.0393086	0.0385562	0.0694721	0.118429	0.203445
a21	0.0107499	0.00580989	0.00861614	0.0132151	0.0198235	0.0375176	0.0535261	0.0587205	0.0846451	0.0827303	0.0934995	0.0829208	0.0680088	0.0486799	0.0425997	0.0612234	0.0884039	0.13931
a85	0.0296475	0.0146022	0.0228312	0.0301359	0.0367264	0.0595728	0.0744251	0.0741548	0.0985942	0.0924239	0.0958081	0.0689746	0.0451994	0.0335305	0.032786	0.0444533	0.0612057	0.0849283
a27	0.0245791	0.0153999	0.022048	0.0299677	0.0360098	0.0498047	0.047188	0.0473828	0.0546964	0.0553487	0.0645058	0.0570404	0.0529178	0.0425298	0.0493653	0.0831192	0.116159	0.151938
a11	0.00432539	0.00316769	0.00410688	0.00671475	0.00997618	0.0224122	0.0322133	0.033809	0.049676	0.0475699	0.0646427	0.0614887	0.0566444	0.0390761	0.0412706	0.0812836	0.156558	0.285065
a75	0.00516939	0.00408176	0.00555746	0.00865479	0.0123279	0.0265665	0.0335818	0.035787	0.0561159	0.0546827	0.0765593	0.0761678	0.0685988	0.0487685	0.0478516	0.0677582	0.125614	0.246156
a90	0.0122728	0.00795921	0.0106923	0.0133718	0.0179057	0.0330778	0.0388887	0.0406946	0.0558891	0.0531787	0.0678273	0.0565005	0.0499498	0.0420571	0.0582844	0.103864	0.14465	0.192937
a96	0.00565236	0.00283942	0.00421299	0.00704113	0.0117271	0.0253993	0.036274	0.0394611	0.0610602	0.0584134	0.0785796	0.0652415	0.0553949	0.0473404	0.0649099	0.101058	0.139066	0.196329
a83	0.00340894	0.00181005	0.0027951	0.00537428	0.00960006	0.0207318	0.0319731	0.0331675	0.0509548	0.0470697	0.0623448	0.0534084	0.0493175	0.0476022	0.0768781	0.116154	0.156922	0.230487
a44	0.00104764	0.000787564	0.00108313	0.00202114	0.00372646	0.00964614	0.0151191	0.0172346	0.0285654	0.0283754	0.043854	0.0446116	0.0495678	0.0465919	0.0718904	0.12535	0.192751	0.317777
