 	je	m'	en	vais	réclamer	ma	dette	</S>
a15	0.281882	0.136113	0.120479	0.132265	0.1211	0.097252	0.0733697	0.0375402
a66	0.10934	0.0855096	0.107921	0.176879	0.19757	0.19059	0.0937555	0.0384348
a87	0.188985	0.0746946	0.0733404	0.103402	0.145055	0.184492	0.13828	0.0917502
a10	0.295372	0.141156	0.101077	0.0976979	0.10363	0.139427	0.0865329	0.0351074
a83	0.315163	0.161342	0.111184	0.0934811	0.0969359	0.125173	0.0685303	0.028191
a31	0.204033	0.163305	0.142826	0.168875	0.117452	0.110634	0.0601294	0.0327458
a75	0.383296	0.285409	0.160348	0.0968193	0.0427363	0.0187256	0.00812854	0.00453708
a96	0.292611	0.290909	0.193364	0.134661	0.0541348	0.0184664	0.00899515	0.00685777
a93	0.208563	0.277798	0.215775	0.165282	0.0712264	0.0272732	0.0185648	0.0155183
a4	0.190078	0.25914	0.222349	0.159251	0.0768269	0.03373	0.0290298	0.0295961
a56	0.13671	0.183889	0.199104	0.156728	0.109168	0.0620169	0.0749752	0.0774092
a61	0.220569	0.206356	0.187133	0.13715	0.100067	0.0580796	0.0497481	0.0408971
a31	0.138477	0.142156	0.178687	0.141271	0.122053	0.0882875	0.102737	0.086332
a43	0.0973619	0.0988059	0.142276	0.122228	0.122169	0.104647	0.159101	0.153412
a56	0.0306074	0.0334557	0.0625911	0.0628148	0.0797489	0.0777835	0.248579	0.404419
a96	0.0493199	0.0448323	0.080951	0.0857077	0.111782	0.115503	0.258705	0.253199
a75	0.0118223	0.0128433	0.028595	0.0432264	0.0746905	0.0985682	0.348821	0.381433
a21	0.015455	0.0143028	0.0271808	0.0354646	0.0569996	0.0754717	0.282713	0.492413
a70	0.0172087	0.0141445	0.0238489	0.0347709	0.0678807	0.112771	0.349558	0.379818
a61	0.00154862	0.00207855	0.00479199	0.0112191	0.0419411	0.101222	0.373584	0.463615
a21	0.0016567	0.00218447	0.00510297	0.0136904	0.0485816	0.110509	0.343152	0.475123
a96	0.00339755	0.00401364	0.00878362	0.0184836	0.0516034	0.105571	0.305635	0.502513
a83	0.00201056	0.00240522	0.00528369	0.0131368	0.0339725	0.0720695	0.255218	0.615904
a13	0.00494564	0.0050737	0.0126584	0.0279406	0.0435246	0.102061	0.24719	0.556606
a9	0.00642932	0.00567825	0.0135996	0.03156	0.0446552	0.125461	0.248039	0.524577
a10	0.0886771	0.0428207	0.0480077	0.0539024	0.0720908	0.150509	0.219442	0.324551
a87	0.142102	0.0692571	0.0617799	0.0687437	0.0893465	0.132126	0.212791	0.223854
a38	0.07823	0.0415579	0.0461928	0.0586517	0.0859391	0.15898	0.283054	0.247394
a99	0.0128415	0.00712107	0.00631144	0.00848556	0.0179053	0.0359709	0.203801	0.707563
a10	0.0061637	0.00403096	0.00560291	0.00807654	0.0197786	0.0445848	0.232811	0.678952
</S>	0.00579041	0.00373094	0.00606339	0.00868357	0.020797	0.0478629	0.203322	0.70375
