 	cette	femme	qui	arrive	est	veuve	son	mari	est	mort	du	sida	</S>
a66	0.120093	0.127877	0.160237	0.156189	0.109933	0.0906992	0.0774518	0.059435	0.0352625	0.0262963	0.0169566	0.0118395	0.00772957
a30	0.168685	0.124964	0.134257	0.0859	0.0541494	0.0634541	0.0551535	0.066539	0.0630557	0.068747	0.0617147	0.0404524	0.0129284
a70	0.176491	0.140687	0.133638	0.112743	0.0996847	0.0976492	0.0784807	0.0550283	0.0281256	0.0179611	0.0173362	0.0217065	0.0204682
a62	0.207589	0.161059	0.189946	0.138489	0.0875868	0.0635821	0.0496273	0.0352129	0.0169017	0.0125553	0.0126469	0.0139924	0.0108122
a21	0.203478	0.159868	0.167792	0.15465	0.0969212	0.0546338	0.0461805	0.0335709	0.0191417	0.0153955	0.0180778	0.019766	0.0105251
a85	0.17668	0.150132	0.162143	0.14839	0.0916531	0.0649027	0.063929	0.0508872	0.0279705	0.0175295	0.0196553	0.0173535	0.00877513
a79	0.0931026	0.0761449	0.103879	0.118579	0.117742	0.103243	0.100478	0.0816559	0.0543288	0.0368307	0.0374805	0.0439158	0.0326202
a98	0.0646777	0.0665722	0.104826	0.1441	0.176254	0.145852	0.0962576	0.0609789	0.0365328	0.026164	0.0241542	0.0271111	0.0265197
a92	0.0620718	0.0598873	0.083447	0.120813	0.16578	0.149474	0.110374	0.0767541	0.0467957	0.0312884	0.0268868	0.0308467	0.0355802
a96	0.0658662	0.0580047	0.0755702	0.113155	0.174363	0.165044	0.1125	0.0762633	0.0459415	0.0304479	0.0248163	0.027019	0.0310078
a66	0.0651293	0.0658609	0.0815277	0.121876	0.193492	0.170775	0.110625	0.067676	0.0376759	0.0247831	0.0195316	0.0181582	0.0228901
a38	0.0360976	0.0520515	0.0750265	0.120533	0.173492	0.162392	0.125354	0.0889489	0.0528179	0.0328834	0.0244739	0.0248701	0.03106
a34	0.0189588	0.0351889	0.0569547	0.0978435	0.149799	0.176407	0.152999	0.115069	0.0643215	0.0381218	0.0274177	0.0287578	0.0381613
a47	0.016863	0.022395	0.0298839	0.0608335	0.12584	0.168761	0.151389	0.130207	0.0837595	0.0524639	0.0416891	0.0501083	0.0658072
a62	0.0134651	0.01775	0.0259751	0.0539992	0.118609	0.186244	0.174091	0.155957	0.0983947	0.0554703	0.0338875	0.0304265	0.0357316
a83	0.00712754	0.00809911	0.0113881	0.0266711	0.0749259	0.147077	0.154726	0.161572	0.129791	0.0887536	0.0601211	0.0600795	0.0696674
a71	0.00597832	0.00675476	0.00941349	0.0217784	0.065234	0.154835	0.166389	0.170074	0.133224	0.0902592	0.0584018	0.0561264	0.0615314
a9	0.00887715	0.0114559	0.0154858	0.0283774	0.0733931	0.195107	0.200317	0.16433	0.111713	0.0731259	0.0431066	0.0370557	0.0376561
a99	0.0132803	0.014605	0.0182893	0.0259618	0.0501952	0.140509	0.16822	0.154965	0.127702	0.106024	0.0672867	0.0550503	0.0579122
a87	0.0183675	0.0173194	0.0217092	0.0290949	0.0538008	0.134049	0.139886	0.135992	0.121629	0.106428	0.0730066	0.0739207	0.0747972
a23	0.0246094	0.0241095	0.0315752	0.0415415	0.0645975	0.110244	0.0993242	0.102104	0.102377	0.100692	0.0911171	0.116254	0.0914547
a18	0.0243171	0.0259122	0.0324603	0.0428421	0.0686416	0.0946862	0.0875008	0.0926459	0.0989093	0.112014	0.113382	0.115337	0.0913515
a99	0.00344974	0.00453807	0.00645644	0.0104704	0.0198639	0.0326164	0.0444981	0.0744952	0.123364	0.160928	0.194336	0.1699	0.155084
a93	0.00221619	0.00327075	0.00444411	0.00712479	0.0120978	0.0206552	0.0281046	0.0474909	0.0896305	0.131162	0.207405	0.22048	0.225917
a70	0.00173263	0.00232775	0.00311832	0.00591585	0.0127112	0.0196847	0.0255563	0.0421569	0.0776752	0.102325	0.182082	0.284749	0.239965
a93	0.00227455	0.00247384	0.0034182	0.00664504	0.0166387	0.0317493	0.0319609	0.0411503	0.0651509	0.0906378	0.147621	0.260067	0.300213
a69	0.00260124	0.00274976	0.0036581	0.00677238	0.0160132	0.0307058	0.0309291	0.0376912	0.058747	0.0871136	0.149426	0.255253	0.31834
a4	0.00114879	0.00128924	0.00176582	0.00346612	0.00970387	0.0239234	0.0314353	0.0381072	0.0521493	0.0765635	0.133195	0.290783	0.33647
