 	il	est	assis	sur	une	chaise	</S>
a87	0.336236	0.191165	0.122066	0.0813229	0.0729493	0.109218	0.0870435
a10	0.157821	0.117388	0.132317	0.155174	0.165539	0.143266	0.128495
a53	0.237317	0.163478	0.164965	0.143713	0.10914	0.0933639	0.0880223
a98	0.1188	0.0918681	0.114872	0.135652	0.148663	0.206491	0.183654
a85	0.334798	0.232447	0.164244	0.101691	0.0739818	0.0574065	0.0354321
a37	0.40252	0.321585	0.176426	0.0543333	0.0219123	0.0136413	0.00958174
a21	0.405926	0.318032	0.169214	0.0569725	0.021154	0.0158052	0.012896
a88	0.352853	0.264251	0.181376	0.0914301	0.0455916	0.0363077	0.0281909
a75	0.190086	0.192723	0.194775	0.158495	0.104202	0.0842634	0.075455
a85	0.103415	0.101442	0.134316	0.19069	0.168485	0.164082	0.137571
a41	0.0489746	0.0495284	0.0748577	0.149391	0.202376	0.257137	0.217735
a94	0.0371761	0.0353207	0.0469323	0.0983049	0.190559	0.309664	0.282043
a75	0.029265	0.0317426	0.048732	0.0845734	0.157685	0.287827	0.360175
a25	0.0151548	0.0166659	0.0292923	0.0690491	0.164293	0.330601	0.374944
a44	0.00802565	0.00976887	0.0181641	0.0461017	0.122294	0.319647	0.475999
a57	0.00625265	0.00806858	0.019557	0.0563248	0.138325	0.305564	0.465908
a38	0.00347726	0.00364574	0.00725437	0.0210968	0.0783662	0.277885	0.608275
a24	0.00234989	0.00220431	0.00519631	0.018532	0.0836652	0.269848	0.618204
a25	0.00783516	0.00617928	0.011131	0.0310149	0.101878	0.267441	0.57452
a10	0.0103692	0.00870302	0.0135973	0.0264448	0.0826538	0.250438	0.607794
a87	0.032353	0.0267279	0.0294386	0.046181	0.109992	0.266444	0.488863
a23	0.122006	0.0779927	0.0635997	0.070622	0.125014	0.22758	0.313186
a87	0.0323363	0.0271156	0.042957	0.0709809	0.158419	0.280024	0.388166
</S>	0.011711	0.0122769	0.0253002	0.053553	0.122163	0.269909	0.505088
