 	cet	homme	prononce	des	insultes	tout	le	temps	</S>
a66	0.148064	0.151985	0.206841	0.231961	0.177498	0.0387922	0.0156321	0.0152347	0.0139925
a87	0.369348	0.223763	0.137366	0.091787	0.0785879	0.0236748	0.0203323	0.0349764	0.0201649
a23	0.309717	0.235668	0.17821	0.129741	0.0756128	0.017257	0.0120749	0.0215512	0.0201687
a83	0.328204	0.250169	0.174623	0.0799716	0.0541827	0.0235393	0.020899	0.0347458	0.0336649
a94	0.201867	0.179026	0.201101	0.110791	0.0980531	0.0374534	0.0405303	0.0729887	0.0581907
a93	0.227986	0.215345	0.277253	0.156783	0.0736308	0.0179663	0.011743	0.0119363	0.00735588
a90	0.152753	0.170522	0.228575	0.234707	0.137882	0.0386996	0.018181	0.0125883	0.00609156
a15	0.0932487	0.109998	0.156892	0.210159	0.21397	0.121594	0.0563483	0.0253205	0.0124692
a98	0.0689763	0.0877733	0.121039	0.146982	0.128595	0.161699	0.135889	0.0954049	0.0536413
a85	0.0548144	0.0644775	0.0786364	0.105725	0.117435	0.223013	0.173487	0.116192	0.0662207
a6	0.0384209	0.0430338	0.0491609	0.0740658	0.091886	0.214675	0.213006	0.162328	0.113423
a36	0.104065	0.106888	0.113346	0.150995	0.132889	0.135477	0.100772	0.0853526	0.070216
a27	0.0657352	0.063262	0.0751585	0.106548	0.157548	0.174876	0.159215	0.111752	0.0859052
a11	0.0364323	0.0387829	0.0448926	0.0348464	0.0387609	0.0814483	0.143003	0.182714	0.39912
a88	0.0611038	0.0563793	0.0576963	0.0462867	0.0468115	0.0715071	0.11376	0.177378	0.369077
a9	0.0402159	0.0375174	0.0413717	0.0304502	0.0257991	0.0423272	0.0889978	0.176145	0.517175
a38	0.062702	0.053838	0.0638152	0.0680889	0.067435	0.0822107	0.114034	0.173291	0.314586
a70	0.0322067	0.0228806	0.0203265	0.0208723	0.0212015	0.0386782	0.0845576	0.184077	0.5752
a62	0.00982609	0.00953587	0.0149069	0.0139326	0.0184151	0.0355353	0.0797529	0.191505	0.62659
a88	0.0282916	0.0236263	0.0267285	0.0268852	0.0294584	0.0527661	0.105876	0.195775	0.510593
a24	0.015263	0.0137241	0.0168251	0.018414	0.0303346	0.0547281	0.115604	0.190733	0.544374
a31	0.0315293	0.0304269	0.0312541	0.0343077	0.0459885	0.0673884	0.119206	0.17708	0.462819
a0	0.00570103	0.00503485	0.0072196	0.00742713	0.0174321	0.0313322	0.0685391	0.168782	0.688532
a94	0.0206206	0.0207695	0.0237527	0.0255595	0.0385156	0.0652856	0.120854	0.187316	0.497327
a58	0.0204	0.0164977	0.0152003	0.017806	0.0306596	0.056766	0.119054	0.183531	0.540085
a82	0.0289396	0.0213834	0.0173948	0.0201263	0.0284577	0.0530775	0.110966	0.1726	0.547055
a87	0.123833	0.0819784	0.0566398	0.0615596	0.0549461	0.0669516	0.0937479	0.132528	0.327816
a23	0.270669	0.158252	0.0960242	0.0921038	0.0578527	0.0524618	0.0588231	0.0755465	0.138267
a99	0.146284	0.122043	0.0862988	0.0808019	0.0748808	0.0631158	0.0868712	0.0933429	0.246361
a26	0.0952478	0.0721414	0.0446401	0.0497534	0.0574642	0.0821847	0.117843	0.131354	0.349372
</S>	0.0410597	0.0272487	0.0155907	0.0217109	0.0362913	0.0855259	0.141041	0.172369	0.459163
