 	mes	tiges	d'	allumette	sont	humides	</S>
a66	0.21682	0.181222	0.248529	0.235783	0.0741438	0.0268013	0.0167006
a87	0.490528	0.141399	0.0849431	0.0867136	0.0617741	0.0596837	0.0749588
a23	0.591034	0.196009	0.110131	0.0398548	0.0198576	0.0184161	0.0246972
a50	0.425435	0.239854	0.210302	0.0528049	0.0220633	0.0226641	0.026877
a88	0.375294	0.266601	0.19006	0.0481259	0.029216	0.0373839	0.0533192
a47	0.402499	0.26102	0.230432	0.0659053	0.0187943	0.0114623	0.00988685
a96	0.220104	0.252445	0.292592	0.167448	0.03219	0.017848	0.0173731
a21	0.217216	0.281696	0.276337	0.169561	0.0290081	0.0131632	0.0130196
a5	0.171576	0.257415	0.257109	0.252079	0.0419941	0.010686	0.0091409
a85	0.154057	0.255005	0.278221	0.235921	0.0510036	0.0139698	0.0118225
a5	0.0847522	0.1985	0.276126	0.293794	0.0876783	0.0299768	0.0291727
a61	0.0983315	0.286184	0.309597	0.229949	0.0501874	0.013729	0.0120215
a21	0.0697419	0.253352	0.308621	0.275713	0.0574412	0.0178164	0.0173149
a5	0.0448381	0.171375	0.301368	0.302801	0.101618	0.0416495	0.0363501
a18	0.0229734	0.117274	0.278511	0.355274	0.130151	0.0496141	0.0462028
a75	0.0256824	0.0317752	0.120576	0.286279	0.183166	0.136141	0.216381
a85	0.0123293	0.0393093	0.117593	0.23675	0.242257	0.166667	0.185095
a92	0.0104061	0.0260193	0.0835958	0.182834	0.258963	0.218919	0.219263
a37	0.00858885	0.0256814	0.0634721	0.147943	0.269074	0.23068	0.25456
a61	0.00829826	0.0119193	0.0304465	0.0663645	0.205314	0.282806	0.394852
a47	0.00871457	0.017462	0.0319246	0.0491443	0.184825	0.332399	0.37553
a61	0.00452017	0.00736041	0.0191732	0.0291866	0.130186	0.353796	0.455779
a12	0.00360495	0.00695429	0.0132519	0.0232863	0.11253	0.350102	0.49027
a75	0.00170737	0.00279795	0.00564873	0.0114071	0.0760828	0.339505	0.562851
a92	0.000415227	0.000806158	0.00189891	0.00475497	0.0655791	0.349692	0.576854
a36	0.000252474	0.000597425	0.00120763	0.00343809	0.0485513	0.302825	0.643128
a37	0.000423891	0.000235925	0.000265548	0.000938647	0.0154247	0.231398	0.751313
a66	0.00131765	0.000825465	0.000596156	0.00220326	0.0236184	0.279048	0.692391
a38	0.0238642	0.00803792	0.00529801	0.0193341	0.0882698	0.326502	0.528694
a25	0.0335626	0.011892	0.00739808	0.027951	0.10547	0.329302	0.484424
a87	0.188854	0.0386427	0.0207231	0.0560592	0.10994	0.243989	0.341792
a23	0.399102	0.0931011	0.0469955	0.0616551	0.0705065	0.131525	0.197115
a99	0.106451	0.00891019	0.00723423	0.0159911	0.0468704	0.165347	0.649196
a97	0.0290357	0.00372441	0.00504702	0.0169775	0.0613252	0.203261	0.680629
</S>	0.0141777	0.00350383	0.00767065	0.0232803	0.053777	0.180444	0.717147
