 	c'	est	une	assiette	en	terre	</S>
a85	0.552112	0.189468	0.0894433	0.0389907	0.0393175	0.0407026	0.0499657
a87	0.360566	0.232238	0.155919	0.0818033	0.0513636	0.0526364	0.0654729
a23	0.232611	0.213946	0.185145	0.133343	0.0834094	0.0772548	0.0742907
a99	0.319835	0.222463	0.14327	0.0794905	0.0684802	0.0720436	0.0944175
a50	0.421563	0.261024	0.16482	0.0587365	0.0309896	0.0309337	0.0319342
a24	0.406411	0.279504	0.2006	0.0675118	0.0223068	0.0139669	0.00969967
a32	0.289302	0.256009	0.237357	0.129243	0.0440472	0.025203	0.0188383
a11	0.232504	0.221544	0.230767	0.165169	0.0694225	0.0443389	0.0362547
a20	0.188975	0.204735	0.232096	0.188517	0.0818439	0.0553382	0.0484955
a73	0.221053	0.229931	0.260194	0.156734	0.0585529	0.0397475	0.0337878
a94	0.278381	0.234594	0.229015	0.121921	0.0581043	0.0416057	0.0363785
a24	0.168035	0.187123	0.245346	0.178438	0.0897145	0.067119	0.0642248
a98	0.122548	0.115755	0.147775	0.157008	0.155199	0.15443	0.147284
a94	0.0992046	0.0918805	0.118208	0.139128	0.157571	0.181045	0.212962
a41	0.0712068	0.0582984	0.075628	0.115951	0.170362	0.217723	0.290831
a11	0.05121	0.0416049	0.0569066	0.0950025	0.169784	0.249807	0.335685
a75	0.0323196	0.0245419	0.029542	0.0526117	0.130073	0.247786	0.483126
a41	0.0191271	0.0155925	0.021919	0.0504672	0.145526	0.283611	0.463757
a12	0.0128473	0.0106952	0.0150844	0.038649	0.132945	0.296489	0.49329
a98	0.00904025	0.00796437	0.0112745	0.0284262	0.107831	0.27983	0.555634
a18	0.015354	0.0129358	0.0165401	0.0363261	0.122438	0.295582	0.500824
a25	0.0205513	0.016227	0.0178498	0.0258083	0.0771701	0.221644	0.62075
a87	0.0180852	0.013344	0.0127396	0.0180714	0.064738	0.218083	0.654939
</S>	0.0131218	0.0136898	0.0169929	0.0312514	0.119477	0.295831	0.509636
