 	cette	rivière	a	un	débit	élevé	</S>
a66	0.213555	0.250001	0.262659	0.19368	0.0526615	0.0184744	0.00896848
a87	0.327516	0.205711	0.172954	0.153072	0.0804507	0.0330397	0.0272571
a97	0.373857	0.232927	0.146454	0.121264	0.0747958	0.0267361	0.0239665
a3	0.320643	0.247848	0.163964	0.138101	0.0848766	0.0244895	0.0200766
a99	0.324392	0.258961	0.175827	0.139191	0.0595148	0.0225489	0.0195647
a38	0.412626	0.267974	0.150458	0.102718	0.0401761	0.0139996	0.0120489
a12	0.556438	0.213762	0.101735	0.0615389	0.0260326	0.0196019	0.0208911
a18	0.370025	0.310084	0.179418	0.0998502	0.0199317	0.0107894	0.00990182
a75	0.299369	0.300349	0.208551	0.125893	0.0309713	0.0174318	0.0174349
a92	0.201076	0.264788	0.238279	0.181898	0.0458286	0.0305101	0.0376204
a6	0.161582	0.259849	0.258391	0.21853	0.0520729	0.0235252	0.0260493
a5	0.136186	0.226546	0.25094	0.248236	0.0692346	0.0327919	0.0360664
a61	0.131217	0.223545	0.252571	0.26605	0.0737651	0.0272193	0.0256325
a47	0.0835927	0.211418	0.258453	0.255206	0.106372	0.0409411	0.0440173
a21	0.0603763	0.153129	0.245466	0.299197	0.142103	0.0503552	0.0493734
a12	0.0468162	0.138159	0.209888	0.259912	0.187004	0.0866519	0.0715687
a18	0.0263865	0.0771959	0.156016	0.257599	0.25097	0.129779	0.102054
a62	0.0188282	0.0329495	0.0642538	0.162493	0.226353	0.216551	0.278572
a21	0.0133925	0.0340056	0.0664192	0.155331	0.277886	0.242185	0.210782
a85	0.00838887	0.0199828	0.0385618	0.100959	0.236908	0.29952	0.295679
a6	0.0028279	0.00505432	0.00842343	0.0273231	0.132872	0.298419	0.52508
a36	0.00310676	0.00479083	0.00712661	0.0203654	0.0945832	0.263638	0.606389
a98	0.00226043	0.00222684	0.00259923	0.00535427	0.0328721	0.189742	0.764946
a47	0.000951444	0.00135006	0.00215921	0.00641774	0.0421798	0.198899	0.748042
a7	0.000612329	0.000793747	0.00123898	0.0041141	0.0388366	0.201717	0.752688
a26	0.000536402	0.000577583	0.000863864	0.00249397	0.0262655	0.154637	0.814626
a82	0.001132	0.000632477	0.000885373	0.00197095	0.0220959	0.174991	0.798292
a97	0.0363235	0.0263209	0.0261976	0.0320154	0.15036	0.246499	0.482283
a3	0.0935226	0.069625	0.0633221	0.0558855	0.166026	0.244931	0.306687
a97	0.0728203	0.0520977	0.050718	0.052896	0.165436	0.277407	0.328625
a3	0.0587849	0.0408775	0.0438425	0.0627999	0.188305	0.268611	0.33678
a97	0.064122	0.0483773	0.0602667	0.0896335	0.173792	0.213951	0.349857
</S>	0.0508487	0.0367687	0.0429661	0.0685058	0.152879	0.223146	0.424885
