 	c'	est	une	chance	si	quelqu'	un	vient	épouser	votre	fille	aujourd'	hui	</S>
a66	0.115555	0.0959656	0.0999208	0.194486	0.165173	0.149865	0.0906985	0.0455538	0.0156431	0.00924144	0.00525015	0.00429788	0.00402975	0.00432003
a87	0.163789	0.15046	0.126738	0.130477	0.108702	0.08004	0.0559568	0.0383544	0.0182604	0.0153801	0.0153393	0.0234689	0.0332128	0.0398217
a23	0.212977	0.167994	0.141399	0.170689	0.125666	0.0819957	0.0427852	0.0223414	0.0055947	0.00425406	0.00337666	0.00403362	0.00663471	0.0102593
a13	0.209562	0.145359	0.122679	0.158256	0.116296	0.0930434	0.0459484	0.0275515	0.0105227	0.0097387	0.00791191	0.010107	0.0171638	0.0258611
a53	0.115605	0.0818445	0.0857235	0.184923	0.148669	0.134467	0.07319	0.046144	0.0191836	0.0165917	0.0126989	0.0167802	0.0267619	0.0374185
a20	0.339153	0.211702	0.126051	0.0929259	0.0645057	0.0590102	0.0287303	0.0164449	0.0088805	0.0107605	0.00721391	0.00924655	0.0114929	0.013882
a7	0.209979	0.150701	0.109231	0.0994604	0.0857294	0.0916547	0.0534322	0.0368569	0.0305446	0.0320333	0.0226705	0.0229854	0.0240925	0.0306297
a94	0.1642	0.145291	0.141182	0.124634	0.0907201	0.0922005	0.0517957	0.0348899	0.02557	0.0245256	0.0186563	0.0213498	0.0244317	0.0405522
a93	0.137688	0.119317	0.125632	0.110092	0.0852786	0.0893259	0.0598195	0.0472585	0.0405008	0.0353607	0.0300645	0.0319236	0.0345471	0.0531918
a70	0.125323	0.116103	0.115835	0.0854817	0.0739204	0.0776833	0.061421	0.0497573	0.0483795	0.0466454	0.0387644	0.0417233	0.0476427	0.0713207
a93	0.0977921	0.102432	0.116188	0.0954254	0.0871486	0.098443	0.0772237	0.0604338	0.0544336	0.0448843	0.0354338	0.0340386	0.03861	0.057513
a4	0.0785988	0.0878046	0.108645	0.104756	0.103108	0.108922	0.0856642	0.0672219	0.0570566	0.0423992	0.0350502	0.0320913	0.0361443	0.0525385
a58	0.0546125	0.0655681	0.0925465	0.0948704	0.100688	0.12375	0.100784	0.0837562	0.0738595	0.0503113	0.0377248	0.032186	0.0368075	0.0525349
a54	0.027413	0.0334095	0.0636836	0.132062	0.14128	0.17323	0.120695	0.0918582	0.0709268	0.0371333	0.0243825	0.0208985	0.0243158	0.0387122
a6	0.0149375	0.0210409	0.0433107	0.114961	0.132759	0.147155	0.117537	0.100215	0.0870035	0.053498	0.0365721	0.0317437	0.0390325	0.0602344
