 	le	chef	du	village	a	établi	une	loi	selon	laquelle	les	petits	enfants	ne	doivent	plus	aller	s'	amuser	dans	la	cour	de	l'	école	</S>
a66	0.0571944	0.0463816	0.0406106	0.0528532	0.0763284	0.0910504	0.092216	0.109888	0.0966543	0.0592675	0.0400912	0.0226749	0.0217501	0.0311865	0.0225221	0.0242345	0.0234521	0.024136	0.0210751	0.0118796	0.00815554	0.00693092	0.00574705	0.00489957	0.00459982	0.00422069
a87	0.139257	0.088487	0.0660036	0.0569894	0.0396738	0.0369154	0.0274984	0.0420631	0.0295941	0.029807	0.0256584	0.0156978	0.0208303	0.024005	0.0177672	0.0177956	0.0252061	0.0300774	0.0298769	0.0321657	0.0272765	0.0357334	0.0394644	0.0389856	0.0349484	0.0282227
a23	0.228806	0.130493	0.0965362	0.0933084	0.066164	0.0580634	0.0386655	0.0374236	0.022258	0.0208494	0.0198578	0.0161784	0.0149153	0.0188642	0.013804	0.0124526	0.0106888	0.009994	0.00779696	0.00772562	0.00878392	0.0106549	0.0117082	0.0141539	0.0146283	0.0152257
a99	0.220158	0.140208	0.0852215	0.0510694	0.0392371	0.0315186	0.0215545	0.0182061	0.0124789	0.0147971	0.0174865	0.0197001	0.0195199	0.020939	0.01543	0.017517	0.0195189	0.0243376	0.0239378	0.0236691	0.0266887	0.0248657	0.0246536	0.0309445	0.0276842	0.028658
a13	0.135823	0.104359	0.085797	0.0685523	0.0695547	0.0633065	0.0444459	0.039968	0.026098	0.0202394	0.0193026	0.0157058	0.0154241	0.0149619	0.0125149	0.0146003	0.016008	0.0212371	0.0211813	0.0252359	0.0261593	0.0293782	0.028246	0.0315437	0.0263066	0.0240505
a57	0.13426	0.1103	0.0885433	0.0745758	0.0608842	0.0385302	0.023608	0.0233454	0.0167949	0.0129722	0.0113243	0.00796693	0.00649544	0.00699335	0.00625498	0.00914335	0.0104322	0.0182197	0.0226422	0.0326333	0.0312722	0.0466274	0.0529754	0.0623676	0.050617	0.0402211
a53	0.203632	0.1603	0.119923	0.0917546	0.0658014	0.0367923	0.0216469	0.0214102	0.0187032	0.0130613	0.00833427	0.00473564	0.00367503	0.00413718	0.00386344	0.00600198	0.00597607	0.0119222	0.0133985	0.0180366	0.0176984	0.0275034	0.0312355	0.0361043	0.0297098	0.0246437
a70	0.186139	0.180964	0.132321	0.078965	0.054436	0.0313863	0.0197301	0.0184285	0.0180637	0.0146994	0.0113666	0.00795686	0.00703701	0.00695054	0.00579788	0.00863113	0.00947948	0.0182401	0.0206879	0.0226812	0.0209474	0.0262377	0.0248499	0.0273598	0.0239352	0.0227093
a75	0.0693934	0.0925819	0.106223	0.0904477	0.0870995	0.0723815	0.0501057	0.0401067	0.0362314	0.0378738	0.0302677	0.0221595	0.020168	0.0187916	0.0149217	0.0172982	0.0177011	0.0213657	0.0206679	0.0200444	0.0190658	0.0212664	0.0194692	0.0189318	0.0175671	0.0178695
a79	0.0401094	0.0534732	0.0697234	0.0720145	0.0705028	0.0589511	0.0425952	0.0373311	0.0476595	0.055835	0.0448307	0.0347415	0.028286	0.0232632	0.0196289	0.0236787	0.0234222	0.0274962	0.0279736	0.0265308	0.0233662	0.0244223	0.0244672	0.0278084	0.0330923	0.0387963
a7	0.0297689	0.0419071	0.0591214	0.0644409	0.0642155	0.0634078	0.0496911	0.0458389	0.0515965	0.0590888	0.0516805	0.0480708	0.0398941	0.0310683	0.0300991	0.0314358	0.0305847	0.0265525	0.0252386	0.0220804	0.0181328	0.0183372	0.0185634	0.0205931	0.0263565	0.0322353
a26	0.0333407	0.0366496	0.0538591	0.0768058	0.0887368	0.0856199	0.0638984	0.05277	0.0487013	0.0531769	0.0447765	0.0391957	0.0346513	0.0317153	0.0254622	0.0263086	0.0248125	0.0204064	0.0189619	0.0159598	0.0140341	0.0129979	0.0141746	0.0184141	0.0262534	0.0383172
a93	0.0126968	0.0124489	0.0167359	0.0361068	0.0610644	0.0738549	0.0647076	0.0527539	0.0394071	0.0401779	0.042481	0.0486429	0.0441563	0.0454193	0.040947	0.0419707	0.0412165	0.0309748	0.0277872	0.0236682	0.0219958	0.0186954	0.0206141	0.0287649	0.0414323	0.0712796
a90	0.0108377	0.0105393	0.013814	0.0285237	0.0522709	0.0733361	0.0742588	0.0645923	0.0513328	0.0576201	0.0547956	0.0496657	0.0447249	0.0565382	0.0431407	0.0444564	0.0408413	0.0324687	0.0284816	0.020585	0.0187402	0.0152447	0.0162758	0.0206672	0.0286926	0.0475555
a69	0.00682909	0.00631953	0.00779238	0.0142699	0.0299774	0.0541778	0.0688674	0.0709053	0.0758874	0.0814883	0.0683589	0.0546836	0.0474295	0.0587085	0.0513029	0.0517565	0.0446814	0.033627	0.0288271	0.0176289	0.0145426	0.0130476	0.0148066	0.0189333	0.0261872	0.038964
a20	0.00348256	0.00338284	0.00431093	0.00881935	0.019247	0.0389471	0.0524787	0.0532116	0.0676432	0.0731369	0.0715092	0.0723468	0.0629143	0.0640696	0.0668792	0.0661371	0.0567308	0.0385502	0.0335332	0.0200913	0.0161356	0.0134817	0.0142386	0.0176048	0.023965	0.0371525
a47	0.00228511	0.00203625	0.00239442	0.00455656	0.0091834	0.018261	0.0319024	0.0360084	0.0491182	0.0425983	0.052485	0.0839457	0.0726881	0.0712738	0.0908621	0.0891669	0.0729251	0.0432518	0.040791	0.0262081	0.0224956	0.0172301	0.0173676	0.021858	0.0299814	0.0491254
a15	0.00180466	0.00163492	0.00190829	0.00439388	0.00991215	0.019185	0.0324319	0.0356567	0.0649336	0.0549088	0.0608111	0.09737	0.0813553	0.0728813	0.0864116	0.0867591	0.0693115	0.0362586	0.031645	0.0191763	0.0159393	0.0126435	0.013137	0.0181177	0.026758	0.0446549
a7	0.00139953	0.00114735	0.00116664	0.00223907	0.00515794	0.0112482	0.0239157	0.0281991	0.0608924	0.0384378	0.0455523	0.0944089	0.0830285	0.0775278	0.10737	0.104827	0.0726965	0.0372507	0.0372912	0.0224584	0.0199341	0.0139931	0.0136037	0.0189136	0.0271391	0.0502008
a75	0.00554416	0.0046355	0.00446844	0.00726548	0.0112144	0.0197311	0.0374009	0.0340983	0.0642292	0.0481282	0.0510442	0.0992722	0.0924172	0.0915617	0.0970156	0.0796819	0.0470076	0.021618	0.0191845	0.0114637	0.0117263	0.00950599	0.0119781	0.019515	0.033358	0.0669343
a21	0.00149232	0.00119116	0.00113379	0.00185052	0.00345034	0.00712197	0.0162932	0.0198861	0.0395804	0.0319872	0.0421226	0.103377	0.0907323	0.0880543	0.1311	0.111142	0.0686119	0.0321532	0.0319133	0.0200645	0.0202579	0.0136462	0.0139893	0.0193699	0.0300215	0.0594572
a47	0.00201856	0.00168781	0.00158999	0.00221793	0.00365937	0.00673033	0.0160003	0.0217276	0.0440079	0.0349257	0.0469626	0.108473	0.0864078	0.0936379	0.125388	0.121761	0.0736873	0.0333035	0.0290281	0.0186964	0.0198869	0.0144657	0.0140889	0.0161334	0.0245199	0.0389938
a62	0.00175538	0.00152021	0.00160737	0.00273869	0.00439412	0.00800653	0.0179711	0.0197126	0.0455618	0.0526954	0.0601906	0.112203	0.104047	0.102101	0.118641	0.101096	0.062	0.0282268	0.0239539	0.0140834	0.0140028	0.0101364	0.0106787	0.0141407	0.0234851	0.0450501
a70	0.00195035	0.00163938	0.00159547	0.00223539	0.00362023	0.00680521	0.0179269	0.0215972	0.049082	0.0509548	0.0597618	0.115526	0.105287	0.103654	0.116511	0.101842	0.0635128	0.0310533	0.026416	0.0161706	0.0166725	0.0117568	0.0108377	0.0120082	0.0182043	0.0333795
a75	0.00255809	0.00227013	0.00244321	0.00365561	0.00555732	0.00889985	0.0186791	0.0198951	0.044851	0.067517	0.0703688	0.117861	0.108843	0.0944172	0.100998	0.0839997	0.057692	0.0294935	0.0247769	0.0163718	0.016583	0.0127096	0.012695	0.0144999	0.0221156	0.040249
a21	0.00087169	0.000694772	0.000627308	0.000999515	0.00175399	0.0030849	0.00811006	0.0118862	0.0307748	0.0276104	0.0441239	0.112886	0.094318	0.0755431	0.119078	0.107385	0.0712183	0.0338336	0.0294082	0.0221625	0.0240003	0.0202228	0.0209145	0.0263978	0.0407275	0.0713664
a56	0.00142438	0.00120129	0.00119577	0.00172921	0.00270302	0.00461162	0.0120544	0.0168316	0.0385302	0.0393748	0.051696	0.104445	0.0927712	0.0873732	0.114153	0.100349	0.0659535	0.0339789	0.0293515	0.0205548	0.0214449	0.0183002	0.0194492	0.0237162	0.0358248	0.0609819
a98	0.00112372	0.000953355	0.00100411	0.00162264	0.00269714	0.00479132	0.0127243	0.0171756	0.0405516	0.0445574	0.0528188	0.101223	0.0926052	0.0776586	0.100325	0.0871084	0.0599726	0.0324727	0.0289189	0.0222926	0.0231089	0.020869	0.0233902	0.0294355	0.044456	0.0761435
a85	0.000548186	0.000451787	0.000421105	0.000744908	0.0014572	0.0026615	0.00703798	0.00905756	0.0235997	0.0237023	0.0439806	0.138655	0.113394	0.0763004	0.121609	0.10753	0.0723353	0.0313655	0.0293032	0.0218061	0.0221516	0.0175956	0.0172766	0.0220584	0.0338784	0.0610788
a5	0.000764363	0.000629333	0.000562762	0.000856153	0.00143857	0.00267563	0.00674734	0.0076467	0.0219019	0.0219248	0.0391425	0.131939	0.109059	0.071638	0.136787	0.113091	0.0719046	0.0282836	0.0257008	0.0191005	0.01917	0.0157074	0.0170293	0.0229335	0.0386289	0.0747376
a18	0.00119108	0.000946008	0.000892752	0.00143899	0.00248598	0.00442406	0.0118815	0.0150404	0.0342195	0.033796	0.0387607	0.100734	0.0957213	0.0785515	0.121273	0.0961656	0.056669	0.0248114	0.0233928	0.0180309	0.0190827	0.0165003	0.0207012	0.0292233	0.051173	0.102893
a25	0.00406023	0.0036253	0.0035893	0.00563289	0.00763173	0.0100429	0.0172867	0.0162021	0.0306764	0.0427185	0.0457096	0.105988	0.103152	0.058416	0.0824425	0.0563965	0.0369821	0.0149722	0.0141295	0.0126117	0.0129108	0.0145765	0.0214324	0.0358637	0.0746973	0.168253
a3	0.0176151	0.0147708	0.0128655	0.016208	0.01883	0.0218368	0.028155	0.0216675	0.0303625	0.0430155	0.0455597	0.0924968	0.0847606	0.0435698	0.0630696	0.0444546	0.0322044	0.0143699	0.0128454	0.0129038	0.0128715	0.0158084	0.0232811	0.0376719	0.0775443	0.161262
a87	0.0166937	0.0134777	0.0122828	0.015599	0.0183285	0.0219004	0.0267539	0.0271898	0.0488153	0.0534049	0.0534371	0.0789653	0.0613705	0.0401731	0.0462485	0.0402301	0.0274411	0.0184419	0.0193438	0.0176303	0.0201722	0.0227814	0.0308039	0.0475729	0.0795166	0.141425
a23	0.0256232	0.0141616	0.00853754	0.0078852	0.00638133	0.00820076	0.00932966	0.0117398	0.018846	0.0154412	0.017437	0.0284683	0.0228598	0.0166263	0.0236673	0.0244192	0.0189709	0.0176864	0.021113	0.0312271	0.0465175	0.0645806	0.0850448	0.114476	0.147167	0.193593
a97	0.00661335	0.00330132	0.00198162	0.00187494	0.00156782	0.00188855	0.00207359	0.00229437	0.0040737	0.00635213	0.0126742	0.0306097	0.0180527	0.00988596	0.0234856	0.0220896	0.0205789	0.0151887	0.0175686	0.0289431	0.0352783	0.0562875	0.0939854	0.137006	0.184091	0.262254
a87	0.00450031	0.00232099	0.00157499	0.00168807	0.00163388	0.00255539	0.00313119	0.00341095	0.00600106	0.0070103	0.0145526	0.0292254	0.017502	0.00835843	0.0180273	0.0205481	0.0190507	0.0162925	0.0201389	0.0400631	0.04778	0.0710552	0.0980008	0.143668	0.176194	0.225716
a23	0.00879834	0.00493774	0.00326273	0.00355323	0.00385202	0.00596506	0.00600106	0.00661232	0.011764	0.0113873	0.0160094	0.0244835	0.0151489	0.00790392	0.0148668	0.0195564	0.0164828	0.0187713	0.025553	0.0489938	0.0615116	0.0875822	0.105584	0.141863	0.153223	0.176332
a99	0.00216345	0.00169758	0.00138496	0.00159589	0.00155721	0.00328862	0.00383699	0.0037163	0.00592617	0.00919211	0.0224903	0.0540342	0.0382802	0.0164613	0.0393881	0.0391782	0.0381637	0.0300893	0.0370144	0.0594435	0.0663382	0.0774128	0.0883852	0.101182	0.111389	0.14639
a54	0.00102078	0.000876134	0.000879125	0.00142239	0.00152553	0.00277625	0.00392375	0.00448588	0.00906301	0.0197603	0.047901	0.109218	0.0743578	0.0319077	0.0907045	0.0779416	0.0662369	0.0366386	0.0381514	0.0520208	0.055743	0.0537162	0.0493987	0.0502647	0.0516434	0.0684229
a92	0.000872149	0.000875853	0.000926547	0.00166835	0.00248522	0.00543924	0.00936761	0.012903	0.041291	0.0432742	0.0593285	0.100387	0.0603753	0.03289	0.0616656	0.066733	0.0444622	0.034728	0.043098	0.0485106	0.0460103	0.0454722	0.0396026	0.0468591	0.0576472	0.0931272
a37	0.000519884	0.000599949	0.000822524	0.00169881	0.00274272	0.00559728	0.0078921	0.00923588	0.0228518	0.0315605	0.039176	0.0517301	0.0271332	0.0152532	0.0233329	0.028785	0.0203044	0.0153187	0.0183491	0.0290083	0.0315551	0.0517985	0.0745472	0.118221	0.164594	0.207372
a98	0.000150972	0.000158839	0.000195463	0.000302168	0.000416208	0.00106744	0.00229791	0.00287712	0.00753195	0.0113794	0.0205659	0.0323666	0.0160117	0.010039	0.0170658	0.0185268	0.0138516	0.00954	0.0109703	0.0178998	0.0199628	0.0327935	0.0615656	0.11852	0.218444	0.355499
a47	0.000182557	0.000214288	0.000299338	0.000553214	0.000883958	0.00204006	0.0042028	0.00461229	0.0125698	0.0145751	0.0266255	0.0708125	0.0375072	0.0196476	0.031944	0.0324373	0.020221	0.0105301	0.0127205	0.0187867	0.024723	0.0364137	0.0605878	0.105081	0.172524	0.279305
