 	ses	analyses	sont	toujours	pertinentes	</S>
a66	0.643905	0.128955	0.0644998	0.048431	0.0515826	0.0626268
a87	0.637724	0.118026	0.0617373	0.0447253	0.0504569	0.0873303
a23	0.566499	0.143596	0.0725824	0.0607225	0.0561916	0.100408
a20	0.351294	0.101773	0.10699	0.110354	0.118597	0.210992
a7	0.567709	0.176843	0.0911324	0.0582117	0.0519637	0.0541398
a40	0.565489	0.308044	0.0753999	0.0219883	0.014441	0.0146384
a47	0.460965	0.357921	0.107549	0.0333686	0.0195702	0.0206255
a85	0.329674	0.330347	0.146368	0.0699236	0.0574028	0.0662839
a15	0.32941	0.322879	0.169246	0.0757355	0.0511338	0.0515959
a79	0.233452	0.297113	0.189853	0.09973	0.0908015	0.0890506
a7	0.203658	0.281722	0.190673	0.107073	0.106876	0.109998
a90	0.0849134	0.181811	0.16296	0.147092	0.197796	0.225428
a15	0.0576465	0.13765	0.179939	0.170798	0.22457	0.229396
a79	0.0158423	0.0579984	0.14608	0.200266	0.278912	0.300901
a92	0.0153592	0.0454063	0.119128	0.180628	0.300637	0.338842
a15	0.0091966	0.0257546	0.0860391	0.170269	0.334999	0.373741
a69	0.00388224	0.0107647	0.0523768	0.123357	0.34001	0.469609
a56	0.00280318	0.00779439	0.0321634	0.10197	0.354033	0.501236
a18	0.0042634	0.0120319	0.0393647	0.108671	0.328185	0.507484
a82	0.00249664	0.0114289	0.0421948	0.116427	0.301663	0.52579
a87	0.0108202	0.0161033	0.0429628	0.106856	0.299755	0.523504
a23	0.169938	0.120396	0.126335	0.129984	0.202028	0.25132
a87	0.06684	0.0698907	0.17864	0.211466	0.238453	0.23471
</S>	0.0130026	0.0264396	0.0797187	0.156622	0.336244	0.387973
