 	cette	manière	de	battre	les	paupières	est	celle	des	escrocs	</S>
a66	0.177908	0.0897797	0.0923553	0.113386	0.152402	0.131863	0.133092	0.0593729	0.0338511	0.0106224	0.00536805
a10	0.428234	0.211345	0.0924342	0.0439539	0.0356293	0.0240209	0.0383892	0.0462764	0.0455928	0.0209827	0.0131412
a87	0.288697	0.189873	0.109003	0.0533896	0.048577	0.0796068	0.0894346	0.0577505	0.0374732	0.024354	0.0218418
a79	0.255248	0.204213	0.127413	0.0617261	0.0517501	0.0788216	0.0849346	0.0608166	0.0397825	0.0192194	0.0160745
a5	0.280719	0.293549	0.108981	0.0471279	0.0535144	0.0730745	0.0604891	0.0328848	0.0240179	0.0134548	0.0121878
a36	0.30608	0.217393	0.154983	0.0928041	0.080321	0.0443813	0.0427781	0.0220043	0.0177986	0.0119018	0.00955455
a27	0.186225	0.257625	0.205445	0.124869	0.0917241	0.0571823	0.0420063	0.0181472	0.0101407	0.00402999	0.00260509
a58	0.161775	0.170541	0.119601	0.113858	0.115728	0.0947212	0.0800999	0.0650469	0.0517533	0.0154631	0.0114124
a98	0.177746	0.169472	0.129292	0.109624	0.10433	0.0890782	0.0739024	0.0608019	0.0511031	0.0181945	0.0164562
a79	0.115759	0.140589	0.134474	0.146192	0.140772	0.107243	0.0874311	0.0556068	0.0411454	0.0160262	0.0147608
a12	0.0912101	0.117973	0.125106	0.148188	0.128992	0.123506	0.104766	0.0802908	0.0512579	0.0132303	0.01548
a21	0.0781215	0.101823	0.115167	0.13378	0.133021	0.153567	0.114118	0.0911844	0.0541841	0.0119775	0.0130553
a92	0.0606799	0.0834089	0.0972054	0.141668	0.138956	0.1544	0.122344	0.111969	0.0597322	0.01461	0.0150267
a37	0.0200667	0.0280621	0.0508494	0.10697	0.155363	0.213631	0.16182	0.136165	0.0765935	0.0274735	0.0230055
a98	0.0313054	0.0253894	0.0396899	0.0825852	0.139314	0.204552	0.156053	0.131397	0.0967199	0.0440301	0.0489656
a92	0.0181176	0.0168191	0.0333632	0.0813401	0.129537	0.173246	0.149218	0.144905	0.121863	0.072762	0.0588282
a85	0.0123388	0.012379	0.0220776	0.0679574	0.10675	0.138543	0.131717	0.155807	0.157973	0.108453	0.0860047
a92	0.00882133	0.0100897	0.0195887	0.0666232	0.0961349	0.122661	0.119478	0.157601	0.171317	0.123697	0.103989
a44	0.00769057	0.00767071	0.0123179	0.0416999	0.0737186	0.105004	0.11718	0.161127	0.199877	0.142304	0.13141
a96	0.00561354	0.00417447	0.00535705	0.0153677	0.042536	0.0880643	0.099561	0.116764	0.176474	0.233099	0.212989
a62	0.0034981	0.001928	0.00192261	0.00489102	0.0149873	0.0444722	0.0539589	0.078936	0.151716	0.318375	0.325314
a0	0.00280757	0.00183056	0.00177219	0.00429146	0.00880851	0.021452	0.0314683	0.0639339	0.168431	0.359636	0.335568
a24	0.00206389	0.00111254	0.000887533	0.00180664	0.00545037	0.0169456	0.0291889	0.0472574	0.137797	0.366971	0.390519
a62	0.00111553	0.000725356	0.00054809	0.00118543	0.00264941	0.00674969	0.0107824	0.0203811	0.0823808	0.406433	0.467049
a21	0.00102114	0.000897686	0.00074394	0.00175623	0.00368537	0.00923175	0.0150996	0.0266775	0.0898589	0.37763	0.473398
a12	0.00023813	0.000144888	0.00012137	0.000356181	0.000904677	0.00274641	0.00490641	0.0107549	0.0411405	0.333055	0.605632
a96	0.000203384	0.000108323	0.000100382	0.000294362	0.000766312	0.00200554	0.00370105	0.00819891	0.0291912	0.269813	0.685618
a62	0.00015013	8.57402e-05	7.20952e-05	0.000231042	0.0006681	0.00178511	0.00335445	0.00760774	0.028876	0.273281	0.683888
a88	0.000714776	0.000395233	0.00029982	0.000571411	0.00136239	0.00287089	0.00502782	0.0110253	0.0416506	0.35705	0.579032
a71	0.00236942	0.00149365	0.00123003	0.00160052	0.00334194	0.00621149	0.00851304	0.0122387	0.0346079	0.342892	0.585502
a9	0.0122007	0.00658459	0.00545469	0.00709822	0.0113079	0.0153266	0.0164707	0.0206084	0.051804	0.34825	0.504894
a87	0.0615717	0.029582	0.0228762	0.0338703	0.0338304	0.0281433	0.0294135	0.0389814	0.0740853	0.26011	0.387536
a23	0.121242	0.0545347	0.0364925	0.0479951	0.0555917	0.0457463	0.0627772	0.0800849	0.0985309	0.190744	0.206261
a87	0.0336098	0.0178147	0.0110578	0.012938	0.00965578	0.00786907	0.0151348	0.0308128	0.0740578	0.22353	0.56352
</S>	0.0116631	0.00708816	0.00515789	0.00886707	0.00751302	0.00873981	0.0113888	0.0208065	0.0410743	0.167397	0.710304
