 	la	savane	de	kangala	est	vaste	</S>
a79	0.152997	0.133496	0.0886485	0.154618	0.172981	0.156029	0.141231
a90	0.114169	0.0816949	0.0938928	0.137732	0.153871	0.160629	0.258012
a25	0.422076	0.266275	0.105559	0.0612275	0.0403124	0.0422571	0.062293
a92	0.565082	0.201875	0.0780322	0.0433761	0.0300317	0.0321492	0.0494545
a25	0.379232	0.233225	0.137817	0.0936588	0.0611982	0.0433407	0.0515294
a56	0.311504	0.249619	0.162239	0.113828	0.0666244	0.0469103	0.0492742
a96	0.257876	0.246217	0.19261	0.131843	0.0681011	0.0502234	0.0531305
a98	0.256448	0.22876	0.194643	0.141197	0.0723697	0.0532675	0.0533144
a85	0.217718	0.202285	0.188194	0.176052	0.0878711	0.064155	0.063725
a47	0.199922	0.186843	0.180909	0.188311	0.0987626	0.0726546	0.0725974
a44	0.127973	0.171395	0.224831	0.209475	0.0916041	0.0765006	0.0982212
a57	0.147179	0.143307	0.213029	0.221459	0.0991902	0.0770311	0.0988032
a75	0.109771	0.149233	0.224331	0.250736	0.118966	0.0692968	0.0776657
a47	0.0531897	0.0888441	0.163778	0.300082	0.16359	0.122405	0.10811
a56	0.0576446	0.0882616	0.151669	0.328336	0.161179	0.108704	0.104206
a90	0.0318475	0.0608084	0.123471	0.327588	0.208602	0.140117	0.107567
a44	0.0149929	0.0367076	0.082237	0.297793	0.221671	0.186117	0.160481
a56	0.0138984	0.0355778	0.0721195	0.259625	0.218263	0.217492	0.183025
a70	0.0111334	0.027464	0.05636	0.215169	0.198706	0.247355	0.243813
a61	0.00416544	0.00973318	0.0240458	0.116136	0.15182	0.268793	0.425307
a83	0.00267611	0.00795756	0.0222772	0.108196	0.137311	0.263419	0.458163
a18	0.00117742	0.00301265	0.00897527	0.0515821	0.105853	0.250542	0.578857
a70	0.000750405	0.00149129	0.00512473	0.0407199	0.0992368	0.255295	0.597382
a93	0.00108792	0.00259682	0.00714268	0.0376671	0.0835382	0.227267	0.6407
a56	0.000796024	0.00186344	0.0063916	0.0491411	0.0952613	0.237529	0.609017
a47	0.000440108	0.000831575	0.00272689	0.0318311	0.0867751	0.236354	0.641041
a62	0.00111444	0.00187468	0.00485709	0.0318162	0.0800692	0.230883	0.649385
a83	0.00236745	0.00287157	0.00681536	0.0618735	0.123908	0.240845	0.561319
a9	0.0022732	0.00294552	0.00671289	0.0565711	0.132893	0.251077	0.547528
a87	0.0117486	0.0113334	0.0233876	0.107592	0.167762	0.234366	0.44381
a23	0.11433	0.04568	0.0535565	0.176776	0.209064	0.160299	0.240295
a87	0.0264092	0.0189847	0.0308266	0.132219	0.229867	0.241657	0.320037
</S>	0.0129688	0.0152156	0.0237417	0.100878	0.169207	0.238998	0.438991
