 	le	matin	je	balaie	la	cour	</S>
a66	0.359698	0.1872	0.180783	0.147978	0.0646776	0.037124	0.0225388
a87	0.190967	0.128936	0.139698	0.190322	0.137008	0.115645	0.0974251
a23	0.392832	0.229087	0.139363	0.082844	0.054683	0.0492921	0.051899
a83	0.423434	0.27	0.15186	0.0599118	0.0319447	0.0308196	0.0320295
a93	0.37184	0.229961	0.173887	0.0706596	0.0423448	0.0536947	0.0576122
a34	0.351303	0.246649	0.203158	0.0741227	0.0374759	0.0415175	0.0457732
a56	0.325794	0.253831	0.226568	0.0912466	0.0359826	0.0316985	0.0348797
a92	0.274403	0.23474	0.238277	0.122155	0.0480128	0.0391566	0.0432567
a37	0.240017	0.223084	0.237533	0.158182	0.0592568	0.0405713	0.041356
a75	0.170518	0.215914	0.247714	0.188075	0.0739986	0.0513332	0.0524481
a5	0.169114	0.195337	0.223401	0.186317	0.0954723	0.0673412	0.0630167
a12	0.169924	0.191402	0.203164	0.199193	0.096689	0.0671521	0.0724757
a34	0.0976079	0.119439	0.142399	0.206578	0.176686	0.127116	0.130174
a90	0.0651564	0.0822253	0.101422	0.171091	0.211009	0.180077	0.189019
a25	0.0408626	0.0536539	0.0758476	0.16444	0.234695	0.206588	0.223912
a94	0.0208603	0.0289425	0.0378848	0.0823973	0.207115	0.286159	0.336641
a90	0.0140432	0.0153018	0.0174628	0.0388197	0.125765	0.270461	0.518147
a92	0.0110123	0.0141002	0.0209829	0.0595971	0.187435	0.309533	0.397339
a34	0.00262991	0.00359764	0.00519789	0.016392	0.101016	0.292018	0.579148
a96	0.00103278	0.00128949	0.00169375	0.00620724	0.061362	0.25548	0.672935
a93	0.00106682	0.00133184	0.00219621	0.00847867	0.087369	0.309829	0.589728
a13	0.000707022	0.00102122	0.00156261	0.00619384	0.0619374	0.266569	0.662009
a99	0.00127666	0.00172903	0.00301635	0.0110345	0.102848	0.315996	0.564099
a87	0.0028429	0.00332601	0.00599577	0.0178469	0.109901	0.302658	0.557429
a23	0.0785608	0.0475997	0.0464266	0.0627956	0.151308	0.246516	0.366794
a97	0.0364175	0.0191239	0.0167266	0.0240272	0.0839328	0.234613	0.585159
a87	0.0511744	0.0292249	0.0249951	0.0368824	0.124531	0.268295	0.464898
</S>	0.0580637	0.0327654	0.0282286	0.0381785	0.125292	0.26556	0.451912
