 	il	n'	y	a	personne	qui	s'	entend	avec	ma	mère	dans	ce	village	</S>
a66	0.114582	0.114743	0.109081	0.146952	0.145264	0.113037	0.0907863	0.0502896	0.0423751	0.0304215	0.0169137	0.0097473	0.0064688	0.00481228	0.00452605
a87	0.235876	0.180059	0.157179	0.107616	0.080336	0.0496165	0.0322909	0.0326675	0.0338601	0.0264174	0.0188611	0.0127431	0.0110871	0.00998333	0.0114069
a23	0.234792	0.173234	0.141106	0.100322	0.0682598	0.0492232	0.0409428	0.0407774	0.0373039	0.0292295	0.021093	0.0152662	0.0143527	0.0153286	0.0187695
a87	0.141756	0.110462	0.0908463	0.0630146	0.0488337	0.0527607	0.0713667	0.0829376	0.070763	0.059143	0.0507795	0.0374274	0.0344832	0.035745	0.0496805
a79	0.142832	0.109021	0.0901135	0.0642783	0.0514197	0.0536024	0.0740551	0.0939875	0.0798243	0.0624965	0.0498905	0.0343161	0.0304379	0.0291365	0.0345894
a69	0.111715	0.0958825	0.0774259	0.0531384	0.0532205	0.0552212	0.0800299	0.0808169	0.0741274	0.06469	0.058684	0.0449731	0.0423528	0.0464285	0.0612936
a4	0.150477	0.127291	0.101475	0.0736872	0.0826017	0.0634282	0.0709948	0.0511835	0.0456537	0.040623	0.038223	0.0327554	0.0340916	0.0382831	0.0492327
a58	0.202596	0.177295	0.162426	0.112986	0.114571	0.0688063	0.0532544	0.0226563	0.0189856	0.0162034	0.014118	0.0105583	0.00903412	0.00789631	0.00861306
a54	0.127703	0.120971	0.12279	0.1001	0.104509	0.0832921	0.0689755	0.0417306	0.0342978	0.0320788	0.0337321	0.0327659	0.033205	0.0314659	0.0323817
a47	0.0698161	0.0715389	0.0710234	0.0608971	0.0819973	0.0881911	0.0988322	0.0851462	0.0723549	0.0573833	0.0507306	0.0431025	0.0443523	0.0484044	0.0562296
a92	0.0558022	0.0730922	0.090977	0.0871429	0.123991	0.113701	0.101635	0.0703123	0.0608253	0.0464304	0.036031	0.0284547	0.0303639	0.0364824	0.0447585
a37	0.0575998	0.0710641	0.0913728	0.083908	0.123142	0.11133	0.106553	0.0786993	0.0672936	0.0506702	0.0351454	0.026736	0.02733	0.0315223	0.0376332
a92	0.0495634	0.0637169	0.0788756	0.0823413	0.116317	0.121712	0.120342	0.0966606	0.0689803	0.0502393	0.0331785	0.0262454	0.0267692	0.0305904	0.0344677
a37	0.0378267	0.0527697	0.06549	0.0798758	0.110295	0.114604	0.108599	0.096314	0.0825674	0.0685219	0.04672	0.0344428	0.0318213	0.0337216	0.0364307
a44	0.0179162	0.0311612	0.0403785	0.0628846	0.0932337	0.123881	0.12012	0.119341	0.0928809	0.0709974	0.0493297	0.0404971	0.0410661	0.0466352	0.0496777
a93	0.0119223	0.0183433	0.0215468	0.0366942	0.0578468	0.0918826	0.0956599	0.126534	0.111481	0.092323	0.0711015	0.0611198	0.0611598	0.0687505	0.0736347
a90	0.0168278	0.0233224	0.0244754	0.0379897	0.0518561	0.0846427	0.0843024	0.13006	0.127244	0.102823	0.075381	0.0589895	0.0540739	0.0607184	0.0672928
a56	0.00688748	0.0101253	0.0119052	0.0200936	0.0340545	0.05918	0.0718969	0.14172	0.140475	0.124054	0.0954416	0.0764557	0.0674262	0.06836	0.0719245
a96	0.0056458	0.00754256	0.00816034	0.0128509	0.0182251	0.0326246	0.0418575	0.110999	0.13268	0.13505	0.121585	0.102737	0.0899841	0.089198	0.090859
a98	0.007425	0.00884838	0.00820057	0.0100782	0.0125961	0.0233687	0.0321875	0.0943071	0.120227	0.127797	0.126075	0.104966	0.0918284	0.105685	0.126411
a6	0.00144119	0.0023473	0.00270873	0.00431801	0.00697789	0.0137492	0.0235597	0.0778851	0.0980201	0.10615	0.113261	0.109648	0.118994	0.147869	0.173071
a0	0.00195296	0.00277632	0.00305068	0.00434532	0.00668286	0.0124719	0.0213776	0.0621787	0.0830122	0.0925982	0.109196	0.108778	0.113157	0.165722	0.212701
a54	0.00213939	0.00243102	0.00207661	0.00257333	0.00324451	0.00626809	0.0114844	0.0304758	0.0409099	0.0500365	0.0744018	0.0913897	0.123396	0.223937	0.335236
a7	0.00138181	0.00158115	0.00146437	0.00188608	0.00267481	0.00510521	0.00945026	0.0249538	0.0373424	0.0483984	0.0745704	0.0945613	0.130732	0.232607	0.333291
a93	0.000910346	0.00104023	0.000922372	0.00109119	0.00155598	0.00310589	0.00595346	0.0168939	0.0259255	0.0357193	0.0589384	0.0860388	0.138469	0.259389	0.364047
a98	0.000959168	0.000910208	0.000707057	0.000780024	0.00105326	0.00198677	0.0040099	0.0124029	0.0208377	0.0310444	0.0563837	0.089785	0.152111	0.274706	0.352323
a92	0.000163023	0.000200122	0.000193588	0.000239758	0.000361835	0.00079277	0.00150193	0.00519877	0.00913134	0.0146975	0.0303323	0.0561317	0.128714	0.318193	0.434149
a56	0.000141082	0.000159265	0.000150314	0.000205674	0.000335073	0.000725291	0.00147047	0.00491025	0.00814052	0.0133028	0.0284023	0.0564273	0.128863	0.306121	0.450645
a96	0.000525098	0.000544213	0.000450918	0.000493566	0.000634467	0.00112423	0.00206472	0.00679462	0.0114815	0.0189916	0.0399851	0.0778165	0.151186	0.294612	0.393295
a26	0.000638546	0.000655504	0.000525319	0.000574558	0.000738816	0.00124947	0.00230322	0.00736162	0.0108674	0.0163139	0.034162	0.0690048	0.146214	0.298055	0.411336
a54	0.00790313	0.00661638	0.00500726	0.00406315	0.00450675	0.00609481	0.00794005	0.0175287	0.0224146	0.0260851	0.0453546	0.0777206	0.143686	0.286255	0.338824
a47	0.000952305	0.00101859	0.00094534	0.000842975	0.0012247	0.00177277	0.00245154	0.00747411	0.0126913	0.0188226	0.0370621	0.0652194	0.135072	0.31215	0.4023
a36	0.000243318	0.00022921	0.000199935	0.000197006	0.000255022	0.000412661	0.00068544	0.00303933	0.00611251	0.0102783	0.0227058	0.046669	0.119242	0.312821	0.476909
a2	0.00742041	0.00662546	0.00553261	0.00465777	0.00506635	0.00558412	0.0059014	0.0124173	0.0162678	0.0212184	0.0388704	0.0700014	0.139236	0.297753	0.363448
a57	0.103234	0.084004	0.0648704	0.0539853	0.0515703	0.0548864	0.0432879	0.0520253	0.0569567	0.0506265	0.0549777	0.0599599	0.0667819	0.0935055	0.109328
a87	0.223492	0.15115	0.108867	0.0746376	0.050342	0.0353461	0.0215113	0.0247064	0.0367908	0.0364129	0.0393349	0.0403947	0.0462517	0.0530388	0.0577243
