 	il	lui	donna	une	bourrade	amicale	</S>
a23	0.570499	0.284657	0.0784241	0.016066	0.0107864	0.0174532	0.0221136
a85	0.452917	0.195651	0.0747133	0.0367212	0.0359237	0.0801552	0.123918
a87	0.34021	0.241577	0.0761821	0.038072	0.0395261	0.0984173	0.166015
a23	0.177856	0.156198	0.0803668	0.0445212	0.0442902	0.141579	0.355188
a13	0.0834206	0.0975214	0.0645097	0.0374739	0.0539947	0.236459	0.426621
a20	0.247382	0.314745	0.155797	0.065759	0.0830523	0.0738775	0.0593871
a30	0.239786	0.362786	0.212653	0.0807082	0.0549806	0.0309071	0.0181796
a2	0.22306	0.330744	0.268596	0.118752	0.0335819	0.0145991	0.0106663
a11	0.0862816	0.134937	0.211103	0.220378	0.135345	0.110314	0.101642
a26	0.0500178	0.0697755	0.119871	0.173386	0.179263	0.197575	0.210111
a35	0.0610644	0.0892754	0.171825	0.236429	0.183718	0.127568	0.13012
a26	0.130465	0.164519	0.207733	0.225988	0.130813	0.0694615	0.07102
a35	0.125039	0.193345	0.229661	0.169444	0.114609	0.0805233	0.0873794
a75	0.0785156	0.129282	0.175975	0.183065	0.152242	0.123897	0.157025
a35	0.0315931	0.0410437	0.0516685	0.106345	0.198148	0.247745	0.323456
a14	0.00933818	0.011165	0.0203622	0.078973	0.198546	0.299071	0.382545
a94	0.00394458	0.00382124	0.00827607	0.054685	0.216016	0.332255	0.381002
a90	0.0015356	0.0013422	0.00235737	0.0105936	0.0651159	0.3048	0.614255
a94	0.00115815	0.0010626	0.00216062	0.0118667	0.081145	0.325605	0.577002
a57	0.00089373	0.000647323	0.00161658	0.0073953	0.0542396	0.312668	0.62254
a82	0.000890272	0.000579254	0.00122908	0.00598036	0.0440213	0.286945	0.660355
a87	0.00245904	0.00154341	0.00237736	0.00894074	0.042152	0.282801	0.659726
</S>	0.00677086	0.0111079	0.0137831	0.0313921	0.0843136	0.317262	0.53537
