 	l'	oisillon	du	moineau	n'	est	pas	fort	</S>
a66	0.47697	0.294776	0.0900135	0.0519859	0.0308518	0.0218503	0.0151174	0.010061	0.00837483
a87	0.349332	0.17584	0.0984512	0.100998	0.113835	0.0887046	0.0424021	0.0174326	0.0130045
a23	0.406503	0.336276	0.120296	0.0505763	0.0245269	0.0188108	0.017753	0.0130275	0.0122317
a87	0.199379	0.232739	0.22289	0.184623	0.079502	0.0385727	0.0170201	0.0120449	0.013229
a23	0.245594	0.189161	0.136071	0.151742	0.101977	0.073333	0.0484893	0.0275051	0.026126
a12	0.161359	0.162265	0.172343	0.24233	0.123098	0.0697142	0.0306782	0.0194503	0.0187624
a41	0.30555	0.267408	0.15771	0.108212	0.0700323	0.0536699	0.0211631	0.00944342	0.00681165
a12	0.136243	0.179141	0.184271	0.192026	0.114192	0.0854344	0.0502034	0.0311578	0.0273311
a21	0.107452	0.200893	0.209661	0.21413	0.141535	0.0784122	0.0258002	0.0116854	0.0104316
a5	0.0777254	0.17136	0.170863	0.245553	0.171203	0.0928325	0.0360506	0.0176596	0.0167519
a43	0.054109	0.0969103	0.1173	0.25783	0.229819	0.131894	0.0508412	0.0293791	0.0319174
a75	0.052616	0.0769868	0.10506	0.166346	0.176089	0.153622	0.106622	0.0751504	0.0875083
a25	0.0169626	0.0212507	0.0321631	0.0614736	0.118061	0.228119	0.213693	0.143269	0.165008
a92	0.00517457	0.00325058	0.00817571	0.0183898	0.0462419	0.131661	0.242918	0.24207	0.302118
a37	0.00319102	0.00239114	0.00420344	0.0091885	0.0258448	0.0944372	0.251343	0.302713	0.306688
a61	0.00332403	0.00207224	0.00300367	0.00384385	0.00873205	0.026844	0.119763	0.314545	0.517873
a88	0.00124479	0.00106172	0.00117367	0.00186681	0.00516506	0.0157746	0.0746946	0.283266	0.615753
a98	0.0019962	0.00118528	0.00125784	0.00204921	0.00451284	0.0139532	0.055024	0.251144	0.668877
a79	0.000610034	0.000418502	0.000960491	0.00255469	0.00556938	0.013224	0.0428123	0.216741	0.717109
a37	0.00012344	7.58078e-05	0.000161697	0.000451821	0.00123656	0.00423531	0.0265325	0.227581	0.739602
a26	0.000378965	0.000279046	0.00040243	0.000730114	0.00192333	0.00709552	0.0444552	0.251965	0.692771
a54	0.0256696	0.0185427	0.0120303	0.0182919	0.0457262	0.0738278	0.128449	0.235366	0.442096
a47	0.000633667	0.000582331	0.000998562	0.00137982	0.00433311	0.0140342	0.0567967	0.281227	0.640015
a36	0.000881494	0.000514341	0.00065755	0.00123688	0.0040098	0.0132568	0.052906	0.258737	0.6678
a2	0.0557408	0.0440313	0.0280458	0.0353898	0.0659014	0.0981954	0.143671	0.212207	0.316818
a57	0.279981	0.21197	0.0875734	0.0636453	0.0669183	0.0623165	0.0605281	0.0683761	0.0986917
a87	0.304471	0.310877	0.146633	0.0755356	0.047136	0.0318796	0.0278705	0.0238839	0.0317135
a23	0.262856	0.308934	0.13894	0.0879383	0.0532299	0.0373353	0.0384314	0.0340442	0.0382904
a99	0.0795645	0.0606593	0.026515	0.0132887	0.0163606	0.0257169	0.0703916	0.21537	0.492133
a97	0.0188352	0.0249701	0.013579	0.0126379	0.0151084	0.0204901	0.0688774	0.236939	0.588563
</S>	0.0135407	0.0257402	0.0189188	0.0174679	0.0167963	0.0269685	0.0905267	0.234252	0.555788
