 	voici	une	belle	femme	</S>
a66	0.478696	0.259162	0.131449	0.0721352	0.0585576
a87	0.428563	0.235808	0.113751	0.105489	0.116388
a23	0.607032	0.187826	0.063402	0.0633085	0.0784319
a53	0.53148	0.212871	0.0882498	0.0764405	0.0909586
a90	0.563554	0.186354	0.0817259	0.0766121	0.0917533
a56	0.421059	0.274691	0.143836	0.081275	0.0791381
a94	0.272682	0.261868	0.217769	0.120437	0.127243
a96	0.232479	0.244733	0.228246	0.139001	0.155542
a62	0.224493	0.209427	0.197951	0.163689	0.20444
a47	0.209419	0.188925	0.199427	0.182117	0.220112
a88	0.197369	0.197778	0.193853	0.183357	0.227643
a47	0.148372	0.158867	0.18668	0.227833	0.278247
a96	0.142872	0.17044	0.18297	0.226077	0.277642
a31	0.0619981	0.107506	0.193856	0.29529	0.34135
a94	0.0381366	0.0655506	0.148517	0.312714	0.435082
a93	0.0219459	0.037779	0.10075	0.311084	0.528442
a94	0.0134701	0.0254454	0.0738162	0.281676	0.605592
a43	0.00831753	0.015174	0.0485947	0.259155	0.668759
a53	0.00568443	0.0132858	0.0466261	0.262473	0.671931
a69	0.00355955	0.00987843	0.0377123	0.235941	0.712909
a7	0.004319	0.0107003	0.0352156	0.222147	0.727618
a84	0.00186429	0.00543366	0.0240914	0.220265	0.748345
a87	0.166176	0.120543	0.140937	0.237043	0.335301
a23	0.532873	0.211812	0.0884662	0.0788628	0.0879865
a87	0.276199	0.13783	0.0811981	0.17245	0.332323
</S>	0.0298713	0.0308328	0.0445967	0.224941	0.669758
