 	il	n'	y	a	pas	assez	de	sel	dans	la	soupe	</S>
a23	0.149214	0.128857	0.103468	0.0795419	0.0761805	0.0848727	0.0751083	0.0723984	0.0768095	0.0643875	0.0460477	0.0431148
a87	0.223289	0.203022	0.167581	0.102781	0.0653482	0.0320738	0.024971	0.0233301	0.0214325	0.0313945	0.0540954	0.0506815
a23	0.147646	0.150424	0.148103	0.12078	0.0952813	0.0537785	0.0388252	0.0301998	0.025345	0.0393832	0.0736915	0.0765435
a79	0.221835	0.228068	0.182688	0.119231	0.060932	0.025195	0.0194879	0.0150808	0.0114	0.0190883	0.0385629	0.0584316
a58	0.342833	0.256765	0.156553	0.0887577	0.0386829	0.0216608	0.0195669	0.0166711	0.011029	0.0140191	0.0158204	0.017641
a82	0.327028	0.255953	0.172016	0.121856	0.0584479	0.0222334	0.0146487	0.00894616	0.00445513	0.00455194	0.00497406	0.00488913
a57	0.201696	0.168094	0.148725	0.153898	0.13048	0.0651691	0.0417964	0.0231506	0.0150383	0.015981	0.0195135	0.0164591
a84	0.143605	0.111207	0.100733	0.113201	0.128566	0.0978611	0.0781518	0.0510879	0.0347823	0.0369418	0.0451093	0.0587537
a20	0.0959327	0.07191	0.0626509	0.0688166	0.0922909	0.100784	0.108801	0.104322	0.0620849	0.0606995	0.0635278	0.10818
a73	0.12906	0.123787	0.121102	0.129962	0.126823	0.110588	0.0939727	0.0672127	0.0401041	0.0241647	0.0192966	0.0139289
a2	0.124601	0.119823	0.124722	0.131838	0.14761	0.128734	0.0942684	0.0623642	0.03491	0.015121	0.00977869	0.00622994
a84	0.0958371	0.0951168	0.101148	0.111671	0.143417	0.148821	0.1196	0.0885262	0.0460828	0.0211695	0.0169985	0.0116123
a57	0.0612869	0.0737221	0.0817287	0.0813517	0.104364	0.117635	0.116837	0.126861	0.0710015	0.0438165	0.0533012	0.0680945
a84	0.0682324	0.0841692	0.0935675	0.0913831	0.111714	0.104229	0.0912862	0.0805873	0.0458794	0.0403839	0.0713158	0.117253
a20	0.102617	0.0935947	0.0872794	0.0853902	0.0942592	0.0876278	0.0852282	0.0990922	0.0730824	0.0517264	0.0614405	0.078662
a58	0.100319	0.0968129	0.0936541	0.0991154	0.113047	0.102297	0.0961509	0.0982745	0.0647751	0.0459169	0.045082	0.0445561
a90	0.0924723	0.0893692	0.0943154	0.104233	0.140459	0.142968	0.11119	0.0832705	0.0528004	0.0332496	0.0297813	0.025892
a69	0.0481975	0.0580067	0.0767436	0.0964076	0.162528	0.174753	0.127879	0.0890126	0.0553086	0.0370791	0.0374237	0.0366595
a58	0.0455471	0.0541653	0.0697978	0.0875345	0.158574	0.173507	0.123296	0.0880059	0.0555086	0.0399896	0.0469582	0.057116
a57	0.042638	0.0453357	0.0541551	0.0616657	0.10384	0.144813	0.130456	0.119401	0.0702797	0.044604	0.0780181	0.104793
a53	0.0397802	0.0433961	0.0510015	0.0544153	0.0841414	0.113145	0.11009	0.122196	0.0769602	0.0541613	0.0998183	0.150895
a20	0.040317	0.0399436	0.0433073	0.0460123	0.0732009	0.116647	0.114629	0.115236	0.0753661	0.0571283	0.102981	0.175231
a73	0.0357843	0.0442479	0.0529852	0.0527249	0.0734162	0.107629	0.0976146	0.0929133	0.0776744	0.074383	0.111286	0.179342
a2	0.02201	0.0266393	0.0329075	0.0328735	0.0489865	0.0986719	0.109174	0.130994	0.0951648	0.0788183	0.134037	0.189723
a75	0.018611	0.0207846	0.0229933	0.0214798	0.0290966	0.0507126	0.0621727	0.121548	0.107708	0.0967255	0.16778	0.280388
a73	0.0303325	0.0365369	0.0407912	0.0376762	0.0466211	0.0668916	0.0684639	0.0959429	0.0772106	0.0797531	0.13837	0.28141
a2	0.0155679	0.0200721	0.0258675	0.0256067	0.0346375	0.068157	0.0804574	0.111102	0.104538	0.102892	0.161941	0.249161
a57	0.0121786	0.0135337	0.0149334	0.0139655	0.019251	0.0353063	0.0486118	0.0956469	0.0893493	0.1073	0.200398	0.349526
a10	0.00964615	0.00997927	0.0101708	0.00848389	0.0110948	0.0182674	0.0245678	0.0526125	0.0598776	0.101831	0.216757	0.476712
a20	0.00504416	0.00485859	0.00467042	0.0034362	0.00439088	0.00776011	0.0117328	0.0264393	0.0352153	0.0913851	0.236291	0.568776
a73	0.0198558	0.0209857	0.021541	0.016137	0.0181896	0.029641	0.0361483	0.052528	0.0612505	0.10683	0.227731	0.389162
a32	0.0103911	0.0125617	0.0146944	0.0128996	0.0159023	0.0278314	0.032245	0.0475911	0.0569626	0.10865	0.238335	0.421936
a90	0.00643933	0.0067764	0.007452	0.00696695	0.00950886	0.0170054	0.0201582	0.0300884	0.0362654	0.0850615	0.234997	0.53928
a69	0.0263355	0.0269439	0.0263504	0.0229632	0.0294044	0.0533365	0.0597082	0.0757751	0.0689716	0.0958203	0.178048	0.336343
a4	0.0254169	0.02527	0.0245987	0.0190029	0.022954	0.034749	0.0355187	0.0416327	0.0420099	0.0724905	0.185144	0.471212
a98	0.0211957	0.0206145	0.0197237	0.0144589	0.0167485	0.0232732	0.0232258	0.0277084	0.0311684	0.0681626	0.213218	0.520503
a71	0.0171692	0.0177622	0.0189039	0.0136132	0.0160063	0.0202382	0.0199759	0.0236149	0.0297772	0.0745602	0.23173	0.516649
a9	0.0143532	0.0143415	0.0135609	0.0107165	0.0128023	0.018595	0.0200041	0.0268528	0.0311042	0.078045	0.217901	0.541723
a38	0.0102524	0.00959004	0.0086507	0.00718438	0.00922783	0.0181855	0.0250954	0.039654	0.0475977	0.10783	0.222671	0.494062
