 	cet	homme	a	un	ventre	velu	</S>
a66	0.398588	0.258554	0.138701	0.0964133	0.0579281	0.0266592	0.0231562
a87	0.405741	0.293332	0.190712	0.0746408	0.0230306	0.00624825	0.00629646
a83	0.444165	0.320066	0.168979	0.0424579	0.0141085	0.00544696	0.00477639
a71	0.346185	0.266805	0.199478	0.0773564	0.0431396	0.0295087	0.0375265
a54	0.404831	0.233887	0.172742	0.0753783	0.043701	0.0286422	0.0408191
a47	0.323146	0.248695	0.232613	0.101998	0.0429371	0.0230354	0.0275761
a85	0.173023	0.183464	0.259344	0.209617	0.09907	0.0359553	0.0395258
a6	0.11999	0.155913	0.246831	0.22318	0.137657	0.0684733	0.0479554
a5	0.124615	0.141699	0.198669	0.178612	0.134092	0.120899	0.101413
a12	0.145119	0.154419	0.166148	0.14895	0.138667	0.129478	0.117219
a18	0.128367	0.130772	0.137509	0.14255	0.142621	0.160532	0.15765
a12	0.0646756	0.0613382	0.0782257	0.118379	0.164001	0.190878	0.322503
a75	0.0427795	0.0400349	0.0431359	0.0906379	0.161627	0.274555	0.347229
a25	0.00744388	0.00649283	0.00983506	0.0370269	0.1172	0.390468	0.431534
a79	0.00173379	0.0013028	0.00202118	0.0104992	0.0495572	0.314842	0.620044
a69	0.00256515	0.00212684	0.00322923	0.0107256	0.0420192	0.315765	0.623569
a98	0.00807669	0.0068338	0.00800276	0.0154493	0.0397737	0.317047	0.604817
a85	0.00131678	0.00126288	0.00244112	0.0102841	0.0390375	0.324069	0.621589
a6	0.000437331	0.000359432	0.000806064	0.00566268	0.0353921	0.330646	0.626696
a36	0.00209878	0.00190965	0.00351967	0.013021	0.0472229	0.339335	0.592893
a2	0.00706355	0.00626873	0.012937	0.0400417	0.0843686	0.275387	0.573934
a57	0.0413359	0.0375132	0.0440587	0.0513777	0.0661353	0.225555	0.534024
a87	0.337166	0.190481	0.0862792	0.0540778	0.0493181	0.103703	0.178975
a23	0.452953	0.280963	0.13085	0.0528642	0.028511	0.0278471	0.0260122
a87	0.319528	0.236118	0.129222	0.0700932	0.0505181	0.0857887	0.108732
</S>	0.0617864	0.0509004	0.0420945	0.0476174	0.0769827	0.286397	0.434221
