 	ils	vont	arracher	le	manioc	</S>
a23	0.500326	0.173849	0.111896	0.0513201	0.0625479	0.10006
a87	0.396898	0.105995	0.0753761	0.0752293	0.130725	0.215776
a23	0.390509	0.144326	0.0809435	0.0723666	0.114227	0.197627
a20	0.206147	0.131551	0.0888996	0.0984018	0.168847	0.306154
a73	0.278345	0.214568	0.204387	0.138982	0.097716	0.0660026
a26	0.487473	0.244999	0.178159	0.0461432	0.0251404	0.0180852
a24	0.390312	0.2217	0.222096	0.0770171	0.0485707	0.040305
a35	0.195735	0.188843	0.250328	0.167017	0.113888	0.0841875
a41	0.228172	0.17696	0.264979	0.152497	0.0998373	0.0775561
a24	0.143661	0.11788	0.205035	0.218635	0.180038	0.134751
a18	0.0456596	0.0430217	0.107141	0.251087	0.292088	0.261003
a25	0.0498732	0.0297881	0.0677089	0.17709	0.302844	0.372696
a76	0.0321157	0.0194793	0.050557	0.150886	0.311208	0.435753
a69	0.0116648	0.0161511	0.053279	0.151993	0.324235	0.442677
a84	0.00785186	0.0124948	0.0466529	0.131611	0.289796	0.511593
a87	0.00139964	0.00195721	0.0100938	0.057051	0.236041	0.693457
</S>	0.00123888	0.00278126	0.0124112	0.0599466	0.223906	0.699716
