 	l'	habitude	d'	abattre	les	vieillards	sous	prétexte	qu'	ils	sont	des	sorciers	s'	est	installée	à	boundji	</S>
a66	0.109203	0.0731234	0.0521528	0.0827469	0.114338	0.107781	0.0613001	0.0573669	0.0497776	0.0614627	0.0732058	0.0675511	0.0409708	0.0148475	0.0110607	0.00762718	0.00551686	0.00499739	0.00496942
a87	0.0876839	0.0525792	0.0446982	0.0632815	0.0799736	0.118305	0.0900149	0.0764571	0.067861	0.0511557	0.0440928	0.0343567	0.0252794	0.017832	0.0170078	0.0293199	0.0319761	0.034329	0.0337967
a23	0.192385	0.100861	0.0669898	0.0573911	0.0470689	0.0865832	0.0589341	0.0591245	0.0445839	0.0312818	0.0283372	0.0294063	0.0282883	0.0242348	0.0240546	0.0303828	0.0292469	0.0289818	0.0318636
a50	0.115432	0.078717	0.0568486	0.0792354	0.0576917	0.122576	0.0652495	0.0677063	0.0501751	0.0412966	0.0422166	0.0438818	0.0405588	0.0312235	0.0259193	0.0184779	0.0189963	0.0203415	0.0234559
a88	0.0941833	0.0755189	0.0591634	0.0710828	0.0720535	0.117385	0.057367	0.0527576	0.0462033	0.0428875	0.0477829	0.0549085	0.056316	0.0303582	0.028317	0.0249915	0.0241098	0.0220407	0.0225735
a25	0.150412	0.16384	0.144332	0.13621	0.103573	0.115195	0.0310748	0.0217902	0.0193865	0.0170574	0.0197169	0.017335	0.0165995	0.00928599	0.00817455	0.00684331	0.00776828	0.00610203	0.00530323
a53	0.184022	0.159091	0.134779	0.114648	0.0875581	0.0993929	0.0336614	0.0221481	0.0190309	0.0168709	0.0176654	0.0160553	0.0161318	0.0130054	0.0128298	0.0114637	0.0148654	0.0135975	0.0131844
a90	0.0939941	0.133376	0.158621	0.125781	0.103459	0.0831388	0.0414446	0.0277933	0.0212058	0.0186422	0.0179873	0.0152525	0.0157915	0.0162439	0.0172827	0.0174691	0.0267098	0.0307344	0.0350728
a4	0.0737497	0.0949918	0.139563	0.130371	0.130642	0.106093	0.0581884	0.0399416	0.0283608	0.0228842	0.024175	0.0190089	0.0186513	0.0167461	0.0161357	0.0144197	0.0172612	0.0210809	0.027736
a53	0.0580965	0.0680731	0.107884	0.148648	0.151733	0.133739	0.0752037	0.0419826	0.0274588	0.0226093	0.0226161	0.0172665	0.0163777	0.0159946	0.0154993	0.0151967	0.0178854	0.019859	0.023876
a90	0.0495605	0.0495332	0.0862658	0.128479	0.144359	0.120237	0.0731867	0.0494406	0.0359286	0.0306076	0.0310117	0.023769	0.0215239	0.0203685	0.0191069	0.0192713	0.0248996	0.0309943	0.0414571
a56	0.0308526	0.031855	0.0606624	0.102704	0.145068	0.113761	0.0782798	0.0616185	0.04811	0.0403256	0.0435464	0.0316191	0.0279452	0.0261704	0.0227243	0.0220874	0.0275346	0.0353762	0.0497592
a12	0.0365679	0.0338219	0.0598465	0.118887	0.148344	0.10908	0.0740673	0.0538642	0.0433895	0.0436579	0.0470381	0.0377828	0.0282818	0.0241608	0.0209514	0.0206498	0.0258847	0.0319569	0.0417675
a24	0.0102417	0.00898331	0.0153222	0.0541428	0.0994382	0.0801862	0.0888008	0.0670447	0.0670344	0.0708588	0.0740405	0.0609525	0.0424805	0.0403585	0.0333296	0.0308375	0.0402971	0.0495606	0.0660902
a47	0.00406833	0.00288024	0.00514666	0.0246761	0.0621061	0.0616202	0.106987	0.0818716	0.0868561	0.0818921	0.084648	0.0671508	0.0470683	0.0463537	0.0375247	0.0349512	0.0422568	0.0512698	0.0706719
a96	0.00539029	0.00349551	0.00642042	0.0262382	0.0635072	0.0634799	0.103711	0.0924782	0.0945834	0.0888902	0.0927713	0.0723406	0.0501466	0.0465436	0.0362379	0.0307046	0.0326178	0.0378975	0.0525462
a93	0.00565568	0.00376591	0.00655606	0.0260767	0.0568708	0.0546879	0.101864	0.0834121	0.0895403	0.0869538	0.093619	0.0771281	0.0520042	0.0478147	0.0393884	0.0353925	0.0375687	0.0433802	0.0583205
a56	0.00541339	0.00343466	0.00599219	0.0222005	0.0445265	0.0418569	0.0857016	0.0733888	0.0862573	0.0853974	0.090641	0.0780796	0.0547202	0.0521781	0.0451684	0.0445235	0.0513223	0.0572526	0.0719451
a75	0.00349966	0.00228177	0.00359075	0.0125784	0.0269483	0.0255742	0.0589943	0.0540535	0.0751789	0.0742546	0.0815569	0.0782712	0.0623857	0.0677144	0.0653825	0.0673783	0.0692758	0.0752661	0.0958147
a98	0.00184276	0.00139943	0.00218585	0.00628239	0.0141005	0.0123124	0.0299891	0.0311812	0.0516839	0.0552857	0.0642792	0.072691	0.0709732	0.0891052	0.0920503	0.0919709	0.0869183	0.0970881	0.128661
a85	0.00219374	0.0017265	0.00293164	0.00698743	0.0141301	0.0124612	0.0328395	0.0373286	0.0566201	0.0643235	0.0727995	0.081484	0.0731581	0.0915143	0.0913964	0.0807507	0.0703499	0.0860507	0.120954
