 	mvunzu	était	un	sage	dans	le	village	ongonza	</S>
a57	0.335839	0.140061	0.0978774	0.0779724	0.0736358	0.0875822	0.0740629	0.0679787	0.0449907
a87	0.201554	0.112917	0.0984974	0.0933342	0.103978	0.103592	0.0926629	0.0846063	0.108859
a97	0.177648	0.106316	0.0842004	0.101194	0.13952	0.111978	0.101973	0.0808202	0.096351
a99	0.237675	0.156381	0.115763	0.143808	0.124807	0.0782894	0.0584634	0.0413372	0.0434762
a38	0.421973	0.188325	0.0980986	0.0590076	0.0357919	0.0357165	0.0418868	0.0500874	0.0691138
a94	0.318654	0.233276	0.144325	0.0817803	0.0480206	0.0394351	0.0328945	0.0434411	0.0581735
a96	0.305761	0.203997	0.14694	0.0774013	0.0642037	0.053771	0.0457623	0.0456209	0.0565425
a75	0.224558	0.174458	0.139554	0.0870314	0.088801	0.0784414	0.0695029	0.0633764	0.0742776
a5	0.120285	0.111821	0.112763	0.095085	0.113929	0.11794	0.115028	0.0997418	0.113406
a36	0.0759888	0.0830752	0.0972746	0.100392	0.125096	0.121555	0.119415	0.118632	0.158573
a75	0.0367345	0.049995	0.0697624	0.0891384	0.136492	0.130297	0.134862	0.1504	0.202319
a6	0.0272833	0.0471304	0.0748684	0.105743	0.133678	0.141401	0.159791	0.145165	0.164941
a56	0.0163321	0.0334564	0.0577267	0.0945001	0.139779	0.151456	0.147662	0.159101	0.199986
a75	0.00843482	0.0152565	0.0261413	0.0584	0.127914	0.177131	0.208476	0.186248	0.191998
a5	0.00478657	0.0093852	0.0174916	0.0473824	0.101069	0.156267	0.201722	0.214845	0.24705
a21	0.00479098	0.00783167	0.0119968	0.0313821	0.0780741	0.147785	0.239479	0.239042	0.239619
a5	0.00277589	0.00470377	0.00691702	0.0173635	0.0398528	0.0965764	0.211229	0.289436	0.331146
a43	0.00147528	0.00270661	0.00409627	0.0114837	0.0252939	0.0644843	0.175083	0.319997	0.39538
a90	0.00129536	0.00239904	0.00356643	0.00981249	0.0185547	0.0448448	0.131686	0.328892	0.458949
a93	0.000859287	0.00163146	0.00253231	0.0087392	0.0172123	0.038643	0.120271	0.297851	0.51226
a56	0.000571335	0.000940899	0.00141675	0.00491586	0.0113148	0.030267	0.104053	0.304034	0.542486
a94	0.00060464	0.0009671	0.00146822	0.0045663	0.00966849	0.0254055	0.0879677	0.290242	0.579111
a93	0.000505205	0.000843586	0.0012754	0.00323277	0.00508551	0.0169759	0.0600295	0.261128	0.650924
a44	0.000527136	0.000900734	0.00136644	0.00383376	0.00761294	0.020802	0.0669576	0.270993	0.627007
a66	0.000679107	0.0012231	0.00184088	0.00470072	0.00734526	0.0224095	0.0702238	0.2772	0.614377
a27	0.00185261	0.00215269	0.00256247	0.00712152	0.0122632	0.0361342	0.105312	0.311523	0.521079
a82	0.0115289	0.00935876	0.00927665	0.0205402	0.0329351	0.0602885	0.139548	0.296544	0.419981
a97	0.0505484	0.0343839	0.0312314	0.0478615	0.0658851	0.0889775	0.134569	0.239487	0.307056
a87	0.0557294	0.0357596	0.0310593	0.0377666	0.0509514	0.0740452	0.125836	0.255535	0.333317
a97	0.0228944	0.0167478	0.0169937	0.0307893	0.0499015	0.0845817	0.163475	0.299029	0.315588
a3	0.0187961	0.0169923	0.0199374	0.051087	0.087018	0.10635	0.149848	0.241058	0.308913
</S>	0.0165489	0.0188275	0.0264427	0.0654753	0.0905836	0.0978492	0.133343	0.21265	0.338279
