 	cet	homme	est	impuissant	</S>
a66	0.676334	0.184663	0.0776848	0.0298542	0.0314647
a10	0.18451	0.195441	0.215856	0.212987	0.191205
a87	0.551375	0.259763	0.0855026	0.0608576	0.042502
a97	0.539048	0.299038	0.0939472	0.0436184	0.0243483
a50	0.615503	0.256294	0.0713666	0.0327427	0.0240936
a62	0.677213	0.223455	0.0596079	0.0268421	0.0128824
a83	0.640425	0.245844	0.0724724	0.0271228	0.0141362
a98	0.428185	0.297535	0.14963	0.075559	0.0490914
a85	0.272236	0.27198	0.228001	0.135092	0.0926904
a5	0.135817	0.199736	0.255379	0.231827	0.177241
a12	0.110948	0.114639	0.19273	0.306723	0.274961
a43	0.0430614	0.0621141	0.160908	0.327768	0.406149
a21	0.019032	0.0286931	0.0863185	0.250769	0.615187
a47	0.0102581	0.0160452	0.0516831	0.181712	0.740302
a88	0.014153	0.0239271	0.06443	0.162056	0.735434
a71	0.00880674	0.0151208	0.0458298	0.155121	0.775121
a9	0.0296034	0.0259299	0.0500267	0.155267	0.739172
a10	0.292828	0.135014	0.1099	0.150166	0.312092
a87	0.413371	0.204008	0.11461	0.110461	0.15755
a23	0.319081	0.218209	0.123229	0.135674	0.203806
a87	0.143278	0.104492	0.0813997	0.157878	0.512952
a97	0.0248758	0.0292613	0.0473812	0.181061	0.717421
</S>	0.0559168	0.0592074	0.0746697	0.210745	0.599461
