 	les	gens	se	sont	réunis	en	masse	dans	la	salle	de	l'	école	</S>
a66	0.0872977	0.0819389	0.0787095	0.0753432	0.0860067	0.106391	0.161898	0.159519	0.111639	0.0275372	0.00808026	0.00568824	0.00498365	0.00496715
a87	0.354685	0.184449	0.0855189	0.0454466	0.0365334	0.0403858	0.0556181	0.0537712	0.0423747	0.018405	0.0120976	0.0194979	0.0232715	0.0279447
a23	0.367144	0.187791	0.0984669	0.0656484	0.0489842	0.0487936	0.0493031	0.0365095	0.0278145	0.0152504	0.00814116	0.0109343	0.0146736	0.0205461
a79	0.330114	0.157197	0.0858578	0.0658358	0.0478716	0.0447199	0.0415765	0.0260885	0.0156919	0.0119072	0.0125169	0.0220148	0.0479573	0.0906507
a7	0.26334	0.0764519	0.0414737	0.037683	0.0392937	0.0559943	0.0772209	0.0797716	0.0645056	0.0454654	0.0387864	0.0422324	0.0547481	0.0830334
a54	0.145503	0.083835	0.0660053	0.0571575	0.0629583	0.0628186	0.057166	0.0641107	0.0585074	0.0612522	0.0524679	0.0642414	0.074677	0.0892994
a6	0.0570951	0.0462957	0.0497769	0.0557029	0.0744587	0.0751841	0.0757957	0.089246	0.076055	0.102277	0.0990989	0.0799851	0.0606509	0.0583784
a36	0.0574596	0.0516229	0.0708217	0.0842166	0.112033	0.10349	0.0895243	0.0914189	0.0587907	0.0628362	0.0643064	0.054757	0.0477123	0.0510105
a37	0.0629518	0.0633917	0.0839627	0.104608	0.128628	0.115694	0.0918887	0.0946946	0.0635884	0.056521	0.0413178	0.0323783	0.0276054	0.0327702
a96	0.0469601	0.0444169	0.0586751	0.0885513	0.110714	0.108594	0.100587	0.113272	0.0800508	0.0649805	0.0484145	0.0449897	0.042502	0.047292
a66	0.0261757	0.0249237	0.0332027	0.0598812	0.0812523	0.0927488	0.1243	0.157214	0.110689	0.0752102	0.0548044	0.0521337	0.0518748	0.0555892
a71	0.0270717	0.028064	0.0344407	0.0536784	0.0661561	0.0765644	0.113685	0.168313	0.137037	0.0871918	0.0561632	0.0520612	0.0480749	0.0514978
a53	0.0316581	0.0323878	0.033921	0.0459618	0.0528202	0.0674985	0.101973	0.139547	0.159779	0.129106	0.0657637	0.048699	0.0430977	0.0477866
a15	0.011504	0.010594	0.013533	0.0264937	0.0407099	0.0558811	0.124997	0.168998	0.144676	0.0899955	0.0753128	0.0729469	0.0784705	0.0858873
a7	0.00836925	0.00824475	0.0105499	0.019924	0.0279383	0.0341492	0.0785359	0.11753	0.12673	0.104886	0.107714	0.107852	0.114933	0.132645
a84	0.0138348	0.0136275	0.0173058	0.0279755	0.0414495	0.0593612	0.11545	0.153634	0.158243	0.103776	0.0739122	0.0689869	0.069554	0.0828889
a87	0.0273398	0.0245438	0.0265685	0.0353331	0.0489557	0.0731928	0.103338	0.123111	0.152407	0.118403	0.0655196	0.0556658	0.0638472	0.0817748
