 	il	a	abordé	la	pirogue	</S>
a87	0.247445	0.218221	0.189224	0.119123	0.115792	0.110196
a23	0.220081	0.166391	0.135729	0.146596	0.170446	0.160759
a30	0.223127	0.233986	0.191194	0.133785	0.109476	0.108432
a53	0.222685	0.230388	0.227821	0.131904	0.09033	0.0968725
a20	0.34382	0.231267	0.18119	0.113492	0.0665302	0.0637011
a30	0.408571	0.255728	0.175234	0.0952286	0.0384159	0.0268227
a57	0.365953	0.26258	0.196875	0.108198	0.0420173	0.0243757
a40	0.294763	0.235838	0.210801	0.138297	0.0677765	0.0525242
a30	0.316297	0.226198	0.197361	0.134569	0.0728047	0.0527697
a44	0.339593	0.238265	0.18364	0.122859	0.0689921	0.0466515
a57	0.240047	0.206553	0.190031	0.165755	0.115423	0.0821905
a10	0.147118	0.159242	0.19319	0.199579	0.167198	0.133674
a26	0.157339	0.165412	0.196415	0.178161	0.154648	0.148025
a98	0.148212	0.159089	0.190293	0.179228	0.159747	0.163431
a66	0.130675	0.143237	0.171758	0.174012	0.178768	0.201549
a26	0.0952856	0.105934	0.125669	0.152959	0.21656	0.303593
a43	0.0823206	0.0935125	0.114148	0.137581	0.215895	0.356543
a11	0.0201744	0.0328729	0.0506916	0.0972544	0.255791	0.543216
a26	0.0152544	0.0257779	0.0409369	0.0829085	0.247432	0.587691
a32	0.00933864	0.0180031	0.0308783	0.0772535	0.25595	0.608577
a71	0.00358746	0.00742988	0.014249	0.0467015	0.240182	0.68785
a38	0.00905205	0.0140976	0.0230615	0.0620356	0.249881	0.641873
a14	0.00786159	0.0127351	0.0220337	0.0588272	0.237809	0.660733
a35	0.00520942	0.010496	0.0184485	0.0544032	0.251359	0.660084
a62	0.00619391	0.0107137	0.018028	0.0514118	0.245842	0.66781
a24	0.00672714	0.0100354	0.0166907	0.0462761	0.221604	0.698666
a9	0.0119566	0.0183306	0.0298023	0.0677773	0.239809	0.632325
a87	0.0363395	0.0420795	0.0543658	0.091399	0.229305	0.546511
</S>	0.0249017	0.0321221	0.0422704	0.0838759	0.241658	0.575171
