 	il	a	la	langue	pendante	parce	qu'	il	a	mangé	du	piment	</S>
a66	0.137763	0.113113	0.0833146	0.0719447	0.0965365	0.106866	0.123854	0.118561	0.0922139	0.0302701	0.0165803	0.00501716	0.00396601
a87	0.146676	0.0982568	0.073019	0.0722914	0.105897	0.103351	0.104643	0.112011	0.0753822	0.0376295	0.026644	0.0214512	0.0227483
a97	0.0474996	0.0388103	0.0522493	0.0574537	0.109252	0.130896	0.129542	0.120414	0.107748	0.0914159	0.0659922	0.0293104	0.0194177
a30	0.0452931	0.0414157	0.0710092	0.0879006	0.145538	0.187481	0.142246	0.109541	0.0730466	0.0440639	0.0296378	0.013179	0.00964735
a93	0.0490138	0.0451147	0.0730786	0.0765519	0.150764	0.166658	0.154531	0.126607	0.0843636	0.0384877	0.0220287	0.00765643	0.00514423
a90	0.197662	0.153312	0.132688	0.0724964	0.0931454	0.113987	0.097316	0.0628448	0.0371756	0.0194337	0.0131977	0.00404226	0.00269876
a92	0.19585	0.167307	0.151698	0.103273	0.0710495	0.0840412	0.0691404	0.0515841	0.0351212	0.026493	0.0252208	0.0112109	0.0080115
a12	0.185908	0.177507	0.18013	0.108287	0.0491779	0.0605913	0.048404	0.0408332	0.0334208	0.0313158	0.0362461	0.0236903	0.024488
a31	0.18991	0.170363	0.184647	0.112415	0.0513089	0.0675742	0.0489404	0.0406827	0.0328705	0.0278238	0.0294205	0.0206076	0.0234372
a47	0.137881	0.124521	0.151012	0.122237	0.0739086	0.104532	0.076037	0.057984	0.0426819	0.0315166	0.0299393	0.0209928	0.026757
a62	0.0926325	0.0939421	0.123376	0.127678	0.0911826	0.133027	0.0946959	0.0705444	0.0481789	0.0331442	0.0310917	0.0249724	0.0355347
a47	0.0876842	0.0804947	0.0984824	0.117033	0.0865748	0.132422	0.109227	0.0828583	0.0597585	0.0362072	0.0329787	0.028824	0.0474551
a61	0.0504869	0.052195	0.0713675	0.0988998	0.097433	0.141118	0.128789	0.11196	0.0872585	0.0501955	0.0406894	0.0286552	0.0409512
a34	0.0426974	0.0388485	0.0510203	0.0761935	0.0763757	0.117253	0.116786	0.108692	0.107328	0.0746122	0.0636706	0.0506539	0.0758687
a96	0.0252367	0.0246062	0.038094	0.0681697	0.0832558	0.126441	0.124765	0.113942	0.112846	0.0838504	0.0700895	0.0527912	0.0759136
a11	0.0152803	0.014404	0.0214547	0.0433129	0.0672396	0.10895	0.114936	0.113334	0.130848	0.118304	0.100984	0.0673044	0.0836477
a31	0.0111613	0.00999536	0.0143162	0.0271811	0.0472459	0.0890962	0.10195	0.0942526	0.107896	0.116884	0.119152	0.116644	0.144226
a47	0.00979311	0.00837215	0.0115946	0.0217552	0.0408283	0.0723119	0.089215	0.0901098	0.114456	0.13865	0.144033	0.126496	0.132385
a62	0.010295	0.00971263	0.0135448	0.0270698	0.0405838	0.0666421	0.0708795	0.0713654	0.0893472	0.118961	0.133897	0.14683	0.200872
a24	0.00514862	0.00449763	0.00697236	0.0133593	0.022155	0.0362827	0.0434412	0.0468787	0.0659041	0.112103	0.154578	0.224384	0.264295
a62	0.00274899	0.00227416	0.00316079	0.00687918	0.0108406	0.0188152	0.0218351	0.0247866	0.03821	0.0839512	0.137733	0.289614	0.359152
a21	0.00225405	0.00193582	0.0025642	0.0054006	0.00936738	0.0172027	0.0217924	0.0264713	0.0429473	0.0978	0.14813	0.27964	0.344494
a61	0.00221294	0.00200883	0.00278391	0.00576318	0.00912345	0.0130312	0.0151397	0.0166075	0.0233418	0.0536277	0.0972835	0.291926	0.467151
a31	0.00139104	0.00131308	0.00183196	0.00397707	0.00586911	0.00876067	0.0103919	0.0129504	0.0208241	0.0532192	0.0957684	0.272524	0.51118
a47	0.000949197	0.000919203	0.0012168	0.00309117	0.005092	0.00801502	0.00930709	0.0119355	0.0192744	0.0479866	0.0822563	0.25763	0.552326
a62	0.00135109	0.00134658	0.00168807	0.0041748	0.00712007	0.0108828	0.0114864	0.013951	0.0197869	0.0417206	0.0651429	0.239336	0.582013
a88	0.000832347	0.000736701	0.000894412	0.00209742	0.00382284	0.00596592	0.00759191	0.00981701	0.0151431	0.0350779	0.0611049	0.257934	0.598981
a62	0.00080007	0.000704205	0.000698694	0.00143405	0.00288346	0.00482284	0.00674115	0.00896719	0.0148018	0.0345302	0.057637	0.253633	0.612346
a70	0.00102691	0.000890017	0.00088466	0.00181897	0.00345685	0.00570238	0.00778426	0.0107295	0.0186867	0.0453392	0.073715	0.264238	0.565727
