 	je	m'	appelle	thomas	</S>
a23	0.372697	0.230969	0.192039	0.135268	0.0690275
a87	0.399358	0.17087	0.134565	0.153188	0.14202
a79	0.314365	0.208316	0.149473	0.166154	0.161693
a20	0.382914	0.190315	0.127109	0.156885	0.142776
a35	0.567239	0.240458	0.0970863	0.0626832	0.0325332
a66	0.464805	0.335129	0.124776	0.0537761	0.0215129
a76	0.265572	0.325077	0.225843	0.120527	0.0629809
a35	0.330902	0.34386	0.180423	0.0916996	0.0531152
a30	0.344128	0.287163	0.199532	0.115366	0.0538106
a35	0.214579	0.250927	0.219205	0.186535	0.128753
a30	0.193699	0.207713	0.216186	0.229452	0.15295
a35	0.130167	0.166669	0.215564	0.25681	0.230791
a57	0.0534511	0.076153	0.156375	0.354268	0.359752
a87	0.00848145	0.013654	0.0622858	0.344054	0.571525
a79	0.00379266	0.0069944	0.0392778	0.275228	0.674707
a90	0.0119343	0.017436	0.0716137	0.31496	0.584055
a93	0.0189911	0.0315701	0.106848	0.318062	0.524529
a35	0.0142805	0.0201365	0.0823584	0.283337	0.599888
a76	0.00632826	0.0110703	0.0696145	0.26686	0.646127
a30	0.0113849	0.0174488	0.0738987	0.25194	0.645327
a57	0.00225409	0.00644736	0.056596	0.313616	0.621087
a87	0.0148364	0.0168276	0.0597151	0.253774	0.654847
</S>	0.0465397	0.0487007	0.113481	0.341197	0.450082
