 	notre	maison	s'	est	écroulée	pendant	la	tempête	</S>
a66	0.232384	0.139879	0.115929	0.118283	0.132898	0.113694	0.0815809	0.0395253	0.0258262
a10	0.20768	0.123874	0.0928863	0.0782892	0.0641437	0.122848	0.15966	0.0989034	0.0517146
a87	0.172941	0.155895	0.141499	0.0910261	0.0813965	0.0685791	0.0755217	0.107728	0.105414
a97	0.160887	0.155895	0.157835	0.108865	0.0959039	0.078324	0.0817523	0.0829452	0.0775937
a99	0.158482	0.160133	0.166017	0.0988616	0.0823303	0.0748122	0.08755	0.0898183	0.0819951
a13	0.210357	0.162508	0.146113	0.0840523	0.061261	0.0573685	0.0926001	0.0925507	0.09319
a38	0.229604	0.133542	0.105545	0.0646666	0.0550305	0.0629585	0.119003	0.107914	0.121736
a21	0.265422	0.163881	0.145455	0.100089	0.0925199	0.0632998	0.0724021	0.0502403	0.0466901
a5	0.209861	0.176617	0.207165	0.166308	0.120779	0.0432266	0.0358762	0.0213518	0.0188158
a61	0.126537	0.132753	0.190943	0.21616	0.187144	0.0699464	0.0395268	0.0201134	0.0168764
a43	0.0935919	0.120714	0.186287	0.237629	0.210526	0.0748922	0.0359216	0.0209738	0.0194645
a21	0.0694221	0.0995295	0.167715	0.251299	0.232839	0.0895864	0.0392949	0.0247548	0.0255592
a47	0.0992891	0.118043	0.168233	0.220957	0.178488	0.10208	0.0549047	0.0317377	0.0262677
a43	0.082604	0.093941	0.128924	0.199085	0.185391	0.14325	0.0729132	0.0470544	0.0468381
a11	0.0490422	0.0599023	0.0845243	0.159351	0.202663	0.213048	0.109526	0.063178	0.0587652
a93	0.0467828	0.0484735	0.0585115	0.107568	0.158711	0.221234	0.146433	0.104218	0.108068
a70	0.0397969	0.0370846	0.0386545	0.0660422	0.108671	0.204906	0.179151	0.151976	0.173717
a47	0.0216579	0.0199236	0.0202595	0.0341659	0.0600864	0.143525	0.185959	0.216678	0.297744
a61	0.0277073	0.0250644	0.0232415	0.0341549	0.0579371	0.140988	0.198234	0.221369	0.271304
a43	0.0111408	0.010958	0.0116801	0.0207453	0.039519	0.1013	0.175025	0.256566	0.373066
a94	0.00580883	0.00483954	0.00464392	0.00823633	0.0177339	0.0539484	0.123752	0.265287	0.51575
a53	0.00356792	0.00281868	0.00245851	0.00396824	0.00956352	0.0368251	0.0932513	0.256912	0.590635
a15	0.00227789	0.00179548	0.00149578	0.00236341	0.0059962	0.0300173	0.086446	0.248968	0.62064
a7	0.00459064	0.00328309	0.00217356	0.00282921	0.00579777	0.0236909	0.0701388	0.260112	0.627384
a2	0.0125638	0.00846719	0.00518737	0.00631222	0.0106931	0.0432267	0.111573	0.287664	0.514313
a57	0.098099	0.0724083	0.0536746	0.0563172	0.0592609	0.0951084	0.119722	0.183666	0.261743
a97	0.127192	0.0828552	0.0559955	0.041107	0.038272	0.0592688	0.10644	0.205355	0.283515
a87	0.0965109	0.0635583	0.0462502	0.0359973	0.035853	0.0540519	0.105128	0.21774	0.34491
a97	0.0803302	0.0504297	0.0392128	0.0346228	0.0405383	0.0678566	0.123834	0.222168	0.341008
a10	0.0689433	0.0464273	0.039374	0.036608	0.0444785	0.0739054	0.124245	0.222242	0.343777
</S>	0.0736159	0.0547637	0.0521493	0.0505237	0.0581906	0.0818022	0.117444	0.195571	0.31594
