 	ce	safoutier	a	donné	des	nouvelles	feuilles	</S>
a66	0.379982	0.27541	0.173743	0.0778691	0.0418527	0.0191183	0.0172065	0.0148187
a87	0.30201	0.223185	0.184747	0.115913	0.0761055	0.0518875	0.0289965	0.0171561
a23	0.249047	0.21033	0.179628	0.147739	0.097193	0.0685866	0.0289945	0.0184811
a79	0.304743	0.224049	0.140676	0.0907331	0.057619	0.0677798	0.0496772	0.0647227
a20	0.23921	0.183591	0.177003	0.1145	0.0806263	0.0935218	0.0611573	0.050391
a32	0.164043	0.167235	0.225106	0.179006	0.110169	0.0577798	0.0513908	0.0452693
a75	0.181543	0.192736	0.192875	0.145295	0.107525	0.0860263	0.0640235	0.0299765
a85	0.139127	0.143255	0.206379	0.211814	0.123921	0.0823654	0.0656366	0.027502
a75	0.0783041	0.0936255	0.203814	0.206199	0.152641	0.145616	0.0863373	0.0334629
a47	0.0491594	0.0456675	0.0634443	0.0759073	0.123962	0.340343	0.222833	0.078683
a61	0.0295177	0.0194542	0.0154924	0.022943	0.0525582	0.287883	0.381505	0.190647
a21	0.0137615	0.00729497	0.00448779	0.00763137	0.0189292	0.0897396	0.461464	0.396692
a12	0.0046567	0.00276763	0.0022115	0.00401812	0.0112206	0.048657	0.338288	0.588181
a18	0.0026565	0.00142422	0.00124599	0.00247635	0.00589492	0.0309383	0.216491	0.738872
a88	0.00226609	0.00140226	0.0013765	0.00316993	0.00949743	0.0711488	0.221623	0.689516
a18	0.00237539	0.00176129	0.00342869	0.0110591	0.0308209	0.124454	0.262581	0.56352
a25	0.043182	0.0363101	0.0546277	0.0631388	0.0656911	0.106659	0.220774	0.409617
a87	0.28074	0.20197	0.121992	0.0763371	0.0517979	0.059155	0.084737	0.123271
a23	0.32564	0.272581	0.180043	0.0893278	0.0465969	0.0366429	0.0247559	0.0244125
a87	0.0743142	0.0560323	0.0484435	0.0482044	0.061826	0.155714	0.22822	0.327245
</S>	0.0120414	0.00858122	0.00868116	0.0105339	0.0254625	0.17013	0.29957	0.465
