 	elle	a	le	bras	couvert	de	bracelets	</S>
a87	0.198797	0.145286	0.136947	0.120946	0.1299	0.0987129	0.0994468	0.0699636
a30	0.19147	0.131566	0.118183	0.107639	0.10244	0.123583	0.126266	0.0988517
a53	0.273562	0.153214	0.127683	0.104541	0.0776378	0.0710164	0.0833079	0.109038
a20	0.28195	0.158067	0.115452	0.0882074	0.0868707	0.0733568	0.0786431	0.117453
a47	0.294906	0.190906	0.134912	0.0968116	0.0745916	0.0867254	0.0640931	0.0570538
a15	0.299725	0.206448	0.146311	0.0992152	0.0644676	0.0805777	0.0508227	0.0524325
a7	0.2679	0.201818	0.15486	0.120726	0.0840583	0.084321	0.045927	0.0403897
a76	0.213413	0.169731	0.167305	0.144011	0.122338	0.0919854	0.0498345	0.0413815
a73	0.102537	0.10122	0.113509	0.121918	0.124447	0.159002	0.144152	0.133214
a37	0.0682442	0.0653052	0.07993	0.0933749	0.111459	0.172372	0.209043	0.200272
a61	0.0701154	0.0610552	0.0774972	0.0947835	0.123902	0.182906	0.20924	0.180501
a41	0.0642989	0.0639105	0.0857011	0.113482	0.147155	0.193279	0.194363	0.137811
a85	0.039503	0.0346488	0.0399219	0.0524566	0.0749211	0.130021	0.289667	0.338861
a37	0.0479837	0.0435248	0.0480293	0.0610169	0.0813802	0.127701	0.261624	0.32874
a31	0.0632459	0.0529668	0.0531712	0.0593805	0.0784535	0.123281	0.276008	0.293493
a66	0.0266625	0.0245639	0.0284294	0.0348226	0.0539164	0.0873285	0.288252	0.456025
a98	0.00733236	0.00673193	0.00754785	0.00932066	0.0202747	0.0499466	0.294253	0.604593
a47	0.0126803	0.0118093	0.0124483	0.0162321	0.0288432	0.0685679	0.272786	0.576633
a37	0.00546215	0.00539323	0.00660366	0.0100691	0.0208223	0.0574246	0.279379	0.614846
a36	0.00348285	0.00424253	0.0049716	0.00782428	0.0158448	0.0432291	0.285098	0.635307
a2	0.022995	0.0232433	0.0224179	0.0252939	0.0344613	0.0565391	0.248691	0.566359
a57	0.108903	0.0794009	0.0738184	0.0736009	0.0847549	0.0942223	0.203003	0.282297
a87	0.113162	0.0925629	0.0891177	0.08393	0.0882204	0.0939026	0.190962	0.248142
a23	0.146737	0.112679	0.0998399	0.0905305	0.0957999	0.0901423	0.172022	0.192249
a87	0.0821132	0.0775864	0.077403	0.101029	0.0921771	0.109445	0.198329	0.261917
a10	0.0211886	0.0296208	0.0421552	0.0695413	0.0658416	0.110276	0.254145	0.407231
a87	0.0308996	0.0378451	0.0472321	0.0652718	0.0582583	0.0954993	0.237309	0.427685
a10	0.0497868	0.0632277	0.073424	0.092877	0.073483	0.103775	0.197338	0.346089
a87	0.0907411	0.0979791	0.0945296	0.0984329	0.0744013	0.0971987	0.165225	0.281493
</S>	0.110712	0.120742	0.114649	0.117696	0.0882716	0.0921744	0.13506	0.220696
