 	la	manière	dont	il	voulait	nous	faire	traverser	le	fleuve	était	suicidaire	</S>
a66	0.251484	0.147524	0.104887	0.099845	0.124794	0.0721679	0.0440436	0.0412155	0.0260905	0.0291241	0.0254443	0.0215773	0.0118024
a97	0.138857	0.035047	0.0364987	0.0440352	0.104953	0.123624	0.0828778	0.0879201	0.0573435	0.0823598	0.0829386	0.0690833	0.0544616
a9	0.242472	0.128936	0.0962224	0.0921072	0.0867617	0.054151	0.0437397	0.047382	0.0359882	0.0482265	0.0409265	0.0446	0.0384867
a3	0.290122	0.185916	0.102205	0.0597812	0.0582642	0.0419172	0.0360049	0.0477509	0.0389418	0.0452658	0.0359101	0.0315657	0.0263557
a83	0.356529	0.210868	0.0831713	0.0475791	0.0375007	0.0320871	0.029208	0.0393211	0.0346193	0.0407124	0.032972	0.0299253	0.025506
a62	0.492539	0.246922	0.0715969	0.0357646	0.0147371	0.015933	0.0155111	0.0155401	0.0149169	0.0187363	0.0180117	0.0178889	0.0219029
a88	0.295297	0.430715	0.130591	0.0547315	0.017854	0.0139325	0.00984903	0.0100305	0.00650766	0.00955843	0.00902295	0.00535719	0.00655323
a71	0.258915	0.4061	0.144238	0.0731145	0.0333464	0.0192344	0.012148	0.0115184	0.00736156	0.010931	0.0115019	0.00552346	0.00606696
a62	0.155755	0.302418	0.166731	0.102652	0.0765117	0.0452808	0.0295055	0.027293	0.018251	0.022702	0.0235412	0.0138654	0.0154941
a47	0.150164	0.26199	0.178429	0.129576	0.0877351	0.0558653	0.0303038	0.026354	0.0161928	0.0198304	0.0204198	0.0113851	0.0117551
a62	0.125319	0.198203	0.171709	0.13542	0.133707	0.0768928	0.038826	0.0314315	0.021111	0.0213905	0.0191842	0.0134375	0.0133687
a31	0.0789677	0.166586	0.180832	0.174584	0.158738	0.0938077	0.0403436	0.0312463	0.01733	0.0195525	0.0183505	0.0100446	0.00961688
a0	0.0603248	0.131801	0.167228	0.170352	0.175911	0.115018	0.0498919	0.0389788	0.0214598	0.0230437	0.0208599	0.0132225	0.0119092
a47	0.033711	0.0856953	0.128721	0.14914	0.204262	0.154909	0.0760573	0.0573493	0.0298799	0.0283351	0.0238482	0.0160748	0.0120169
a31	0.0324458	0.0674174	0.107768	0.14031	0.21818	0.174964	0.0863662	0.062017	0.0304093	0.0287924	0.0236737	0.0155578	0.0120981
a24	0.0225561	0.0485221	0.0990892	0.127277	0.201837	0.170657	0.0994472	0.0744752	0.0403826	0.0399844	0.0343556	0.0237317	0.0176846
a31	0.0125045	0.034017	0.08857	0.126668	0.21239	0.178119	0.109057	0.0799014	0.04424	0.0407357	0.0335221	0.0242374	0.0160381
a88	0.0146582	0.0293077	0.0677315	0.0926971	0.177292	0.159554	0.122906	0.0989854	0.063671	0.0598483	0.0521569	0.0389976	0.0221953
a50	0.00899563	0.023462	0.0763469	0.11304	0.194079	0.174505	0.11362	0.0864694	0.0539654	0.048691	0.0409823	0.0397006	0.0261419
a62	0.00933436	0.0191955	0.0636496	0.105869	0.186522	0.159288	0.116516	0.0883076	0.0606541	0.0556165	0.048298	0.0504394	0.0363099
a21	0.00772275	0.0153252	0.0453793	0.081421	0.156929	0.133907	0.124515	0.0959173	0.0769935	0.0723229	0.0646396	0.0693178	0.0556106
a47	0.00519584	0.00774388	0.0344698	0.067288	0.122631	0.134416	0.140853	0.122809	0.101277	0.0869481	0.0775797	0.0624039	0.0363842
a62	0.00617338	0.0122325	0.0343659	0.0705147	0.120885	0.120523	0.142446	0.106308	0.101173	0.0838221	0.0743036	0.0728104	0.0544422
a47	0.00412802	0.00788662	0.0261684	0.0534881	0.115528	0.115845	0.145982	0.114024	0.108811	0.0875979	0.0770805	0.0834249	0.0600351
a18	0.00405185	0.00854307	0.0250734	0.0519863	0.0995381	0.103966	0.151608	0.113696	0.128099	0.0941992	0.0795801	0.0835289	0.056129
a62	0.00155851	0.00298946	0.0125788	0.0324468	0.0876203	0.100582	0.158138	0.122547	0.139631	0.0916241	0.0764313	0.104005	0.0698473
a98	0.00186028	0.00303438	0.0116723	0.0246773	0.0666762	0.0673631	0.112754	0.0920952	0.123727	0.0969387	0.0951349	0.150716	0.153351
a70	0.000682628	0.0016492	0.00859813	0.0194144	0.0595771	0.0713546	0.136137	0.114743	0.169651	0.107949	0.0942464	0.110184	0.105814
a93	0.000566132	0.00112513	0.00564661	0.0156989	0.047702	0.0550295	0.124145	0.09356	0.183417	0.10538	0.0963717	0.133702	0.137656
a13	0.00058285	0.00120372	0.00511211	0.0134406	0.0352304	0.0450962	0.114724	0.0855004	0.173067	0.118419	0.114922	0.131479	0.161223
a38	0.000455333	0.000788119	0.00288896	0.00980208	0.0377533	0.0401591	0.108782	0.0770758	0.175999	0.104473	0.102813	0.156241	0.182769
