 	il	se	fit	blâmer	par	son	chef	</S>
a23	0.299964	0.280726	0.143059	0.111902	0.0622899	0.0425804	0.030985	0.028494
a87	0.353581	0.197601	0.111649	0.113019	0.0662593	0.0585948	0.0491061	0.05019
a23	0.115333	0.0997717	0.144722	0.165848	0.123111	0.110165	0.109822	0.131228
a20	0.178093	0.155102	0.178184	0.126088	0.0893673	0.0789017	0.0852616	0.109003
a73	0.225263	0.279506	0.284707	0.078297	0.0385082	0.0289217	0.0287829	0.036014
a94	0.16081	0.216679	0.309077	0.134788	0.0808557	0.0462901	0.0264073	0.0250919
a38	0.176855	0.22645	0.236876	0.123846	0.0829736	0.0600421	0.04487	0.0480879
a73	0.199869	0.265401	0.216421	0.112525	0.0676158	0.0484066	0.0432456	0.0465154
a94	0.18377	0.249305	0.233535	0.141633	0.0751381	0.0440846	0.0362286	0.0363059
a24	0.19068	0.24388	0.247198	0.136525	0.0701888	0.0411582	0.0350143	0.0353545
a94	0.164774	0.200435	0.244138	0.135501	0.096112	0.0625235	0.0480317	0.0484851
a98	0.131956	0.156538	0.282729	0.150162	0.0996112	0.0645327	0.0537117	0.0607593
a14	0.118526	0.140665	0.279475	0.170623	0.11211	0.0701539	0.0528072	0.0556404
a73	0.141168	0.145756	0.232592	0.161746	0.10049	0.0827042	0.0675668	0.0679758
a76	0.0959226	0.096051	0.189876	0.148421	0.125089	0.119179	0.108466	0.116995
a90	0.0943866	0.0925699	0.0989327	0.110694	0.109933	0.132172	0.158483	0.202829
a69	0.0643983	0.0635401	0.103471	0.0960692	0.129143	0.166373	0.180162	0.196844
a57	0.046576	0.0377429	0.0749883	0.0590952	0.11924	0.180416	0.232119	0.249823
a53	0.030093	0.0171269	0.0265595	0.0239021	0.0641509	0.136967	0.286877	0.414324
a90	0.035168	0.0238521	0.0381516	0.0234183	0.0546906	0.123991	0.28078	0.419948
a13	0.0194414	0.0130423	0.0225457	0.0160219	0.0419294	0.108963	0.287802	0.490255
a9	0.0209096	0.0105678	0.0151635	0.00923309	0.0216312	0.0699628	0.249422	0.60311
a87	0.0196924	0.0110326	0.0130593	0.00865773	0.0166369	0.0613333	0.250427	0.619161
</S>	0.0215658	0.0157683	0.0224977	0.0271565	0.0473376	0.11068	0.271615	0.483379
