 	le	repas	qu'	il	a	préparé	pour	nous	offrir	a	été	excessif	</S>
a66	0.208378	0.105239	0.106639	0.107271	0.0952696	0.0711518	0.0503058	0.0526159	0.0604359	0.0480273	0.0421456	0.0377308	0.0147906
a87	0.255239	0.147342	0.117549	0.0908077	0.0715558	0.0563423	0.0394505	0.0446639	0.0495301	0.0421645	0.0305213	0.0337846	0.0210493
a97	0.288017	0.180249	0.100804	0.047675	0.027437	0.0259634	0.0271636	0.0425167	0.0748519	0.0622838	0.0391381	0.0508696	0.033031
a99	0.221666	0.17266	0.108432	0.0562452	0.0335963	0.032915	0.031237	0.0491884	0.0835642	0.0710299	0.0518998	0.0532079	0.0343574
a53	0.259081	0.184094	0.0881397	0.0397265	0.0287626	0.0340033	0.0334228	0.0435815	0.0816216	0.0699057	0.052258	0.0475391	0.0378643
a5	0.390547	0.166483	0.0995654	0.0609779	0.055867	0.0479252	0.0302803	0.0225276	0.0349777	0.0246727	0.0236863	0.0196815	0.0228085
a36	0.274337	0.244301	0.15862	0.0776891	0.0648629	0.0503654	0.031677	0.0194436	0.0205392	0.0138905	0.0138065	0.0125366	0.0179306
a54	0.188645	0.17342	0.144356	0.0963343	0.0917886	0.0765892	0.0581309	0.0396652	0.0353074	0.0239355	0.0232381	0.0233659	0.0252239
a15	0.104673	0.105425	0.123645	0.128682	0.14064	0.112492	0.0743274	0.0465727	0.0393709	0.0262817	0.0276482	0.0331548	0.0370871
a7	0.104384	0.138144	0.173385	0.154537	0.140723	0.0935162	0.0546628	0.0326937	0.0287546	0.0183751	0.0192662	0.0190689	0.02249
a44	0.0597937	0.0936216	0.129352	0.120266	0.126324	0.106864	0.0821577	0.0519868	0.0440301	0.0291639	0.0334668	0.0508784	0.0720943
a53	0.0473328	0.057089	0.0955942	0.115156	0.106415	0.095189	0.0895448	0.0839168	0.0780544	0.0519277	0.0508141	0.0645899	0.0643769
a90	0.0380789	0.0391813	0.0646778	0.0979472	0.101443	0.0966326	0.0960076	0.0948579	0.0941131	0.0687395	0.0682118	0.0742623	0.065847
a94	0.0263857	0.0346833	0.05805	0.0966809	0.104676	0.105372	0.104021	0.101795	0.0889122	0.0665981	0.0666028	0.0808372	0.0653852
a90	0.0190053	0.0230647	0.0374774	0.080738	0.100262	0.108544	0.115163	0.111179	0.0954939	0.071409	0.0704105	0.0904875	0.0767654
a69	0.0191376	0.0248441	0.04323	0.0886714	0.104559	0.112654	0.114411	0.105499	0.087392	0.0700825	0.0740712	0.0930782	0.0623702
a58	0.0171662	0.0191809	0.0290682	0.0657302	0.090767	0.107239	0.123227	0.117405	0.0998607	0.0793955	0.0778321	0.0974266	0.0757009
a82	0.0116988	0.0117506	0.017882	0.0479115	0.0800455	0.111375	0.142773	0.143248	0.115581	0.082213	0.0659211	0.0817855	0.0878141
a99	0.00919035	0.00747182	0.0110677	0.0290665	0.0538284	0.0954632	0.145491	0.160295	0.130768	0.098132	0.0694138	0.0851328	0.10468
a38	0.0088796	0.00693097	0.00936155	0.0217824	0.0423416	0.0820952	0.136233	0.152337	0.117387	0.0995309	0.0757647	0.109883	0.137473
a83	0.0102331	0.00800624	0.00980511	0.0210862	0.0395501	0.0697395	0.114981	0.145122	0.104064	0.096663	0.0783436	0.129467	0.17294
a70	0.0072928	0.00536411	0.0065263	0.0150326	0.030001	0.056064	0.0993624	0.128551	0.0845886	0.0871132	0.0777583	0.168922	0.233423
a94	0.00850642	0.00579186	0.00750253	0.0163283	0.0293501	0.0522652	0.0905927	0.125972	0.0819691	0.0845255	0.073132	0.171519	0.252546
a62	0.00412793	0.00320619	0.00469596	0.0130662	0.0279055	0.0519949	0.0996388	0.136657	0.0893905	0.0958229	0.0892464	0.166449	0.217799
a88	0.00495144	0.00422121	0.00630262	0.0146784	0.0265564	0.0448605	0.0841238	0.116941	0.0828011	0.0897525	0.0878305	0.161454	0.275527
a71	0.00397715	0.00327271	0.00506454	0.0115813	0.0200984	0.0360589	0.073079	0.112165	0.0701312	0.0783921	0.0751143	0.182258	0.328808
a53	0.00375014	0.00280675	0.00376642	0.00791781	0.0136558	0.0252806	0.0497353	0.0818554	0.0463428	0.0599126	0.0598158	0.22662	0.41854
a90	0.0034511	0.00318892	0.00417204	0.00894301	0.0181498	0.0342054	0.0695017	0.107878	0.0721126	0.0896709	0.0888482	0.207164	0.292714
a94	0.0027544	0.00279785	0.00413181	0.00964179	0.0182947	0.0319569	0.065186	0.104328	0.0678167	0.0868016	0.0919828	0.2288	0.285507
a75	0.00250843	0.00227488	0.0032878	0.00768194	0.0143385	0.0257206	0.053644	0.0784045	0.0471942	0.067032	0.0768874	0.271362	0.349664
a85	0.00311944	0.00340748	0.00553143	0.0126146	0.0238126	0.0377998	0.0700562	0.0984625	0.0629814	0.0907175	0.0945898	0.195317	0.30159
a92	0.00471289	0.00541856	0.00920154	0.0199153	0.0365468	0.0531552	0.0807462	0.097321	0.0612667	0.0788164	0.0791278	0.16422	0.309551
a36	0.00312879	0.00364948	0.00619538	0.0152069	0.0286422	0.0416901	0.0667293	0.0845711	0.0510901	0.0677931	0.0739047	0.199989	0.35741
a94	0.00129888	0.00125976	0.0018459	0.00410574	0.00885619	0.0151063	0.0319852	0.0473601	0.0241534	0.037405	0.0420833	0.226057	0.558483
a43	0.00157633	0.00148052	0.0019805	0.00431359	0.00890166	0.0146806	0.0300924	0.0502949	0.0276461	0.044884	0.0493791	0.220217	0.544554
a11	0.00188464	0.00147836	0.00172983	0.00322894	0.00612666	0.0092522	0.016047	0.024603	0.0125191	0.0203265	0.0245354	0.210312	0.667956
a24	0.00445399	0.00401474	0.00442462	0.00600981	0.00992106	0.0139777	0.0184518	0.0258859	0.0115807	0.0192943	0.0213064	0.277599	0.58308
a94	0.00819322	0.00708082	0.00732772	0.00864518	0.0128858	0.0167685	0.0205538	0.0259521	0.0127094	0.0208631	0.0242576	0.278485	0.556277
a36	0.00349319	0.00272059	0.00282436	0.00368876	0.00552378	0.00729847	0.00897956	0.0118787	0.00577663	0.0105971	0.0138155	0.209149	0.714255
a15	0.00732825	0.00667857	0.00691529	0.00798251	0.0111568	0.0137446	0.0169789	0.0213229	0.0110694	0.0174094	0.0198733	0.261005	0.598535
a69	0.00436744	0.00364857	0.0039144	0.00514014	0.00883937	0.0116367	0.0142385	0.0152049	0.00615839	0.00920906	0.0118864	0.239496	0.66626
a4	0.00194765	0.0018879	0.00220999	0.00318266	0.00504716	0.00668232	0.00975144	0.0130996	0.00602651	0.0102269	0.0127633	0.204261	0.722914
a44	0.00160333	0.00171055	0.00191304	0.00270863	0.00423039	0.0058392	0.00936957	0.0151651	0.00778426	0.0136039	0.017528	0.207128	0.711416
a36	0.000926278	0.000940623	0.00117561	0.00192703	0.00334478	0.00495048	0.00868062	0.0142315	0.00700935	0.0126959	0.0168731	0.204337	0.722908
a26	0.00263406	0.00209207	0.00233658	0.00354114	0.00671593	0.0104203	0.0170442	0.0233226	0.0115299	0.018216	0.0205526	0.247049	0.634546
a57	0.0159458	0.0133132	0.0123215	0.0138202	0.0202078	0.0249088	0.0368547	0.0471264	0.0273659	0.0413466	0.0452748	0.308187	0.393328
a97	0.0503948	0.0373334	0.0282157	0.0247562	0.0260599	0.0263174	0.0325472	0.041511	0.0311136	0.0475806	0.0573503	0.305555	0.291265
a87	0.0513999	0.0455548	0.0409866	0.037252	0.0327978	0.0308787	0.0358811	0.0490392	0.0432566	0.069313	0.0808735	0.256627	0.22614
a97	0.0636407	0.0578002	0.0557781	0.0503225	0.0419247	0.0388806	0.0460388	0.0648126	0.0554872	0.0821707	0.0892474	0.183392	0.170504
</S>	0.0601561	0.0495172	0.0491324	0.054122	0.0526959	0.0569096	0.0742843	0.0875644	0.0770462	0.0766553	0.0735503	0.143947	0.144419
