 	les	enfants	ont	passé	toute	la	journée	à	jouer	</S>
a66	0.322391	0.207109	0.130484	0.091798	0.09421	0.0789522	0.0294208	0.0167245	0.0136165	0.0152933
a87	0.434744	0.1718	0.0902646	0.0635194	0.0497961	0.0431183	0.0213048	0.0298495	0.0386135	0.0569898
a23	0.295174	0.182745	0.121928	0.0826592	0.0686989	0.0492653	0.0287543	0.0401939	0.0535636	0.0770181
a87	0.185689	0.112217	0.0898963	0.090715	0.078763	0.0481751	0.0420591	0.0736219	0.106981	0.171882
a23	0.213213	0.128555	0.0873354	0.0761098	0.0720404	0.0546098	0.0480506	0.0735352	0.0985795	0.147971
a40	0.131787	0.0773312	0.0682023	0.0788922	0.0733701	0.0637862	0.0636899	0.105222	0.138041	0.199678
a37	0.365806	0.211913	0.134934	0.0846213	0.0604809	0.0390556	0.0212856	0.0235205	0.0270436	0.0313397
a85	0.228301	0.196929	0.176226	0.127353	0.0838151	0.0508161	0.0290327	0.0310505	0.0351788	0.0412981
a47	0.152161	0.172098	0.191872	0.169144	0.123218	0.077364	0.0305407	0.0251722	0.0265966	0.031834
a37	0.0779102	0.11983	0.189604	0.206985	0.149475	0.0831895	0.0364665	0.0344015	0.0418842	0.0602541
a93	0.0859039	0.111013	0.162047	0.196774	0.169098	0.0953771	0.0448977	0.0397066	0.0431929	0.0519901
a70	0.101172	0.123254	0.164409	0.184091	0.180333	0.103957	0.0382536	0.0317029	0.0336014	0.0392267
a88	0.0545662	0.0711439	0.112796	0.165458	0.223191	0.168822	0.0638364	0.0440386	0.044798	0.0513503
a62	0.0272506	0.0360132	0.0653614	0.13525	0.232482	0.215703	0.0904697	0.0590607	0.062523	0.075886
a61	0.0167153	0.0230253	0.0436324	0.0981599	0.184868	0.209275	0.155166	0.0873668	0.08311	0.0986816
a34	0.0210195	0.0277102	0.0480939	0.0949644	0.17125	0.214374	0.165817	0.0903337	0.0777105	0.0887264
a70	0.0142623	0.01831	0.0309918	0.061061	0.109323	0.175983	0.218914	0.143188	0.11088	0.117087
a24	0.0100983	0.0134032	0.0224494	0.0475721	0.0804248	0.126519	0.229805	0.179822	0.140898	0.149008
a75	0.00659521	0.00851897	0.0131222	0.0260433	0.0491164	0.0789516	0.192493	0.20835	0.194607	0.222202
a96	0.00574578	0.00744113	0.0124698	0.0263654	0.0442691	0.0741504	0.196826	0.218743	0.19732	0.216669
a62	0.00363803	0.00506328	0.00789867	0.0168511	0.0288672	0.0403589	0.130461	0.216417	0.258771	0.291674
a88	0.00121327	0.00149804	0.00210406	0.004207	0.00781054	0.0137913	0.0701002	0.192519	0.350107	0.356649
a75	0.00134605	0.00141217	0.00183759	0.00321241	0.00451572	0.00699269	0.0343559	0.134839	0.337866	0.473623
a92	0.000510678	0.000646637	0.00105417	0.00280839	0.0050326	0.00926563	0.0490445	0.164677	0.339516	0.427445
a85	0.000285398	0.000389778	0.00066021	0.00191067	0.00365414	0.00649776	0.0398428	0.14408	0.347392	0.455287
a5	0.000253023	0.000364348	0.000662346	0.00182275	0.00291852	0.00476069	0.030649	0.119654	0.327778	0.511137
a36	0.000395344	0.000506738	0.000692661	0.00149151	0.0027628	0.00471491	0.0321345	0.121105	0.319732	0.516464
a0	0.000393468	0.000527594	0.000709363	0.00113333	0.00158547	0.00231957	0.0143794	0.0807334	0.293416	0.604802
a54	0.00102768	0.00106756	0.00136649	0.00221629	0.00274842	0.00507089	0.0281471	0.121583	0.320668	0.516104
a36	0.000881634	0.000976961	0.00140265	0.00235699	0.00272804	0.00473631	0.0197558	0.0941913	0.299671	0.573299
a26	0.00527988	0.00468921	0.00517968	0.00684958	0.00785428	0.0138227	0.0483663	0.148163	0.303248	0.456547
a3	0.0656483	0.0634582	0.0571256	0.0506674	0.0517427	0.0528406	0.0912777	0.131544	0.190042	0.245654
a87	0.182082	0.1198	0.0793596	0.0508515	0.0448874	0.044267	0.0560651	0.0915382	0.135282	0.195867
a23	0.177551	0.118596	0.0790831	0.0513986	0.046452	0.0439512	0.0629285	0.106908	0.140812	0.17232
a87	0.137692	0.101998	0.0704926	0.0400367	0.0284818	0.0256947	0.0448427	0.113933	0.184727	0.252102
</S>	0.0235457	0.0172234	0.0150835	0.012825	0.0108467	0.0131043	0.0407769	0.125175	0.269908	0.471512
