 	il	saisit	son	adversaire	à	bras-le-corps	</S>
a23	0.123228	0.0892348	0.0578756	0.0485473	0.129081	0.28412	0.267913
a87	0.303374	0.152232	0.107876	0.0764512	0.0911396	0.141202	0.127725
a23	0.334691	0.163706	0.104129	0.0853361	0.0947507	0.119817	0.0975697
a30	0.109135	0.0543025	0.0485804	0.0752159	0.160875	0.28712	0.264772
a20	0.281012	0.190713	0.114481	0.0793157	0.0884198	0.13221	0.113849
a30	0.430149	0.235252	0.123789	0.0783303	0.0548595	0.0452023	0.0324177
a40	0.417761	0.274736	0.167295	0.0711761	0.0318609	0.0214762	0.0156949
a30	0.407769	0.309178	0.168563	0.0611927	0.023474	0.016085	0.0137391
a73	0.364069	0.296624	0.206617	0.076847	0.0260499	0.0158185	0.013975
a26	0.312216	0.26529	0.221311	0.101589	0.0408003	0.0294534	0.0293398
a94	0.296336	0.234156	0.214688	0.116836	0.0567249	0.0390163	0.0422437
a35	0.277069	0.228338	0.207625	0.122448	0.0686553	0.047168	0.0486974
a90	0.244849	0.200078	0.192555	0.1395	0.0900241	0.0662447	0.0667502
a57	0.203129	0.176565	0.20205	0.165842	0.0924603	0.0776711	0.0822826
a9	0.108399	0.0965875	0.139513	0.156933	0.146038	0.172217	0.180312
a53	0.0747451	0.0782397	0.127863	0.162643	0.137766	0.199574	0.21917
a90	0.0689311	0.0581982	0.0795781	0.135735	0.173726	0.236951	0.24688
a13	0.0277146	0.021415	0.0364707	0.0886929	0.175108	0.322441	0.328158
a26	0.0101654	0.00795688	0.0137374	0.036921	0.113253	0.353873	0.464093
a24	0.00416538	0.00289633	0.00500892	0.0141979	0.0744683	0.348838	0.550425
a76	0.0029877	0.00175348	0.00319033	0.00961207	0.0602191	0.322809	0.599429
a94	0.00647997	0.00451438	0.00665372	0.0136164	0.0628834	0.313478	0.592375
a98	0.00341483	0.00217701	0.0040057	0.0109125	0.0625916	0.29935	0.617548
a14	0.00196951	0.00139543	0.00263046	0.00783657	0.0546249	0.293673	0.63787
a35	0.0028504	0.00219604	0.00396016	0.0107364	0.0672899	0.342843	0.570124
a66	0.00184724	0.00124639	0.00220909	0.00670443	0.0499604	0.313254	0.624778
a9	0.00129399	0.000773108	0.00168737	0.00737165	0.0526531	0.252862	0.683359
a99	0.00268401	0.00179407	0.00467151	0.0181625	0.0707242	0.247898	0.654065
a87	0.00449096	0.00337655	0.00771028	0.0255993	0.0869685	0.254293	0.617561
</S>	0.0070662	0.00630887	0.0118241	0.0341918	0.10773	0.311135	0.521744
