 	la	somme	d'	argent	est	juste	</S>
a66	0.485582	0.207737	0.100097	0.0939026	0.0627038	0.029249	0.0207289
a87	0.475407	0.226135	0.111623	0.0893168	0.0521091	0.0270363	0.0183725
a23	0.506301	0.286143	0.0937904	0.0522651	0.0299514	0.0180767	0.0134726
a87	0.554721	0.324069	0.0566163	0.0303987	0.0130688	0.00998413	0.0111427
a23	0.520269	0.342297	0.0699914	0.0356317	0.0142157	0.00915421	0.00844093
a99	0.561411	0.270451	0.0468748	0.0347956	0.0259919	0.0308785	0.0295967
a53	0.40362	0.224667	0.0593399	0.061418	0.0706711	0.104342	0.0759412
a15	0.241947	0.239892	0.122992	0.107575	0.102141	0.115599	0.069853
a79	0.0900841	0.149904	0.1329	0.153988	0.171687	0.200406	0.101031
a90	0.139008	0.198473	0.151915	0.12981	0.121669	0.148187	0.110937
a56	0.17441	0.246883	0.167654	0.117321	0.0835127	0.108373	0.101847
a12	0.163395	0.216132	0.170343	0.126578	0.0812539	0.107302	0.134996
a96	0.101331	0.140282	0.153328	0.144949	0.117022	0.151713	0.191375
a18	0.0734337	0.103232	0.157364	0.174189	0.135932	0.153544	0.202306
a94	0.0323093	0.0456944	0.0920496	0.134694	0.143457	0.179591	0.372205
a90	0.03617	0.0412752	0.0895932	0.152263	0.169543	0.173727	0.337429
a25	0.0124203	0.0104237	0.0326946	0.0768148	0.142351	0.259145	0.46615
a20	0.00377218	0.0029751	0.0132646	0.0349984	0.09361	0.281158	0.570221
a69	0.00601913	0.00321309	0.00759716	0.0172362	0.0630971	0.259816	0.643021
a90	0.00312941	0.00156476	0.00583421	0.0155643	0.0685475	0.278195	0.627165
a69	0.00280271	0.00128979	0.00555845	0.0143615	0.06868	0.274105	0.633203
a58	0.00210882	0.000861376	0.00378893	0.00920438	0.0476977	0.269842	0.666497
a84	0.00150127	0.00070663	0.0044577	0.0126873	0.0813368	0.279466	0.619844
a87	0.22126	0.0657333	0.0581741	0.0686019	0.079362	0.16369	0.343179
a23	0.497324	0.164367	0.0958283	0.0770993	0.0560233	0.0526696	0.0566889
a87	0.223746	0.0711057	0.0682227	0.0799153	0.130131	0.194578	0.232301
a97	0.0197704	0.00684243	0.00988249	0.0188985	0.0783966	0.313937	0.552273
</S>	0.0381826	0.0253358	0.0225693	0.0368606	0.103855	0.315161	0.458036
