 	cette	femme	a	abandonné	son	foyer	conjugal	parce	que	son	mari	est	éhonté	</S>
a87	0.121549	0.093402	0.114848	0.136594	0.123809	0.129848	0.101018	0.0595242	0.0362649	0.0260216	0.0229648	0.0140184	0.0105879	0.009551
a30	0.192962	0.132001	0.0870366	0.0599634	0.0368801	0.0396866	0.0588446	0.0578372	0.0410811	0.0356232	0.0406775	0.0562563	0.0585405	0.102609
a93	0.191242	0.139551	0.0973221	0.0686886	0.0444776	0.038302	0.057081	0.0422879	0.0251139	0.0254082	0.0343885	0.0420995	0.0816235	0.112414
a21	0.269273	0.165688	0.121602	0.0986136	0.0595273	0.0669675	0.0675219	0.0383357	0.020161	0.0158773	0.0207319	0.0185786	0.0192017	0.0179193
a56	0.396338	0.235649	0.148221	0.0784991	0.045798	0.0372136	0.020992	0.0109065	0.00550262	0.00387806	0.00448391	0.00375286	0.00307368	0.00569182
a90	0.328296	0.231115	0.17349	0.0898373	0.0587827	0.0504102	0.0295774	0.0111402	0.00490243	0.00348879	0.00371703	0.00332754	0.00375029	0.00816455
a76	0.199622	0.18082	0.165662	0.0945754	0.0917586	0.0933024	0.0676575	0.0257309	0.0143595	0.0105161	0.0104813	0.00964562	0.0137154	0.0221537
a73	0.149164	0.170689	0.164039	0.102887	0.0919591	0.104231	0.068912	0.0303963	0.0190237	0.0149849	0.0152281	0.0144918	0.0227403	0.0312541
a37	0.104656	0.140203	0.152927	0.126752	0.118919	0.118045	0.0730605	0.0356175	0.0215992	0.0174121	0.0165169	0.0164427	0.0235079	0.0343403
a61	0.0644022	0.12053	0.152504	0.131431	0.13251	0.131815	0.0861681	0.0411558	0.0227385	0.0174747	0.0173983	0.0186044	0.027202	0.0360657
a66	0.0991444	0.139862	0.168549	0.118693	0.103465	0.11409	0.0865327	0.0421745	0.0237366	0.0168699	0.0148079	0.0151684	0.0243772	0.0325297
a34	0.0355756	0.0888968	0.13382	0.122435	0.125838	0.121039	0.113593	0.0622539	0.033547	0.0249382	0.0217006	0.0241405	0.0406825	0.0515394
a75	0.0661371	0.104281	0.148889	0.127892	0.119415	0.12705	0.107368	0.0543604	0.0303794	0.0199585	0.0154642	0.0155342	0.0273434	0.0359269
a98	0.0382389	0.047569	0.0655806	0.0617773	0.0723538	0.0953653	0.0854387	0.0595034	0.0653149	0.0668151	0.0572387	0.0585165	0.117071	0.109217
a85	0.0200705	0.027198	0.0398809	0.051402	0.0756316	0.10719	0.105844	0.0795685	0.0754073	0.0735555	0.0575103	0.0574641	0.119697	0.10958
a37	0.0221376	0.0314381	0.0488661	0.0579727	0.0757848	0.116106	0.108983	0.0729024	0.0602079	0.0594904	0.0494215	0.0557159	0.133181	0.107793
a61	0.0320109	0.0449666	0.0622563	0.07893	0.111402	0.132004	0.119946	0.0733979	0.0568244	0.0470402	0.0394258	0.0396311	0.0893724	0.0727934
a47	0.0366679	0.0426277	0.0539978	0.0580635	0.0917433	0.114821	0.13045	0.0909156	0.0757091	0.0550828	0.0386198	0.037782	0.088442	0.0850773
a88	0.0490688	0.0604127	0.0672622	0.061061	0.0907214	0.111131	0.0859625	0.0595662	0.0657707	0.0599761	0.0455562	0.0506358	0.103074	0.0898014
a24	0.0161953	0.0238767	0.0285287	0.0323331	0.0588273	0.0699568	0.0831832	0.0666001	0.103471	0.0917895	0.0656087	0.0635989	0.171341	0.12469
a62	0.0155862	0.0186644	0.0214054	0.0222858	0.0418913	0.0525566	0.0653215	0.0582055	0.0967337	0.0978702	0.0683385	0.0717541	0.209504	0.159883
a56	0.0063877	0.00919078	0.0121585	0.0161146	0.0297252	0.0318586	0.0417231	0.0383761	0.0796515	0.0907829	0.071969	0.0727684	0.318711	0.180583
a93	0.00864351	0.0113513	0.0138434	0.0161833	0.029347	0.0365083	0.0519189	0.0467713	0.0823508	0.0881319	0.0730519	0.0851832	0.280167	0.176548
a56	0.00288983	0.00410101	0.00524807	0.00659957	0.0141392	0.0198027	0.0345335	0.0317426	0.0632513	0.079189	0.0729555	0.0970839	0.360126	0.208338
a90	0.00198594	0.00297319	0.00393012	0.00527115	0.0104876	0.0142159	0.027938	0.0276154	0.0541696	0.0703839	0.0697665	0.0957675	0.375721	0.239774
a98	0.00148692	0.00211476	0.00265194	0.00411118	0.00827925	0.0122362	0.0227614	0.0228921	0.0448628	0.0610328	0.0596736	0.0924387	0.358599	0.306859
a92	0.00173044	0.00234707	0.00278404	0.0045775	0.00932494	0.0118817	0.0171008	0.0169668	0.0302931	0.0429873	0.0484679	0.08471	0.353341	0.373487
a37	0.000974514	0.00130742	0.0016176	0.00239347	0.00509292	0.00767837	0.015842	0.0164235	0.0329786	0.0457749	0.0457849	0.0789704	0.373241	0.37192
a21	0.000241463	0.000291571	0.000339617	0.000463678	0.000831071	0.00117151	0.00289612	0.00320763	0.0090878	0.0175268	0.0221486	0.0583622	0.448807	0.434625
a5	0.00108995	0.00121668	0.00167577	0.00241615	0.00451126	0.00626218	0.0121657	0.0120999	0.0240237	0.036538	0.0421638	0.0784378	0.411558	0.365841
a37	0.00170115	0.0017613	0.00208386	0.00261401	0.0038527	0.00499205	0.00778395	0.0080217	0.0163556	0.027564	0.0339268	0.069771	0.374012	0.44556
a98	0.000798189	0.00084396	0.000794169	0.000820954	0.0010414	0.0012927	0.00285497	0.0035071	0.00972853	0.0211138	0.0299538	0.0787859	0.407735	0.440729
a85	0.000224062	0.000261839	0.000320534	0.000435414	0.000747208	0.000964841	0.00284044	0.00390539	0.0106431	0.0228788	0.0322873	0.08079	0.418953	0.424748
a61	0.000168452	0.00022878	0.000310182	0.000522219	0.000964778	0.0014249	0.00310613	0.00420878	0.00919818	0.0188422	0.0267561	0.0731441	0.351741	0.509384
a83	0.000466252	0.000700444	0.000765046	0.000923893	0.00134057	0.00140794	0.0037066	0.00461099	0.0112074	0.0228802	0.0322653	0.0915317	0.469414	0.35878
a9	0.0011444	0.0014989	0.00131889	0.00170756	0.00180035	0.00118731	0.00298753	0.00438234	0.0138197	0.0328378	0.0499255	0.11927	0.436619	0.331501
a10	0.017353	0.0123684	0.0102654	0.0102953	0.0113008	0.00734201	0.0131125	0.019279	0.0479541	0.0861494	0.111233	0.149425	0.307546	0.196377
a87	0.0387394	0.0333464	0.0271636	0.0206658	0.0147044	0.0128491	0.0212157	0.0313257	0.0556072	0.0852255	0.0980287	0.148326	0.232123	0.180679
a10	0.0393715	0.0382269	0.0309318	0.024525	0.0152672	0.0147956	0.024897	0.027639	0.0339104	0.0499946	0.0616451	0.12245	0.25806	0.258286
a9	0.0462641	0.0483468	0.0359716	0.0257839	0.0171032	0.0194892	0.0303191	0.0242577	0.0264108	0.0363293	0.0431045	0.0897135	0.247253	0.309653
a30	0.03319	0.0383494	0.0284775	0.0205001	0.0140721	0.0159716	0.0211309	0.0191179	0.0221433	0.0301582	0.0343022	0.0760434	0.239237	0.407306
</S>	0.0201972	0.0235283	0.0162519	0.0111757	0.00693901	0.00777743	0.0107183	0.0103974	0.0134352	0.0209682	0.0267148	0.0724023	0.259745	0.499749
