 	après	la	bise	a	renoncé	à	lui	faire	ôter	son	manteau	</S>
a66	0.179563	0.170822	0.197771	0.111575	0.0941793	0.0650449	0.0526019	0.0533131	0.0291113	0.0209753	0.0163637	0.00867978
a87	0.39365	0.18516	0.115042	0.0394538	0.0367864	0.0330675	0.0334336	0.0372073	0.0317674	0.040751	0.0320657	0.0216147
a97	0.204904	0.168972	0.152592	0.0777661	0.0809194	0.0814133	0.076544	0.0802658	0.0203441	0.0177787	0.0197954	0.0187055
a87	0.122162	0.114057	0.16666	0.125051	0.142514	0.107598	0.0798321	0.0784226	0.0235655	0.0174085	0.0120558	0.0106725
a97	0.152942	0.128441	0.163337	0.122372	0.114395	0.0848872	0.0729853	0.0741916	0.0263094	0.0231754	0.0176923	0.0192724
a87	0.213334	0.158605	0.178793	0.10961	0.076208	0.0558272	0.0508259	0.0557158	0.0271076	0.026523	0.020982	0.0264687
a97	0.234987	0.169709	0.178957	0.107018	0.0621112	0.0428836	0.0408224	0.0453442	0.0268154	0.0295837	0.0258073	0.035962
a87	0.276737	0.192406	0.165158	0.104916	0.0457857	0.0311873	0.0313619	0.0365484	0.0267811	0.0295583	0.0234065	0.0361533
a23	0.276763	0.185997	0.159622	0.0959912	0.0472427	0.0332648	0.0344522	0.0406289	0.029036	0.0325539	0.0252893	0.0391589
a83	0.251482	0.158229	0.131186	0.0903201	0.0522198	0.046122	0.0466748	0.0492197	0.0403933	0.0433326	0.0354396	0.0553813
a53	0.321503	0.185373	0.121539	0.115414	0.0533479	0.0335677	0.0242646	0.0234088	0.027671	0.0292852	0.0256149	0.0390121
a69	0.197359	0.166991	0.121751	0.158435	0.104105	0.0760995	0.0518419	0.0448591	0.0319833	0.0233708	0.0105789	0.0126246
a58	0.132423	0.134717	0.115939	0.164122	0.129845	0.0963778	0.0657564	0.0561309	0.0420393	0.0323366	0.0165104	0.0138028
a53	0.147204	0.146774	0.122173	0.152336	0.134423	0.0894874	0.0587077	0.0505846	0.0348281	0.0271544	0.0174002	0.0189263
a69	0.104161	0.124567	0.118634	0.150498	0.14115	0.104568	0.0739949	0.062982	0.0401591	0.0309495	0.0225276	0.025807
a4	0.105068	0.124545	0.109517	0.151184	0.149327	0.107	0.0729482	0.061307	0.0361437	0.0266787	0.0227913	0.03349
a58	0.0918335	0.109201	0.130269	0.144142	0.138236	0.100428	0.0696599	0.0574224	0.0335798	0.0283395	0.0370315	0.0598569
a44	0.0983225	0.108717	0.12987	0.139887	0.135323	0.0959063	0.0628094	0.0526204	0.0308356	0.0267113	0.0406383	0.0783592
a4	0.0805864	0.0968209	0.121406	0.13754	0.137845	0.107576	0.0789652	0.0649481	0.0356525	0.0279563	0.0404228	0.0702805
a54	0.061395	0.0842406	0.104799	0.134884	0.145283	0.122152	0.0939784	0.0748427	0.0447863	0.0327511	0.0403254	0.0605619
a56	0.0491949	0.0769456	0.0971422	0.137306	0.151478	0.121658	0.0929137	0.0731846	0.0497285	0.0381315	0.0447194	0.0675973
a93	0.0316173	0.058156	0.0932959	0.112952	0.124318	0.114873	0.100859	0.0805482	0.061382	0.053854	0.0696093	0.098534
a4	0.0285812	0.0552881	0.108758	0.099378	0.106264	0.106499	0.0982019	0.07902	0.05707	0.0545111	0.0843293	0.122099
a13	0.0210652	0.0444745	0.0976908	0.0836392	0.103022	0.123869	0.114172	0.0965909	0.065965	0.0557896	0.0789603	0.114761
a57	0.0136845	0.0278298	0.0692897	0.0597594	0.0826106	0.112527	0.110245	0.097198	0.0785798	0.0664512	0.102227	0.179598
a58	0.00847879	0.0152036	0.0420489	0.0369663	0.0656823	0.104648	0.108547	0.107562	0.108856	0.0906305	0.122303	0.189074
a13	0.00527009	0.00757562	0.0202769	0.0193483	0.0447887	0.0951391	0.114161	0.125858	0.139108	0.116613	0.136392	0.175469
a4	0.00314917	0.00403935	0.00947224	0.00948803	0.0262465	0.0666653	0.0877127	0.0929462	0.114061	0.115836	0.160532	0.309852
a70	0.00233266	0.00414578	0.0110026	0.0148838	0.0308243	0.063746	0.0772995	0.0713874	0.098676	0.11822	0.175307	0.332175
a83	0.00161908	0.00319691	0.00895438	0.0119931	0.0244191	0.0512772	0.0626576	0.0569434	0.0849356	0.114697	0.18318	0.396127
a88	0.000747034	0.00140087	0.0045217	0.00524622	0.0127008	0.027356	0.034339	0.0334556	0.0666747	0.107892	0.227007	0.478659
a0	0.000419246	0.000873098	0.00285262	0.00357111	0.00964093	0.0223531	0.0299166	0.0281029	0.0540542	0.0907511	0.206885	0.550581
a90	0.000363191	0.000666833	0.00200591	0.00219223	0.00611339	0.0143906	0.0207746	0.0199039	0.0411698	0.0758813	0.222775	0.593763
a70	0.000485956	0.000994778	0.00272375	0.00358932	0.00922645	0.0269793	0.0422463	0.037828	0.0622223	0.096573	0.215917	0.501214
a88	0.000347574	0.000710922	0.00186132	0.00216822	0.00537946	0.015015	0.0255283	0.0233923	0.0440967	0.0771903	0.207969	0.596341
