 	il	a	enterré	un	fétiche	au	milieu	de	la	route	ensuite	il	m'	a	maudit	</S>
a66	0.0900197	0.0752076	0.0730897	0.0563673	0.0524397	0.070045	0.119801	0.121483	0.105099	0.0868408	0.0636841	0.0378157	0.0254987	0.0110261	0.00664145	0.00494148
a87	0.269211	0.173079	0.104108	0.0715766	0.0639026	0.0868674	0.0771283	0.0581438	0.0324599	0.0166542	0.0103674	0.00709324	0.00675241	0.00762926	0.00655347	0.00847302
a23	0.216382	0.13504	0.112169	0.117828	0.104543	0.0918243	0.0817639	0.05763	0.0296819	0.0159261	0.00774132	0.00422745	0.00378901	0.00428498	0.00637317	0.0107952
a30	0.116864	0.0773151	0.113623	0.131769	0.147046	0.129528	0.0981272	0.0607817	0.034066	0.020397	0.0145222	0.0115237	0.0119699	0.011417	0.00928403	0.0117654
a53	0.107416	0.0831247	0.133552	0.139429	0.167597	0.136624	0.0870401	0.0446896	0.0242667	0.0177616	0.0127654	0.0116258	0.0122062	0.010032	0.00645397	0.00541635
a69	0.130535	0.11082	0.152015	0.124727	0.155266	0.102444	0.0693062	0.0428847	0.0252568	0.0172391	0.0120166	0.0104198	0.012388	0.0141263	0.0116036	0.00895198
a58	0.169288	0.196127	0.19583	0.112278	0.110279	0.0709463	0.0372118	0.0241013	0.016565	0.0125975	0.00834848	0.00735966	0.00869627	0.0120415	0.0114852	0.00684404
a99	0.105431	0.160379	0.289523	0.141959	0.128843	0.0670498	0.028806	0.0187998	0.0110071	0.00648132	0.00371058	0.00361694	0.00479756	0.00952546	0.0116735	0.0083968
a83	0.0551667	0.080743	0.203739	0.173752	0.194123	0.101293	0.0462359	0.0346481	0.0202472	0.0122116	0.00702507	0.00729299	0.00939466	0.0174369	0.0205045	0.0161856
a99	0.0598092	0.0724439	0.148489	0.166274	0.198524	0.126301	0.0598371	0.038584	0.0224744	0.0152767	0.00980247	0.0090457	0.0111112	0.0192565	0.0245971	0.018175
a83	0.0438388	0.0451692	0.0911961	0.147726	0.189743	0.147436	0.0773569	0.0572973	0.0356737	0.0264272	0.0163611	0.0163812	0.0191124	0.0293989	0.0306137	0.0262686
a62	0.0434957	0.0427457	0.0649556	0.1153	0.144341	0.152745	0.0903452	0.0715363	0.0481016	0.0383596	0.025605	0.0218138	0.0246988	0.038116	0.0424386	0.0354028
a47	0.049323	0.0439024	0.0451793	0.0780341	0.0860634	0.134277	0.119193	0.103974	0.0848861	0.0775319	0.0505331	0.0331839	0.0270392	0.0266267	0.023719	0.0165337
a21	0.0240148	0.0235036	0.026403	0.0475183	0.066109	0.138355	0.15509	0.124884	0.0966933	0.0867079	0.0581524	0.0432782	0.0352058	0.0310294	0.0267685	0.0162872
a12	0.0171561	0.0162584	0.0186341	0.0272415	0.0329216	0.0841869	0.119291	0.115215	0.117775	0.125793	0.0912338	0.0741465	0.0636123	0.0407865	0.0321993	0.0235488
a94	0.0100996	0.00879256	0.00971606	0.0185344	0.0272196	0.0763517	0.127663	0.123503	0.126218	0.130433	0.093635	0.0782756	0.0708872	0.0429971	0.031091	0.024583
a90	0.00667746	0.00597843	0.00656967	0.0149598	0.0264673	0.0737839	0.13349	0.132353	0.128459	0.126229	0.0839881	0.0708891	0.0685854	0.0496838	0.0387859	0.0330998
a56	0.00549057	0.00563117	0.00652154	0.0152131	0.0242786	0.0608441	0.113312	0.119402	0.119763	0.125454	0.0850783	0.0768839	0.0794497	0.0630299	0.0513542	0.0482936
a43	0.00561168	0.00554207	0.00593076	0.0109204	0.0165961	0.0395924	0.0817847	0.099768	0.124029	0.154474	0.118868	0.0986159	0.0900082	0.0598251	0.0454984	0.0429351
a75	0.00562958	0.00514031	0.00525909	0.0122461	0.0224911	0.0510389	0.0880099	0.103464	0.125611	0.142817	0.1076	0.0904094	0.082485	0.0594847	0.0488023	0.0495114
a92	0.00294164	0.00245192	0.00274205	0.00581854	0.00706784	0.0152466	0.0362721	0.054527	0.0960255	0.138067	0.117138	0.112092	0.111903	0.0862007	0.0966029	0.114903
a56	0.0020087	0.0015388	0.00150977	0.00368276	0.00522386	0.0141163	0.037338	0.0543895	0.0965124	0.146645	0.133336	0.130432	0.119486	0.0862053	0.080374	0.0872026
a75	0.00337305	0.00257866	0.00237767	0.00534274	0.00856287	0.0218426	0.0501304	0.06947	0.107895	0.148023	0.139003	0.120552	0.102225	0.0716826	0.069194	0.0777468
a56	0.00236187	0.00160428	0.00131586	0.00271308	0.00348827	0.010151	0.0273635	0.0397831	0.0763506	0.124366	0.119733	0.121184	0.112969	0.0918867	0.116258	0.148472
a93	0.00338813	0.00263692	0.00240841	0.00501622	0.00821856	0.0199668	0.04141	0.0534207	0.0826269	0.121435	0.127973	0.126764	0.116961	0.0890284	0.0911383	0.107608
a4	0.00443147	0.0036634	0.00394368	0.0081862	0.0136057	0.0286006	0.0497908	0.0573509	0.0791518	0.103669	0.104125	0.118933	0.112295	0.0903361	0.0974136	0.124504
a13	0.00329478	0.00251816	0.002418	0.00445158	0.0066637	0.0147211	0.0299582	0.0334829	0.0505498	0.0806213	0.0946188	0.137301	0.146028	0.11674	0.125548	0.151085
a53	0.00644522	0.00550432	0.00580293	0.00843715	0.011901	0.0209092	0.0385331	0.0366886	0.048295	0.0714469	0.085229	0.107507	0.114686	0.0982175	0.139169	0.201228
a93	0.00286327	0.00210139	0.00185711	0.00289696	0.00411243	0.00933861	0.0186764	0.0206925	0.0309715	0.0522455	0.068306	0.131281	0.159183	0.142034	0.161397	0.192043
a96	0.0033431	0.00255934	0.00212831	0.00322209	0.00418902	0.00872027	0.016379	0.0166756	0.024934	0.0419581	0.057042	0.107591	0.143414	0.148015	0.20005	0.219778
a44	0.00200866	0.00152497	0.00141779	0.00216491	0.00312135	0.00715856	0.012569	0.0128785	0.0172115	0.0253729	0.0334355	0.0746761	0.118073	0.14777	0.238269	0.302348
a7	0.00160117	0.00120505	0.00116778	0.00186525	0.00244438	0.00556749	0.0109505	0.011279	0.0153003	0.0220927	0.0273991	0.0639057	0.109105	0.144494	0.256971	0.324651
a26	0.00116948	0.000936114	0.000908886	0.0015988	0.00202693	0.00461028	0.0092527	0.00906766	0.012519	0.0180588	0.0209431	0.0464117	0.0847707	0.118784	0.262407	0.406536
a57	0.0126024	0.011529	0.0103585	0.0118849	0.0156587	0.0240158	0.0384663	0.0350644	0.0430729	0.051834	0.0534289	0.0688317	0.0784153	0.083711	0.16213	0.298996
a87	0.042914	0.0310439	0.0231792	0.0218937	0.0242603	0.0307729	0.0475271	0.0483389	0.0558828	0.0712416	0.0782726	0.107826	0.107711	0.0888223	0.10732	0.112993
a23	0.127534	0.0870058	0.0462641	0.0334875	0.0197956	0.0231849	0.0319559	0.038936	0.0428223	0.0512164	0.0577341	0.0758545	0.0915911	0.117835	0.0901919	0.0645911
a87	0.0466012	0.0297024	0.0218675	0.0225463	0.0148208	0.0146248	0.0167552	0.0268093	0.0339205	0.0432278	0.0473431	0.0678116	0.0935025	0.121022	0.144234	0.255211
a23	0.0359148	0.0201156	0.0105628	0.00970821	0.00726474	0.0103174	0.0217132	0.0420193	0.0584376	0.0659728	0.0623822	0.0703823	0.0937699	0.128484	0.15421	0.208745
a99	0.0233873	0.0161405	0.01084	0.0172051	0.0117728	0.0172637	0.031129	0.0587895	0.0719885	0.0764793	0.0732469	0.101327	0.135867	0.116521	0.0992269	0.138816
a53	0.0109968	0.0071038	0.0041682	0.00818838	0.00604524	0.0137821	0.0247035	0.0385414	0.044951	0.0540878	0.0540481	0.0996083	0.150208	0.13788	0.15523	0.190458
