 	certains	villages	n'	ont	plus	d'	écoles	</S>
a66	0.237424	0.233881	0.201474	0.188543	0.0942737	0.0220694	0.0114018	0.0109338
a87	0.405332	0.243642	0.128605	0.120117	0.0467459	0.0218764	0.0169763	0.0167044
a23	0.454519	0.210044	0.144639	0.0862084	0.0518101	0.0217347	0.0164551	0.0145887
a40	0.463003	0.168499	0.106064	0.0534534	0.0304707	0.0361624	0.0629934	0.0793543
a36	0.261351	0.239429	0.206609	0.148538	0.0767647	0.0285298	0.0196866	0.0190923
a2	0.218582	0.236002	0.241786	0.135219	0.0810913	0.0387532	0.0267832	0.0217838
a44	0.186204	0.185556	0.198632	0.143444	0.130449	0.0776545	0.0426436	0.0354174
a93	0.236855	0.236158	0.223437	0.117859	0.0878353	0.0432423	0.0285847	0.02603
a54	0.218941	0.238865	0.251367	0.119147	0.0754932	0.0363495	0.0315269	0.0283104
a47	0.0669145	0.104701	0.131051	0.120638	0.123563	0.120715	0.164542	0.167875
a37	0.0638452	0.103411	0.131853	0.137244	0.129155	0.11	0.160299	0.164193
a85	0.105142	0.156979	0.211856	0.165231	0.109462	0.0591979	0.0934867	0.0986454
a6	0.0497395	0.0995844	0.132596	0.187142	0.184742	0.11542	0.117568	0.113208
a37	0.0659429	0.110369	0.144248	0.185634	0.189561	0.0958054	0.106333	0.102106
a21	0.0480345	0.0651564	0.0901323	0.162402	0.173585	0.116481	0.166557	0.177653
a85	0.0272824	0.0332752	0.0351512	0.0922823	0.166915	0.197061	0.228027	0.220006
a6	0.00455971	0.00701802	0.00972063	0.0543634	0.130809	0.194616	0.281088	0.317825
a36	0.00704709	0.00791802	0.0106057	0.046178	0.11193	0.227025	0.296798	0.292498
a25	0.00660505	0.00524153	0.00369138	0.00845931	0.0190247	0.0740092	0.359412	0.523556
a92	0.00509925	0.00367424	0.0019322	0.00309419	0.00550059	0.0270218	0.272883	0.680795
a37	0.000961121	0.000732775	0.000487716	0.00174303	0.00640054	0.076744	0.392587	0.520344
a26	0.00107226	0.000782578	0.00048383	0.00152703	0.00478985	0.0519972	0.329592	0.609755
a75	0.00135049	0.00128545	0.000934689	0.00195519	0.00477473	0.0444536	0.280905	0.664341
a47	0.000352126	0.000354426	0.000290874	0.00122327	0.0038577	0.0423624	0.28953	0.662029
a36	7.70913e-05	8.25609e-05	5.8984e-05	0.000370848	0.00193766	0.0418619	0.306652	0.648959
a2	0.00119037	0.00117342	0.000679091	0.00193553	0.0057279	0.0621392	0.326981	0.600173
a57	0.0296597	0.0275087	0.0184553	0.0275048	0.0499694	0.119657	0.275067	0.452178
a87	0.183278	0.095168	0.0494845	0.0640137	0.079785	0.101782	0.165718	0.260771
a23	0.214726	0.114114	0.0820534	0.11402	0.124019	0.117587	0.108362	0.125119
a87	0.111375	0.0522673	0.0245577	0.0372167	0.044936	0.122025	0.262164	0.345459
</S>	0.0118269	0.00562364	0.0031995	0.00788196	0.0180124	0.0850156	0.352853	0.515587
