 	les	abeilles	piquent	beaucoup	</S>
a23	0.517246	0.236132	0.198282	0.025476	0.0228645
a10	0.230256	0.177498	0.227907	0.158207	0.206133
a87	0.147631	0.18086	0.216762	0.201784	0.252963
a23	0.273056	0.187105	0.19434	0.161001	0.184498
a40	0.301942	0.240574	0.18113	0.134563	0.141791
a30	0.567694	0.205598	0.156116	0.0482529	0.02234
a35	0.439394	0.263097	0.238302	0.040693	0.018513
a83	0.430452	0.268287	0.23533	0.0452257	0.0207039
a66	0.37739	0.293483	0.251933	0.049369	0.0278247
a38	0.305494	0.243534	0.226839	0.118839	0.105294
a35	0.255824	0.256115	0.241293	0.137599	0.109169
a98	0.314576	0.298342	0.244484	0.0904598	0.0521376
a41	0.311366	0.318372	0.23279	0.0806276	0.056844
a44	0.234168	0.293666	0.255415	0.12269	0.0940623
a38	0.16224	0.229861	0.319891	0.178452	0.109557
a14	0.0873742	0.139064	0.262863	0.308005	0.202694
a44	0.0976774	0.159019	0.220518	0.263461	0.259324
a57	0.0872256	0.108629	0.180133	0.31256	0.311452
a87	0.0274815	0.0537265	0.152297	0.411868	0.354627
a38	0.0116778	0.0266224	0.0592351	0.36672	0.535745
a75	0.00899707	0.018507	0.066681	0.434811	0.471004
a41	0.0415288	0.0443589	0.0701362	0.338716	0.50526
a84	0.0179296	0.0245631	0.0413178	0.314806	0.601383
a4	0.00418886	0.00725362	0.0158194	0.304002	0.668736
a70	0.0115349	0.0144763	0.0267718	0.244826	0.702391
a24	0.00683989	0.0105204	0.0184544	0.233114	0.731071
a9	0.00871682	0.00947861	0.0146851	0.209389	0.75773
a87	0.020159	0.0246539	0.028041	0.252491	0.674655
a23	0.0241553	0.0187386	0.0198778	0.192952	0.744276
a87	0.0690232	0.0482249	0.0349152	0.20513	0.642706
</S>	0.057686	0.0415574	0.0413855	0.251381	0.60799
