 	jadis	on	éclairait	la	maison	avec	le	feu	d'	une	brindille	maais	aujourd'	hui	c'	est	avec	des	lampes	</S>
a66	0.25873	0.201415	0.170844	0.0325968	0.0266682	0.0201422	0.0281043	0.0371574	0.0303498	0.0356783	0.0237011	0.0238055	0.0234462	0.0175886	0.0142046	0.013548	0.0114555	0.0111025	0.00953897	0.009923
a87	0.374918	0.154263	0.0391704	0.0135048	0.0128561	0.0125921	0.0187966	0.0302033	0.0359413	0.0305662	0.0180674	0.0171903	0.0190231	0.0160236	0.0198821	0.0260676	0.0312699	0.0423989	0.044608	0.0426573
a23	0.385902	0.149247	0.0417548	0.0206938	0.019496	0.0181337	0.0250067	0.0530359	0.0593178	0.0483965	0.0307751	0.0309182	0.0218775	0.0127629	0.0120678	0.0114861	0.0127561	0.0146506	0.0156455	0.0160755
a44	0.0718221	0.0237883	0.0126954	0.0162799	0.0278245	0.0439903	0.0604107	0.0999326	0.153847	0.114838	0.0727415	0.0627823	0.0434757	0.0215354	0.0239299	0.0203714	0.0258093	0.0300519	0.0329844	0.0408888
a36	0.103163	0.0566998	0.0524314	0.0336811	0.0387476	0.0413848	0.0528322	0.0774149	0.101725	0.0746864	0.047106	0.0432919	0.0403945	0.0299532	0.0334134	0.0318436	0.0292593	0.0315549	0.0344853	0.0459318
a6	0.115011	0.113725	0.124391	0.0491366	0.0313341	0.0219131	0.0249191	0.0337113	0.0529616	0.0382423	0.0272966	0.0330977	0.0299975	0.0215749	0.0299904	0.0428411	0.0417931	0.0489371	0.0511353	0.0679915
a85	0.134734	0.142351	0.116746	0.0730278	0.0468922	0.0336779	0.032147	0.0332996	0.0389785	0.0282944	0.0214708	0.0270548	0.0273886	0.019914	0.0258669	0.0392552	0.0371299	0.0390084	0.0388693	0.043894
a36	0.138102	0.139143	0.0926736	0.0850443	0.0588437	0.0443913	0.0362851	0.0307216	0.0314815	0.0264948	0.0238135	0.031197	0.0316145	0.0275075	0.0279353	0.0359674	0.0350464	0.0312236	0.0334361	0.0390783
a85	0.111864	0.0971297	0.0627957	0.097315	0.0940989	0.0628495	0.0474925	0.0375202	0.0378249	0.032905	0.0290473	0.0282	0.0259308	0.0245739	0.0239702	0.0258463	0.0285272	0.0296237	0.0386116	0.063874
a6	0.0721169	0.073487	0.0628245	0.110533	0.0958252	0.0643314	0.0453746	0.0343179	0.0306606	0.0287182	0.0278384	0.0298776	0.0300636	0.0301561	0.0316043	0.0307754	0.0311449	0.0332356	0.0497193	0.0873956
