 	il	m'	a	beaucoup	parlé	du	mariage	</S>
a66	0.329997	0.224506	0.136578	0.108823	0.09551	0.0538406	0.02928	0.0214654
a87	0.330678	0.207171	0.137477	0.109241	0.0848767	0.0541106	0.039104	0.037341
a23	0.389423	0.228542	0.123712	0.0796832	0.0493887	0.0401079	0.0405249	0.0486181
a87	0.313159	0.244435	0.131346	0.0838714	0.0527083	0.0432772	0.049305	0.0818985
a23	0.329244	0.243024	0.133817	0.0928566	0.0574791	0.0400171	0.0424947	0.0610677
a13	0.2363	0.175698	0.112268	0.0994018	0.0736472	0.0732312	0.0887479	0.140706
a30	0.223924	0.216399	0.145512	0.107379	0.066946	0.0633838	0.0676506	0.108805
a53	0.212813	0.227348	0.168167	0.12429	0.0717118	0.0577742	0.0547049	0.0831909
a15	0.179647	0.232387	0.215952	0.14941	0.0835791	0.0595159	0.0380459	0.0414627
a79	0.138818	0.199532	0.243686	0.196611	0.109205	0.0534299	0.0291263	0.0295915
a36	0.133935	0.199751	0.236773	0.181493	0.103257	0.05636	0.0416686	0.0467623
a0	0.0891945	0.142956	0.201463	0.199935	0.128068	0.0819113	0.0708092	0.0856642
a62	0.0807325	0.1074	0.164526	0.198635	0.146559	0.094912	0.0902586	0.116977
a88	0.0769973	0.095243	0.15899	0.229389	0.19311	0.0946138	0.0679202	0.083737
a61	0.0506737	0.0554704	0.0986014	0.187997	0.233826	0.144981	0.103601	0.124849
a75	0.0377257	0.0429586	0.0748634	0.146639	0.241277	0.205235	0.129722	0.121579
a85	0.0120171	0.0149461	0.0268584	0.0637446	0.18189	0.257595	0.232012	0.210937
a92	0.00778254	0.00944643	0.0179502	0.0477498	0.147839	0.246311	0.258164	0.264757
a37	0.0105432	0.0106383	0.0166459	0.0385684	0.122028	0.235502	0.281697	0.284377
a90	0.0108452	0.00968999	0.013797	0.0260926	0.0703062	0.167609	0.290815	0.410845
a93	0.00298237	0.00281208	0.0045997	0.011777	0.0463688	0.151654	0.334905	0.444901
a96	0.00307877	0.00242118	0.00337239	0.00742535	0.0262758	0.0991989	0.298937	0.559291
a31	0.00303614	0.00246896	0.00320484	0.00596341	0.0178516	0.067687	0.282534	0.617254
a43	0.00232989	0.00201991	0.00297035	0.00568016	0.0149039	0.0573	0.25618	0.658615
a31	0.0022327	0.00173651	0.0028021	0.00623816	0.0174104	0.0704204	0.268816	0.630344
a88	0.00116489	0.00120834	0.00209895	0.00498764	0.0153903	0.0630985	0.27921	0.632841
a9	0.00136125	0.00121646	0.0021002	0.00510163	0.0149985	0.0637042	0.270826	0.640691
a83	0.023943	0.0191501	0.0251357	0.0405077	0.0664792	0.136715	0.284265	0.403804
a62	0.00526497	0.00457887	0.00752938	0.0173203	0.0402978	0.112503	0.295299	0.517207
a88	0.00153425	0.00154058	0.00280427	0.00704176	0.0203675	0.0734323	0.269354	0.623925
a71	0.00228414	0.00200448	0.0035984	0.00938318	0.0259008	0.0894993	0.282754	0.584576
a75	0.0131795	0.0110353	0.0153029	0.0281099	0.0503135	0.114735	0.279243	0.488081
a25	0.000815246	0.000679233	0.00123768	0.00319532	0.0119159	0.0592322	0.243198	0.679727
a69	0.000529421	0.000446025	0.000840802	0.00232147	0.0087394	0.0441532	0.229483	0.713486
a58	0.000890227	0.000726844	0.00117018	0.0029829	0.00943589	0.0472413	0.232879	0.704673
a82	0.0182367	0.0144407	0.01998	0.0356065	0.0568611	0.124545	0.267857	0.462472
a87	0.12094	0.0734341	0.0603838	0.0681484	0.0769673	0.121121	0.20243	0.276576
a23	0.284246	0.137484	0.0719946	0.0569505	0.0529857	0.0733098	0.127446	0.195585
a87	0.09751	0.0578983	0.0393377	0.0367808	0.0418764	0.0796262	0.222885	0.424086
</S>	0.0121289	0.00682082	0.00641794	0.00905605	0.017743	0.0640126	0.255958	0.627863
