 	okyemba	a	donné	un	coup	de	pied	à	sa	femme	</S>
a66	0.317611	0.170323	0.116975	0.0951079	0.0780377	0.0627945	0.0589064	0.0392495	0.022684	0.019422	0.0188888
a87	0.259591	0.18226	0.128965	0.0861962	0.0732523	0.0535131	0.0323946	0.0252061	0.029818	0.0516143	0.0771896
a23	0.360534	0.278732	0.169343	0.0799283	0.0403192	0.0160127	0.0097323	0.0074368	0.00764819	0.0122474	0.0180664
a13	0.394998	0.264223	0.165381	0.076016	0.0420364	0.0109098	0.0060258	0.00555474	0.00700355	0.010662	0.0171895
a38	0.403567	0.182645	0.0989675	0.0674247	0.0563812	0.029241	0.0294153	0.0261382	0.0272328	0.034469	0.0445178
a62	0.345311	0.210971	0.13791	0.126697	0.081801	0.0398404	0.0230418	0.010588	0.00760766	0.0073032	0.00892891
a96	0.202058	0.202676	0.19631	0.170591	0.1236	0.0534458	0.0272939	0.00970006	0.0053148	0.0041917	0.00481929
a98	0.16676	0.178467	0.194996	0.187276	0.149938	0.0614618	0.0301396	0.0111504	0.00664298	0.00596696	0.00720163
a5	0.0839329	0.10476	0.13976	0.19751	0.196556	0.130327	0.0787766	0.0274049	0.0138636	0.0115791	0.0155294
a43	0.0910456	0.119575	0.145323	0.185525	0.196853	0.12642	0.062084	0.0235506	0.0154986	0.0151145	0.0190116
a31	0.0597306	0.0846588	0.119241	0.182163	0.211815	0.157244	0.0826125	0.0315127	0.0209094	0.0225735	0.0275395
a43	0.0462173	0.0647511	0.0947762	0.157046	0.179925	0.168312	0.11446	0.0621777	0.0370581	0.0351874	0.040089
a62	0.0194912	0.0263686	0.0395459	0.0842385	0.136527	0.183488	0.163263	0.123996	0.0775821	0.0697333	0.0757659
a90	0.0191934	0.0209557	0.0259462	0.0469758	0.0641734	0.110444	0.145255	0.192549	0.146645	0.111784	0.116079
a92	0.00727873	0.00726626	0.0082703	0.015112	0.0230169	0.0531027	0.08965	0.210071	0.228287	0.185361	0.172585
a56	0.00384175	0.00352202	0.00385506	0.00668511	0.00985335	0.0273852	0.0601667	0.20266	0.252141	0.225392	0.204498
a62	0.00355345	0.00312671	0.00342526	0.00570128	0.00861653	0.020177	0.0408971	0.166024	0.264162	0.243704	0.240613
a88	0.00275578	0.00250898	0.00227632	0.00295776	0.00388625	0.00746859	0.0144195	0.0753073	0.21347	0.314038	0.360912
a9	0.00179432	0.00162433	0.00110854	0.00123301	0.00134885	0.00275742	0.0068794	0.0392883	0.148111	0.324809	0.471045
a24	0.00544029	0.00497077	0.00338492	0.0032498	0.00287625	0.00502043	0.0101366	0.0407369	0.136496	0.322991	0.464697
a88	0.00462375	0.00368142	0.00250375	0.00260406	0.00257554	0.00551977	0.011826	0.0450288	0.139526	0.337386	0.444725
a71	0.00119586	0.00099055	0.000661924	0.000805247	0.000947209	0.0029082	0.00807519	0.0360698	0.130994	0.348582	0.46877
a9	0.00616525	0.0047054	0.00330165	0.00357588	0.00345813	0.00796544	0.0171701	0.0541171	0.149531	0.328548	0.421462
a10	0.0872377	0.0545728	0.0328885	0.03092	0.0241311	0.030886	0.0390556	0.0704692	0.134829	0.227251	0.267758
a87	0.232518	0.166445	0.0904277	0.067915	0.0436896	0.0383334	0.0365613	0.0506807	0.0705797	0.0987149	0.104135
a23	0.24826	0.213195	0.1096	0.0711576	0.0404831	0.0288382	0.0216609	0.0329233	0.056693	0.0864012	0.0907873
a87	0.106653	0.0757604	0.0391426	0.024138	0.0174067	0.0162144	0.0155819	0.044631	0.126074	0.232223	0.302175
</S>	0.0179571	0.0130954	0.00826364	0.00672204	0.00681432	0.00818521	0.0111824	0.0514771	0.142547	0.283292	0.450464
