 	cela	vaut	bien	le	double	</S>
a23	0.299329	0.234734	0.152079	0.0981933	0.0973852	0.118281
a87	0.513463	0.227434	0.112196	0.0547684	0.0388641	0.053275
a23	0.313815	0.287659	0.166145	0.0892376	0.0641707	0.0789725
a79	0.32246	0.153142	0.0976732	0.0848203	0.113555	0.228349
a94	0.501802	0.177166	0.100117	0.0708161	0.0671637	0.082935
a20	0.545182	0.259267	0.119688	0.0412302	0.0192508	0.0153819
a73	0.393167	0.278707	0.145564	0.0818517	0.055801	0.0449099
a84	0.348509	0.30378	0.160584	0.0883575	0.0550778	0.0436921
a57	0.276576	0.271026	0.218223	0.113246	0.0637412	0.0571885
a87	0.29698	0.238658	0.192478	0.113035	0.0713664	0.087483
a23	0.313339	0.238315	0.221487	0.129659	0.0560347	0.0411645
a79	0.239123	0.215571	0.185423	0.120635	0.0996811	0.139567
a69	0.292921	0.211766	0.136921	0.103459	0.102411	0.152522
a4	0.265919	0.245015	0.157506	0.115499	0.103183	0.112878
a11	0.201553	0.272456	0.188036	0.149629	0.102401	0.0859247
a24	0.19169	0.279743	0.218745	0.156343	0.0910633	0.0624144
a94	0.146692	0.240286	0.204537	0.181396	0.127929	0.0991595
a38	0.125054	0.214811	0.182113	0.181525	0.153809	0.142688
a73	0.104548	0.172933	0.147598	0.181434	0.190924	0.202563
a94	0.0947347	0.160594	0.140126	0.182638	0.197326	0.224581
a98	0.0969656	0.124462	0.10992	0.166751	0.217417	0.284485
a73	0.0383123	0.0475453	0.0561562	0.148488	0.272447	0.437051
a94	0.021162	0.0328541	0.0421086	0.127837	0.281005	0.495033
a12	0.0401584	0.0402845	0.0355922	0.0930112	0.25278	0.538174
a61	0.0278351	0.0234762	0.0269404	0.0807936	0.251569	0.589386
a12	0.0168699	0.0160456	0.0211723	0.069644	0.248164	0.628104
a88	0.0155168	0.0159677	0.0216071	0.0681605	0.240363	0.638385
a71	0.0180699	0.01815	0.0227772	0.0666719	0.226523	0.647808
a38	0.016657	0.0195686	0.0177169	0.0475524	0.19389	0.704615
a98	0.0118755	0.0119167	0.0119914	0.0428321	0.180422	0.740962
a73	0.0107135	0.00913016	0.0116717	0.0473865	0.183428	0.73767
a84	0.00830938	0.00814341	0.00956842	0.0382901	0.173147	0.762541
a57	0.00954533	0.0111355	0.0126604	0.0388201	0.167753	0.760086
a87	0.0194959	0.0201238	0.0179679	0.0431953	0.160565	0.738652
</S>	0.0140858	0.0128219	0.0207666	0.0614779	0.201308	0.68954
