 	j'	ai	juré	de	ne	plus	manger	de	sa	nourriture	</S>
a66	0.253421	0.197734	0.108507	0.048378	0.0375237	0.0625535	0.0824045	0.0818255	0.0599206	0.0394017	0.02833
a87	0.427235	0.196672	0.0600283	0.0561158	0.048447	0.0468373	0.0447437	0.0361888	0.0302707	0.0275349	0.0259261
a23	0.480712	0.143005	0.0627381	0.0810822	0.0597543	0.0352223	0.0263366	0.0222324	0.0230888	0.03014	0.0356875
a87	0.418239	0.178185	0.101212	0.0790283	0.0528097	0.030379	0.0216089	0.017167	0.0207429	0.031862	0.048766
a23	0.359811	0.205143	0.138412	0.0955588	0.0689094	0.0286798	0.0184868	0.0156224	0.0181837	0.0228206	0.0283732
a18	0.376558	0.201253	0.133401	0.0663387	0.0425733	0.0231277	0.0189901	0.0200173	0.027061	0.0382967	0.0523834
a50	0.270749	0.173439	0.180202	0.0883084	0.0489796	0.024279	0.0227005	0.0286275	0.0414397	0.0558652	0.065411
a96	0.140275	0.184421	0.315943	0.169528	0.0776016	0.02962	0.018034	0.0151472	0.0150829	0.0171029	0.0172445
a43	0.083622	0.13363	0.272698	0.209133	0.13137	0.0526414	0.0279339	0.0207448	0.0198208	0.0233596	0.0250467
a56	0.0395789	0.0789499	0.210999	0.247716	0.217621	0.0864171	0.0379233	0.0230285	0.0187401	0.0196805	0.019346
a44	0.0382891	0.0693158	0.161094	0.243226	0.238912	0.106592	0.0470552	0.0260318	0.0212634	0.0232213	0.0249989
a4	0.0318423	0.048792	0.110145	0.235904	0.262894	0.139017	0.0641983	0.03137	0.024106	0.0248556	0.0268772
a11	0.0381869	0.0450228	0.0802547	0.174357	0.250633	0.175807	0.0934572	0.0435784	0.0319838	0.0316459	0.0350729
a62	0.0175061	0.021359	0.0425718	0.103262	0.221637	0.224278	0.13263	0.0659644	0.0506075	0.0541725	0.0660127
a21	0.0138274	0.0146083	0.0254853	0.0529417	0.118386	0.230244	0.200533	0.110822	0.0743561	0.0729473	0.0858483
a85	0.0111359	0.00991205	0.0137586	0.0253231	0.0645877	0.194411	0.207412	0.149903	0.112671	0.100413	0.110473
a6	0.00787238	0.00715352	0.0112583	0.0259955	0.0601536	0.172557	0.19152	0.151552	0.132003	0.117799	0.122135
a21	0.00265188	0.00213555	0.00375745	0.0102011	0.0252834	0.120099	0.208125	0.195811	0.160105	0.129545	0.142284
a85	0.00448138	0.00327847	0.0038514	0.00772644	0.0199569	0.0870286	0.153632	0.189513	0.187751	0.164942	0.177839
a47	0.000781341	0.000584887	0.000816925	0.00246348	0.00810133	0.0462149	0.114948	0.169713	0.20147	0.207205	0.2477
a79	0.000503476	0.000347585	0.000496946	0.00154633	0.00457076	0.0237819	0.0725298	0.149017	0.225494	0.240643	0.281069
a7	0.00049154	0.000333334	0.000431952	0.00111315	0.00328207	0.0154214	0.0445615	0.104272	0.199738	0.261013	0.369343
a84	0.000729455	0.00040721	0.000328627	0.000662755	0.00166319	0.00579935	0.0145527	0.0419857	0.122738	0.256937	0.554196
a87	0.00888314	0.00576966	0.00408223	0.00408127	0.00465309	0.00877764	0.0163143	0.0388393	0.0989119	0.231246	0.578441
a23	0.0816938	0.0294856	0.0179922	0.0185754	0.0161794	0.0272775	0.0505624	0.0944286	0.147568	0.209682	0.306555
a99	0.0245187	0.00929971	0.00522723	0.00654829	0.0076126	0.0165293	0.0346499	0.0809453	0.172162	0.293753	0.348754
a97	0.0056077	0.00233965	0.00204208	0.00341584	0.00488133	0.0121047	0.028561	0.0679908	0.153907	0.293517	0.425633
a87	0.0404226	0.012692	0.00799661	0.0115701	0.0165083	0.0322916	0.0575545	0.0918344	0.146441	0.233452	0.349237
</S>	0.115826	0.0406748	0.0238372	0.0262718	0.0277352	0.0435404	0.06897	0.0981971	0.132611	0.181843	0.240494
