 	les	enfants	ont	sali	leurs	vêtements	</S>
a15	0.200831	0.134907	0.14814	0.297431	0.138503	0.0527548	0.0274335
a82	0.142312	0.134213	0.182921	0.266028	0.141038	0.0835683	0.0499201
a3	0.212643	0.165913	0.138268	0.171887	0.122985	0.0961459	0.0921565
a82	0.314456	0.233186	0.166403	0.150247	0.0652897	0.0387104	0.0317089
a10	0.317796	0.238282	0.162743	0.144298	0.0602441	0.0410641	0.0355726
a30	0.294616	0.230236	0.173039	0.164544	0.0639254	0.0391705	0.0344691
a82	0.273809	0.223144	0.186067	0.175228	0.065587	0.039008	0.0371568
a38	0.28656	0.220606	0.173445	0.150647	0.0727533	0.0488107	0.0471782
a47	0.355627	0.240807	0.173157	0.106804	0.0422099	0.0397591	0.0416353
a6	0.379616	0.253615	0.209499	0.0989817	0.0235247	0.0179383	0.0168248
a85	0.332657	0.232138	0.203194	0.121764	0.0376049	0.037971	0.0346712
a36	0.304837	0.221073	0.200555	0.142689	0.0578803	0.0383702	0.034596
a24	0.209899	0.178783	0.261718	0.203913	0.0673851	0.0420269	0.0362744
a61	0.170915	0.179264	0.241782	0.236011	0.0814586	0.0450785	0.0454919
a24	0.11715	0.135631	0.195687	0.26258	0.137919	0.0756707	0.0753626
a43	0.0743712	0.0976804	0.147586	0.244476	0.175462	0.134831	0.125594
a0	0.0560235	0.0711099	0.116739	0.244312	0.201348	0.156625	0.153843
a24	0.0478684	0.0595531	0.091956	0.222734	0.207404	0.18282	0.187665
a0	0.0245655	0.0331394	0.0523588	0.159821	0.223051	0.276628	0.230436
a75	0.0213525	0.0240278	0.0383792	0.124409	0.202386	0.323254	0.266192
a85	0.0270972	0.0268849	0.0356876	0.0929932	0.223996	0.290097	0.303244
a37	0.0158235	0.0165334	0.0212992	0.0519306	0.13771	0.333862	0.422842
a85	0.00415073	0.00419917	0.00637363	0.0164895	0.0779675	0.32128	0.56954
a36	0.00677985	0.00715538	0.00881359	0.015447	0.0690608	0.304046	0.588697
a7	0.00558908	0.00467511	0.00653351	0.0124202	0.0579261	0.265642	0.647214
a47	0.0100671	0.00745741	0.0104121	0.0191015	0.0815318	0.278344	0.593086
a36	0.00381905	0.00338198	0.0048141	0.00986183	0.0540967	0.247234	0.676792
a2	0.0163942	0.0116456	0.0164704	0.0307017	0.114135	0.288174	0.522479
a57	0.0970389	0.0556985	0.0543789	0.0794917	0.112165	0.20794	0.393286
a97	0.156033	0.066664	0.0503575	0.0695844	0.0949552	0.174662	0.387744
a3	0.145436	0.0632407	0.0530143	0.0859964	0.152102	0.213578	0.286633
a82	0.0847917	0.0541665	0.0530473	0.105418	0.190406	0.266855	0.245315
a27	0.0799354	0.0596651	0.0640481	0.10746	0.163069	0.257202	0.268621
a82	0.08894	0.0720889	0.0823521	0.122479	0.14659	0.224982	0.262568
</S>	0.125843	0.0980373	0.104697	0.126109	0.126671	0.185163	0.233481
