 	quelle	est	parmi	vous	la	personne	qui	a	blessé	mon	fils	</S>
a66	0.291096	0.228201	0.133276	0.0742811	0.0587698	0.0434806	0.0459393	0.0491855	0.0325562	0.0171229	0.0135627	0.0125297
a87	0.254938	0.184723	0.0778289	0.0472729	0.0360674	0.0433011	0.057863	0.0715216	0.0588293	0.0524174	0.0580068	0.0572303
a23	0.39047	0.285254	0.132243	0.0607645	0.0292593	0.0148966	0.0114108	0.0107705	0.00945907	0.0127606	0.0189708	0.0237404
a79	0.410155	0.248585	0.0959801	0.0506474	0.0258853	0.0177579	0.0170506	0.0171137	0.0177647	0.0223591	0.0332562	0.0434446
a4	0.420183	0.235889	0.124051	0.0676027	0.0347305	0.0167334	0.0104807	0.00931212	0.010347	0.0141256	0.0235382	0.033006
a58	0.260258	0.21995	0.229535	0.139092	0.0745207	0.0292484	0.0135251	0.00752137	0.00486812	0.00548124	0.00697915	0.00902195
a53	0.151778	0.153088	0.197836	0.197964	0.146786	0.0601506	0.0264432	0.0147811	0.00876577	0.00992033	0.0131104	0.0193771
a15	0.134836	0.166158	0.227976	0.214266	0.146057	0.0574501	0.0203144	0.00884409	0.00428019	0.00462421	0.00610683	0.00908593
a79	0.0594651	0.0757491	0.134435	0.155944	0.161495	0.146172	0.0966472	0.0522746	0.0281388	0.0260119	0.0291738	0.0344936
a56	0.0736471	0.0964246	0.160794	0.184069	0.167121	0.130978	0.076677	0.036032	0.0183046	0.0165847	0.0182694	0.0210984
a32	0.0605197	0.0669642	0.0981772	0.168667	0.216007	0.183839	0.0877197	0.0406745	0.0197845	0.0167523	0.0184853	0.0224096
a24	0.0347986	0.032733	0.0444809	0.0945193	0.186718	0.258811	0.15162	0.0733494	0.0327879	0.0257284	0.028403	0.0360507
a62	0.0108622	0.00905125	0.0122952	0.0234635	0.0536413	0.190867	0.22634	0.174561	0.0879421	0.0582843	0.0644521	0.0882401
a34	0.0102556	0.00813505	0.0112015	0.0210389	0.0437845	0.140609	0.19004	0.183642	0.116325	0.0769399	0.0840502	0.113978
a98	0.00855453	0.00670321	0.00808578	0.0148317	0.0342165	0.119434	0.20698	0.220836	0.134964	0.0783643	0.076908	0.0901213
a92	0.00219706	0.00186662	0.00287695	0.00688007	0.0145562	0.050669	0.13582	0.213731	0.20262	0.13156	0.113915	0.12331
a37	0.00195504	0.00166234	0.00246426	0.00563046	0.0120604	0.0449504	0.123167	0.202733	0.20334	0.134794	0.125277	0.141967
a85	0.00304455	0.00218436	0.00265306	0.00477616	0.00923181	0.0261349	0.0681006	0.135881	0.188061	0.155719	0.177062	0.227152
a43	0.000833401	0.000635227	0.000888679	0.00194448	0.00413264	0.0150908	0.0424036	0.106046	0.203454	0.198954	0.202781	0.222836
a75	0.000897125	0.000515635	0.000543202	0.00082089	0.00140477	0.0044639	0.0127404	0.035152	0.0893693	0.158255	0.29439	0.401448
a92	0.000348759	0.00023099	0.000283226	0.000552379	0.00109732	0.00415145	0.0116241	0.0313487	0.107025	0.214658	0.294726	0.333954
a37	0.000171617	0.000119707	0.000148562	0.000275335	0.000605884	0.00290907	0.0103803	0.0319151	0.111735	0.227914	0.30516	0.308665
a61	0.000245111	0.00013829	0.000150358	0.000215833	0.000349341	0.00129315	0.00533476	0.0169303	0.0666627	0.178143	0.308895	0.421643
a96	0.000179641	0.000101854	0.000106264	0.000160999	0.000297263	0.00116523	0.00475419	0.015181	0.0608557	0.181336	0.321025	0.414837
a21	0.000143937	8.74814e-05	8.61375e-05	0.000153503	0.000329184	0.00127471	0.0051811	0.0169429	0.0601413	0.169345	0.311764	0.434551
a61	0.000110595	7.1566e-05	6.05572e-05	8.42043e-05	0.000176418	0.000831441	0.00370325	0.0131391	0.0577571	0.181025	0.32707	0.415971
a62	0.000149458	9.9455e-05	8.62462e-05	0.00012966	0.000291913	0.00138533	0.00545827	0.0167295	0.0584661	0.168135	0.312988	0.436081
a88	0.000105617	7.68529e-05	7.2473e-05	0.000123677	0.000304442	0.00152328	0.0061245	0.0183279	0.0611516	0.171388	0.313853	0.42695
a38	0.000450444	0.000327993	0.000316744	0.000482505	0.000751287	0.00203427	0.00587451	0.0171239	0.0544398	0.149407	0.300574	0.468218
a30	0.00621517	0.00440604	0.00441071	0.00638348	0.00772579	0.0125692	0.0250362	0.0502568	0.097176	0.158984	0.25229	0.374546
a87	0.0740623	0.038847	0.027165	0.0287753	0.0242263	0.0265655	0.0352657	0.0540996	0.0814922	0.125162	0.19133	0.293008
a23	0.263701	0.143226	0.062988	0.0550869	0.0430143	0.0435261	0.040215	0.0444192	0.0526147	0.0684462	0.0834395	0.0993224
a87	0.0819684	0.0440114	0.0230834	0.0159351	0.00897755	0.00772319	0.00947748	0.0154861	0.0437559	0.145521	0.26973	0.33433
</S>	0.00835533	0.00486986	0.00333154	0.00338223	0.00257088	0.00351761	0.00661952	0.0155691	0.0486958	0.148818	0.304633	0.449637
