 	chacun	va	payer	les	repas	qu'	il	a	pris	</S>
a15	0.232756	0.239887	0.190603	0.172787	0.0824418	0.037037	0.0174952	0.00824629	0.00740528	0.0113419
a66	0.194595	0.196159	0.188702	0.184735	0.0900532	0.0450977	0.0293817	0.0226641	0.0208679	0.027745
a87	0.346608	0.359964	0.164548	0.0682834	0.0228312	0.0111791	0.00591034	0.00448807	0.00596233	0.0102255
a23	0.403638	0.357532	0.14641	0.0461952	0.014185	0.00696318	0.00523985	0.00438802	0.00583467	0.0096133
a87	0.341233	0.388158	0.158878	0.0342261	0.0134426	0.00778162	0.00762108	0.00977021	0.0135801	0.0253088
a23	0.418044	0.387944	0.122526	0.0283708	0.00966011	0.00558066	0.00441314	0.00530175	0.00712086	0.0110388
a83	0.363724	0.398853	0.138537	0.0307172	0.0122086	0.00644839	0.00637119	0.00891152	0.0127987	0.0214301
a94	0.349794	0.35757	0.139637	0.0806954	0.0333878	0.0116766	0.00668638	0.0056531	0.00634627	0.00855239
a93	0.206274	0.287655	0.214663	0.164819	0.0766758	0.0215817	0.00887999	0.00602212	0.00621324	0.00721585
a56	0.113705	0.207505	0.246244	0.217741	0.126531	0.0367277	0.0149223	0.0108639	0.0117493	0.0140107
a75	0.0925605	0.17394	0.210777	0.201263	0.159823	0.0595095	0.0256381	0.0213685	0.0237104	0.0314099
a98	0.0583924	0.106818	0.154458	0.223522	0.236973	0.102116	0.0433383	0.0241448	0.0207958	0.0294418
a47	0.0468456	0.0781346	0.107672	0.155278	0.233105	0.157476	0.0779009	0.0442823	0.0408315	0.0584751
a92	0.0668876	0.0755865	0.0840129	0.141713	0.264087	0.16918	0.0773524	0.0381891	0.0351077	0.047884
a25	0.0559098	0.0843137	0.135341	0.185693	0.250951	0.13398	0.0614365	0.0299109	0.0260858	0.0363784
a85	0.0107956	0.0140378	0.0353457	0.087855	0.259512	0.254412	0.132822	0.0743167	0.0581639	0.0727389
a47	0.0140656	0.0153655	0.0355205	0.0849489	0.228175	0.240231	0.127914	0.0844447	0.0783051	0.0910295
a0	0.0443198	0.0297426	0.051731	0.0969458	0.193027	0.185365	0.102128	0.0671285	0.0876149	0.141997
a56	0.0554905	0.0363095	0.0397884	0.0517445	0.130703	0.146663	0.100208	0.0728879	0.124792	0.241412
a75	0.0359237	0.0286013	0.0391479	0.0586521	0.15519	0.182008	0.153101	0.0887944	0.0983406	0.160241
a85	0.00978111	0.00814005	0.0138057	0.027415	0.113416	0.170665	0.144428	0.126441	0.159404	0.226504
a6	0.00835853	0.0062199	0.0106955	0.0232809	0.0606972	0.128836	0.154194	0.147659	0.193645	0.266414
a21	0.00956244	0.00594066	0.00870061	0.0147265	0.0463368	0.100594	0.183654	0.193213	0.193903	0.243369
a12	0.00682104	0.00534666	0.00718275	0.00819514	0.0271607	0.0843455	0.173729	0.223187	0.222445	0.241588
a24	0.00742769	0.00567366	0.00855824	0.00960079	0.0255446	0.0645894	0.123306	0.20905	0.24	0.30625
a31	0.00901186	0.00719704	0.00456419	0.00371068	0.00528757	0.0116114	0.031044	0.111763	0.257522	0.558288
a43	0.00602405	0.00426147	0.00446766	0.0036663	0.00673598	0.0173483	0.0437599	0.140605	0.285315	0.487816
a31	0.00659194	0.00437992	0.00308473	0.00312092	0.00361956	0.00665304	0.0162216	0.077739	0.248872	0.629717
a21	0.00303991	0.00200526	0.00172232	0.00175529	0.00328845	0.00821834	0.0204021	0.0899079	0.271802	0.597858
a56	0.00134687	0.000951616	0.000929375	0.000834346	0.00164631	0.00613441	0.0228486	0.0983093	0.265535	0.601465
a94	0.000823198	0.000551298	0.000541767	0.000639049	0.00124934	0.00422904	0.0163892	0.0845164	0.262238	0.628823
a58	0.00133837	0.000921171	0.00071689	0.000903717	0.00135676	0.00411432	0.0161637	0.0809607	0.260341	0.633183
a82	0.00507824	0.004468	0.00487768	0.00429141	0.00385436	0.0114978	0.0376347	0.134159	0.287962	0.506176
a87	0.0768567	0.0666684	0.0459229	0.0379568	0.0401239	0.064993	0.0969421	0.152701	0.190855	0.22698
a23	0.156617	0.18102	0.186779	0.155855	0.0821052	0.0638366	0.0504387	0.0442435	0.038893	0.0402118
a87	0.0402641	0.0644106	0.0732651	0.0535491	0.0384667	0.0317663	0.0632477	0.124122	0.207624	0.303284
</S>	0.0036767	0.00598188	0.00950584	0.0108842	0.0145323	0.0218689	0.0591221	0.132217	0.260163	0.482048
