 	sa	mère	lui	reproche	de	toucher	à	tout	mais	il	n'	écoute	pas	</S>
a66	0.214301	0.167862	0.170192	0.158717	0.0860598	0.057463	0.0497786	0.0350988	0.0288884	0.0125998	0.00770535	0.00372009	0.00360017	0.00401352
a87	0.339036	0.190489	0.143915	0.113822	0.0897421	0.0356245	0.0183942	0.0110301	0.00877105	0.00561698	0.00733349	0.00902546	0.012893	0.0143077
a23	0.212601	0.200298	0.188291	0.203183	0.0712929	0.0367781	0.0215305	0.0137289	0.00781322	0.00470938	0.00552741	0.00683331	0.0118583	0.0155551
a30	0.148674	0.157115	0.123561	0.212075	0.134306	0.0627743	0.0326612	0.023313	0.0192369	0.0126549	0.012693	0.0139843	0.0200202	0.0269322
a53	0.136737	0.153073	0.134236	0.230046	0.151388	0.0756518	0.0361808	0.0180611	0.0110633	0.00845	0.0097025	0.0112057	0.0114697	0.0127357
a15	0.131489	0.144363	0.132954	0.302584	0.130064	0.070966	0.0281198	0.0127162	0.00666525	0.00426087	0.00554809	0.00922117	0.0101239	0.0109243
a79	0.13646	0.135082	0.107523	0.280107	0.132581	0.088548	0.0410315	0.0218169	0.010494	0.0065002	0.00844538	0.0105372	0.0102547	0.0106195
a56	0.0924878	0.100061	0.110152	0.346015	0.148227	0.0955763	0.042248	0.0216902	0.00882945	0.0051281	0.00655096	0.0076088	0.00792443	0.00750119
a94	0.0634391	0.0767131	0.105533	0.362566	0.149146	0.114547	0.0501412	0.0266424	0.011297	0.00606199	0.0062938	0.00733938	0.010079	0.0102012
a21	0.0525898	0.0603354	0.0938449	0.289082	0.156046	0.147959	0.0762101	0.0436663	0.019589	0.00962679	0.00909377	0.0106252	0.0153767	0.0159551
a12	0.0439925	0.0462427	0.0668573	0.275664	0.168376	0.169356	0.0903964	0.0555387	0.0221677	0.0117676	0.010184	0.0104689	0.0142609	0.0147276
a75	0.0459399	0.0480752	0.0748278	0.20826	0.152621	0.178599	0.095759	0.0666613	0.0343835	0.020733	0.0159335	0.0140637	0.0204853	0.0236584
a98	0.0171659	0.0183282	0.0360393	0.10725	0.163496	0.186357	0.124076	0.104797	0.072345	0.0501114	0.0393234	0.0267267	0.0270155	0.0269691
a92	0.0132437	0.0151338	0.0329383	0.0870597	0.161409	0.185054	0.133136	0.110232	0.0855186	0.0567827	0.0389561	0.0282356	0.02623	0.0260694
a21	0.0123791	0.0131936	0.0210897	0.0692579	0.138	0.178593	0.136953	0.126488	0.0944978	0.0665651	0.0443985	0.0308873	0.0322271	0.0354699
a47	0.0113207	0.0118176	0.0190525	0.0335994	0.138232	0.195032	0.168449	0.132296	0.0981329	0.0558376	0.0344366	0.0242091	0.0349102	0.0426749
a96	0.0052127	0.00586814	0.00966781	0.0241895	0.0828256	0.144539	0.172858	0.158088	0.134777	0.0845268	0.0533601	0.0360466	0.0418221	0.0462188
a18	0.00336144	0.00384976	0.00589603	0.0162794	0.0548648	0.101468	0.166613	0.170437	0.147304	0.0927314	0.0629923	0.0529877	0.0586044	0.0626105
a75	0.00953896	0.0127514	0.0150656	0.0238858	0.0495033	0.088207	0.124578	0.15285	0.163236	0.102517	0.0710935	0.0486491	0.0596554	0.0784691
a85	0.00129674	0.0015474	0.00208117	0.00589527	0.0192971	0.0368777	0.068514	0.106072	0.124645	0.0895128	0.0847655	0.129519	0.156368	0.173609
a5	0.000896923	0.00113764	0.00213711	0.00584545	0.0210118	0.0471516	0.100194	0.138995	0.137124	0.0944619	0.0754822	0.10042	0.127686	0.147457
a23	0.00224267	0.00238523	0.00293847	0.00826642	0.0252121	0.0437333	0.0877777	0.129806	0.164172	0.111037	0.0810506	0.0924499	0.115192	0.133737
a21	0.00104638	0.00111237	0.00168713	0.0049934	0.0190078	0.0384152	0.0777939	0.123028	0.152628	0.109891	0.0882465	0.109738	0.130025	0.142387
a5	0.00105949	0.00102421	0.0012127	0.00324579	0.0126521	0.0280934	0.0576691	0.0986554	0.152184	0.107785	0.0794438	0.111196	0.157136	0.188644
a18	0.000858404	0.000865439	0.000987703	0.00243575	0.0116107	0.0239892	0.0403542	0.0612043	0.114558	0.101122	0.0883987	0.142219	0.19	0.221396
a82	0.00298818	0.00378595	0.00506744	0.0123204	0.0215911	0.0350674	0.0371432	0.038727	0.0534359	0.0612382	0.0716446	0.138748	0.213603	0.304639
a83	0.0123404	0.0134817	0.0216577	0.0402677	0.0397303	0.0373995	0.0400082	0.0484182	0.0796432	0.10708	0.104847	0.163114	0.151404	0.140607
a75	0.00347824	0.00384545	0.00491146	0.0099043	0.0127553	0.0168308	0.0196041	0.0219055	0.036101	0.0536497	0.0858411	0.198697	0.238113	0.294363
a85	0.000166262	0.000161841	0.000226055	0.00070257	0.00288523	0.00683865	0.0141787	0.0257637	0.0456251	0.0582388	0.0677983	0.138987	0.248506	0.389921
a47	0.000267622	0.000311557	0.000443046	0.000985256	0.00274114	0.00609121	0.0136964	0.0290217	0.0547681	0.0705166	0.0727393	0.130697	0.244498	0.373223
a79	0.000270284	0.000271269	0.000371552	0.001036	0.00427602	0.00865291	0.01823	0.0367745	0.0539379	0.0578879	0.0683842	0.199477	0.260817	0.289613
a93	0.00011025	0.000108517	0.000156849	0.000468874	0.00191161	0.00437293	0.00996101	0.0217322	0.041868	0.0541218	0.0613199	0.16255	0.292266	0.349052
a44	0.000289953	0.000269535	0.000294515	0.00056018	0.00191487	0.00387767	0.00756138	0.0165171	0.0367019	0.0406815	0.0488369	0.156458	0.331767	0.354269
a93	0.000214396	0.000218922	0.000233328	0.000567944	0.00152987	0.0033612	0.00560772	0.0103708	0.0248817	0.029643	0.0355845	0.136044	0.324693	0.42705
a44	0.000261814	0.000267666	0.000299226	0.000608937	0.00164437	0.00338009	0.00561767	0.010626	0.0267411	0.0334652	0.0397628	0.137762	0.312298	0.427265
a54	0.000305924	0.000319081	0.000410801	0.00117618	0.00191252	0.0034569	0.00464847	0.00686	0.0150774	0.022983	0.0346514	0.151011	0.315609	0.441578
a6	7.79868e-05	7.69482e-05	0.000107576	0.000267227	0.00065494	0.00178209	0.00321152	0.00572331	0.00999938	0.0139579	0.022494	0.137676	0.321699	0.482272
a7	5.78137e-05	5.69812e-05	7.71049e-05	0.000191828	0.000498553	0.0014615	0.00299629	0.00641426	0.0150542	0.0188309	0.0258385	0.122723	0.314856	0.490942
a36	0.000295384	0.0002574	0.000379748	0.000845545	0.00144107	0.00253637	0.00261763	0.00324259	0.00425331	0.00712446	0.0160092	0.12152	0.315233	0.524245
a2	0.00175163	0.00161237	0.00236392	0.00306565	0.00395828	0.00505686	0.00459791	0.00469913	0.00448546	0.0085944	0.0196241	0.118333	0.298519	0.523339
a57	0.0273636	0.0290158	0.0462752	0.0300259	0.0287372	0.0355864	0.0287863	0.0259105	0.01571	0.0250858	0.0416191	0.120293	0.230635	0.314957
a87	0.0914435	0.0686818	0.0898858	0.0655865	0.0447391	0.0488481	0.0431513	0.0371787	0.0202942	0.0334279	0.0493946	0.0995763	0.141367	0.166426
a23	0.113102	0.109383	0.145418	0.164742	0.0931828	0.0567633	0.0482395	0.0410942	0.0282416	0.0391242	0.0375908	0.0353293	0.0412098	0.0465795
a87	0.030232	0.0247911	0.0288795	0.0351248	0.0281072	0.0261784	0.0293047	0.0377017	0.0269599	0.0315407	0.0560372	0.10929	0.259382	0.276472
</S>	0.0074902	0.00551512	0.00592281	0.0116793	0.0142871	0.0240801	0.0276284	0.0380475	0.0187796	0.0149924	0.0208704	0.0604819	0.285693	0.464532
