 	cette	poule	a	été	prise	au	piège	ce	matin	</S>
a66	0.336524	0.175943	0.0763764	0.0718694	0.107288	0.0910201	0.0672134	0.0358278	0.0205074	0.017431
a87	0.16541	0.0911697	0.0693074	0.0944733	0.108636	0.109265	0.0948858	0.0745046	0.0767432	0.115605
a97	0.171754	0.126354	0.0659004	0.0481448	0.0654334	0.0689675	0.0972324	0.0969411	0.11889	0.140382
a38	0.200407	0.167221	0.111427	0.0879871	0.10032	0.0761893	0.0707614	0.0529295	0.0614074	0.0713506
a56	0.327101	0.262603	0.117918	0.0598492	0.0681478	0.0378199	0.0323152	0.0241793	0.0332141	0.0368521
a75	0.330423	0.303824	0.16387	0.0719047	0.0639266	0.0249742	0.0154522	0.00858532	0.00881126	0.00822857
a56	0.215233	0.266469	0.194603	0.118115	0.104119	0.0402695	0.0219064	0.0120584	0.0132713	0.0139555
a90	0.196454	0.325504	0.211355	0.115522	0.0792431	0.0278752	0.0147693	0.00878617	0.00926207	0.011229
a25	0.147733	0.248569	0.211057	0.158814	0.109865	0.0511998	0.0279657	0.0162879	0.0130141	0.0154959
a15	0.0911184	0.16318	0.195266	0.211062	0.14302	0.078717	0.0458306	0.0269382	0.0201021	0.0247663
a7	0.0602888	0.13268	0.169873	0.20354	0.15808	0.0899055	0.0551883	0.0399636	0.0410394	0.0494407
a56	0.0701807	0.129598	0.175311	0.21848	0.158682	0.0823991	0.0449769	0.033668	0.0364465	0.0502591
a31	0.0654198	0.106294	0.148674	0.19989	0.173617	0.113257	0.0626574	0.0396247	0.0393831	0.0511828
a62	0.0440442	0.0692565	0.0988283	0.151115	0.162472	0.139675	0.0981326	0.0672354	0.0699216	0.0993198
a61	0.0212773	0.0336118	0.0515988	0.0910004	0.127988	0.159232	0.158385	0.114069	0.102417	0.140421
a34	0.0230584	0.0285849	0.0415649	0.0797129	0.121896	0.169159	0.179107	0.129965	0.100953	0.125998
a93	0.0103099	0.0129538	0.0209509	0.0432133	0.0700192	0.122384	0.179994	0.191081	0.159729	0.189365
a34	0.00493451	0.00529758	0.0101131	0.0253656	0.0429199	0.091503	0.161099	0.216171	0.209474	0.233123
a56	0.00234931	0.00279897	0.0060321	0.0141789	0.0200084	0.0464009	0.105756	0.201782	0.269667	0.331026
a96	0.00129331	0.00166871	0.0043384	0.011796	0.0161009	0.0394319	0.0949309	0.201324	0.292033	0.337083
a70	0.000564996	0.00046088	0.00120899	0.0040724	0.0060587	0.0151612	0.0403234	0.122426	0.309031	0.500693
a13	0.000244743	0.000188065	0.000483593	0.00187931	0.00303029	0.00862437	0.0260202	0.0957691	0.302192	0.561568
a9	0.000517613	0.000342308	0.000584497	0.00194976	0.00380072	0.0116279	0.0349462	0.111094	0.294613	0.540525
a3	0.00836452	0.00567098	0.00789178	0.0159959	0.0246018	0.0484053	0.0807382	0.129265	0.263655	0.415411
a97	0.0958562	0.0552788	0.0416673	0.0507707	0.0769496	0.107097	0.118444	0.11613	0.142608	0.195198
a87	0.0867747	0.0552063	0.0417413	0.0472331	0.0758935	0.115615	0.149742	0.158499	0.132343	0.136953
a97	0.0486188	0.0363746	0.0262339	0.0311461	0.0531772	0.103679	0.172904	0.205007	0.171018	0.151841
</S>	0.0453681	0.0328823	0.0255002	0.0402565	0.0659919	0.109522	0.15145	0.171728	0.177952	0.179349
