 	les	fourmis	sont	dans	le	miel	</S>
a66	0.510703	0.191168	0.0695962	0.063725	0.066977	0.0597576	0.0380737
a87	0.42827	0.15219	0.106336	0.108484	0.0988273	0.0667119	0.0391807
a97	0.355752	0.216957	0.129222	0.0906304	0.080254	0.0681335	0.0590509
a40	0.372058	0.241615	0.113135	0.0777988	0.0752275	0.0610203	0.059145
a5	0.575595	0.232492	0.0564613	0.0407107	0.0325265	0.028804	0.0334113
a21	0.408633	0.345355	0.0957365	0.0521878	0.035897	0.032568	0.0296227
a85	0.290378	0.350422	0.17758	0.0806624	0.0409814	0.0305106	0.029465
a5	0.168745	0.289616	0.243045	0.134544	0.0712727	0.0432982	0.0494796
a21	0.144133	0.168278	0.188573	0.165549	0.118163	0.0967997	0.118504
a5	0.0898661	0.0779879	0.121111	0.16938	0.179538	0.168706	0.193411
a0	0.0380252	0.0338565	0.0782938	0.144427	0.210094	0.226703	0.2686
a75	0.0098239	0.0100872	0.0277873	0.0723659	0.158578	0.293798	0.427559
a5	0.00265993	0.00332211	0.0140604	0.0505887	0.139971	0.312336	0.477062
a18	0.00132291	0.00168248	0.00865335	0.0387881	0.105454	0.253008	0.591091
a24	0.00092206	0.000930964	0.00350859	0.0168493	0.0493565	0.161346	0.767087
a88	0.00137971	0.00101148	0.00351368	0.0192815	0.0835549	0.250638	0.640621
a71	0.00503391	0.0043156	0.011683	0.0408176	0.115123	0.246104	0.576923
a9	0.0103803	0.00803717	0.0197586	0.0582685	0.140484	0.260171	0.502901
a97	0.101324	0.0538795	0.0806903	0.129696	0.174898	0.198464	0.261048
a87	0.233769	0.11464	0.121678	0.140081	0.148616	0.120224	0.120992
a97	0.120687	0.0727036	0.0777095	0.100267	0.135066	0.173637	0.319931
a87	0.0366934	0.0260816	0.0382623	0.0696208	0.130165	0.229568	0.469609
a97	0.0339646	0.0263246	0.0398182	0.071495	0.128414	0.223613	0.476371
a87	0.031454	0.0275876	0.0442756	0.0765736	0.139595	0.229504	0.451009
a97	0.0355146	0.0311915	0.0486074	0.0823056	0.150859	0.225088	0.426433
a10	0.0285257	0.0293377	0.0556553	0.095086	0.167359	0.227139	0.396897
a9	0.0302079	0.0260805	0.0555506	0.095861	0.170221	0.219419	0.40266
a3	0.0339075	0.0301937	0.0615025	0.102124	0.177553	0.222881	0.371839
</S>	0.0254136	0.0239427	0.0542597	0.0953032	0.173625	0.226609	0.400846
