 	mon	ami	est	passé	outre	ma	maison	sans	me	saluer	</S>
a66	0.264216	0.245161	0.162296	0.0946263	0.085531	0.0477059	0.0372066	0.0311991	0.0167464	0.00743651	0.00787401
a87	0.229438	0.224804	0.147447	0.103552	0.0868527	0.0650899	0.0637581	0.0377387	0.0230896	0.00898472	0.00924566
a23	0.239119	0.240913	0.154987	0.10379	0.0844259	0.0636849	0.0546033	0.0279191	0.0144609	0.00785157	0.00824489
a30	0.141362	0.141068	0.0790295	0.0705556	0.0894393	0.0835836	0.08467	0.0847621	0.0889532	0.072101	0.0644762
a4	0.138928	0.17434	0.0766752	0.0830454	0.110694	0.0986927	0.104147	0.0829619	0.063202	0.0361364	0.0311776
a13	0.230558	0.272003	0.132519	0.12332	0.106456	0.0501203	0.0343085	0.0238098	0.01439	0.00677237	0.00574176
a62	0.131369	0.171564	0.119933	0.167057	0.164095	0.0968181	0.0667857	0.0413695	0.02502	0.00913022	0.00685812
a21	0.121842	0.153717	0.142959	0.176292	0.152704	0.103928	0.0814655	0.0347344	0.0173883	0.0087328	0.00623754
a92	0.0934825	0.114514	0.115051	0.181148	0.170583	0.122499	0.10732	0.0480743	0.022084	0.014049	0.0111953
a5	0.0786116	0.0928097	0.100478	0.146921	0.140575	0.123862	0.120434	0.0790852	0.0446146	0.0359618	0.036647
a75	0.0789396	0.0844297	0.083129	0.109296	0.114484	0.148594	0.162087	0.0824179	0.0379155	0.0420167	0.0566899
a5	0.0461415	0.0470209	0.0587198	0.104704	0.125089	0.165302	0.147798	0.0956033	0.065776	0.0600692	0.0837763
a12	0.102721	0.0881826	0.0891066	0.109224	0.0994075	0.143917	0.142349	0.0738213	0.0319217	0.0480978	0.0712531
a47	0.0972795	0.0772002	0.0752333	0.0924088	0.0876893	0.130927	0.137421	0.106572	0.0508119	0.0583969	0.0860598
a62	0.0613828	0.0442867	0.0403332	0.0593333	0.0633804	0.101984	0.111668	0.144198	0.104123	0.11371	0.155601
a61	0.0327315	0.0208295	0.0184164	0.0307357	0.0292613	0.0597774	0.0788803	0.148855	0.175643	0.180293	0.224577
a21	0.0100426	0.0064751	0.00607834	0.0103425	0.0101994	0.0242676	0.0411715	0.104799	0.210992	0.269276	0.306356
a92	0.00448654	0.00314427	0.00301686	0.00528508	0.00588095	0.0130677	0.0221798	0.0554247	0.165548	0.346122	0.375844
a56	0.000415248	0.000276741	0.000307261	0.000688183	0.00130321	0.00403998	0.00653422	0.0211597	0.101216	0.368203	0.495856
a93	0.000572806	0.000388454	0.000415847	0.000685901	0.00107691	0.00293177	0.00440735	0.0129133	0.0769961	0.360187	0.539425
a94	0.00086707	0.00054835	0.000587592	0.00094888	0.00155289	0.00376384	0.00540981	0.0164684	0.0943527	0.333041	0.542459
a62	0.00223752	0.00149134	0.00148623	0.0021801	0.0047365	0.00696817	0.00772736	0.0187217	0.053572	0.262135	0.638744
a47	0.00212603	0.00145528	0.00150127	0.00238059	0.00487823	0.00727527	0.00948226	0.0206841	0.056901	0.2906	0.602716
a62	0.00413742	0.00321249	0.00325081	0.00462235	0.00903075	0.0114779	0.0129512	0.024579	0.0644539	0.257827	0.604457
a88	0.000677469	0.000606727	0.000726411	0.000966756	0.00176742	0.00307728	0.00474508	0.0121403	0.0501538	0.327388	0.597751
a71	0.00248777	0.00187745	0.00208377	0.00297258	0.00614073	0.0080133	0.00868254	0.02038	0.0650703	0.271357	0.610935
a9	0.0138356	0.0100762	0.012367	0.0159871	0.0276007	0.030192	0.0325045	0.0552251	0.0992528	0.267685	0.435274
a87	0.106831	0.0891466	0.0768835	0.070475	0.0742612	0.0697296	0.0668097	0.0854468	0.0890925	0.11054	0.160783
a23	0.200976	0.176792	0.130371	0.097489	0.0808327	0.0639713	0.050509	0.0482972	0.0446999	0.0407494	0.065313
a87	0.120644	0.0732887	0.0586084	0.0421138	0.0292964	0.0316551	0.0265571	0.0293855	0.0687087	0.129691	0.390051
</S>	0.00977432	0.00622934	0.00571505	0.00707321	0.00935885	0.0163739	0.0168645	0.02612	0.101467	0.263504	0.53752
