 	le	chef	du	village	est	absent	</S>
a23	0.271919	0.216584	0.126839	0.108621	0.118627	0.0992854	0.0581239
a53	0.2415	0.2059	0.133165	0.129462	0.139365	0.0837935	0.0668144
a90	0.318522	0.275894	0.135904	0.0812004	0.0626394	0.0604326	0.0654077
a82	0.257498	0.297909	0.207544	0.10888	0.0660344	0.0358336	0.026301
a76	0.16368	0.252523	0.229858	0.153322	0.101176	0.0603589	0.0390827
a35	0.218648	0.249327	0.242264	0.144388	0.0801252	0.0413824	0.0238647
a75	0.298093	0.244283	0.202286	0.125843	0.0750185	0.0352198	0.0192569
a14	0.243213	0.202867	0.192133	0.150351	0.109004	0.0639429	0.0384894
a44	0.253764	0.188869	0.174369	0.143743	0.106904	0.0812306	0.0511191
a57	0.197012	0.162495	0.150216	0.168338	0.146243	0.114126	0.06157
a53	0.100121	0.103018	0.108542	0.164253	0.196761	0.19794	0.129366
a76	0.154028	0.136986	0.131634	0.17312	0.170683	0.139234	0.0943141
a14	0.116136	0.102293	0.108398	0.149776	0.181326	0.206474	0.135597
a35	0.0655688	0.0620479	0.0675686	0.115128	0.176239	0.301633	0.211815
a26	0.0417543	0.0396984	0.0426471	0.0736264	0.147702	0.365174	0.289397
a38	0.0270682	0.0273971	0.029955	0.0509725	0.130755	0.353734	0.380119
a26	0.0158334	0.0156436	0.0179283	0.0322123	0.095274	0.339901	0.483207
a24	0.0118926	0.0114146	0.0136462	0.0329264	0.134564	0.340458	0.455099
a25	0.00509837	0.00518222	0.00696663	0.0178269	0.0771525	0.31928	0.568493
a38	0.00638618	0.00607376	0.00741219	0.02014	0.0793749	0.301613	0.579
a75	0.0092097	0.00974537	0.0110477	0.0300989	0.105189	0.290362	0.544348
a14	0.0039485	0.00442141	0.0056244	0.0157368	0.0774773	0.301477	0.591315
a30	0.0050678	0.00586501	0.00612601	0.0171753	0.0831018	0.311266	0.571398
a57	0.0105255	0.0137398	0.0145332	0.0343174	0.0967836	0.257867	0.572233
a87	0.0520008	0.0546857	0.056077	0.0818605	0.130019	0.246164	0.379193
</S>	0.034932	0.0308194	0.0411112	0.0678053	0.132858	0.342421	0.350053
