 	c'	est	un	bon	remède	pour	les	maux	de	ventre	</S>
a23	0.275854	0.193998	0.111953	0.0763264	0.0735586	0.0814312	0.0630253	0.0432399	0.0306202	0.0268704	0.0231235
a85	0.370635	0.221455	0.115738	0.0618183	0.0526234	0.0457526	0.0330639	0.0280211	0.022237	0.0243944	0.0242612
a87	0.159985	0.157123	0.153006	0.118311	0.0864353	0.0723174	0.0591802	0.0500537	0.0447263	0.048057	0.0508041
a23	0.151448	0.16185	0.158157	0.120845	0.0794566	0.0544397	0.0398465	0.0409974	0.0490798	0.0621673	0.0817127
a87	0.170237	0.150191	0.121857	0.0899814	0.0550287	0.0432419	0.0423131	0.0509354	0.0639944	0.0842855	0.127935
a23	0.126063	0.124075	0.11515	0.0942492	0.0623959	0.052137	0.0524314	0.067751	0.0804331	0.0991918	0.126123
a18	0.123742	0.11461	0.0923642	0.0783494	0.0497652	0.0493019	0.0586466	0.0823101	0.0960099	0.112532	0.142368
a24	0.274434	0.274122	0.201144	0.134657	0.0556129	0.0224359	0.0118321	0.00746946	0.00611612	0.00592528	0.00625144
a76	0.257343	0.257646	0.19764	0.136652	0.0736486	0.0363913	0.0149409	0.00816265	0.00625358	0.00581476	0.00550696
a94	0.146921	0.175564	0.193428	0.178414	0.120251	0.0688756	0.0365645	0.0265864	0.019956	0.0174659	0.015973
a38	0.150573	0.179587	0.188853	0.164467	0.130762	0.0793986	0.0373255	0.0238009	0.0167987	0.0146523	0.0137827
a73	0.123226	0.152101	0.170363	0.160382	0.145186	0.0985787	0.0538725	0.0340668	0.023441	0.0201171	0.0186655
a94	0.121217	0.131776	0.14375	0.148686	0.167052	0.125631	0.0669523	0.0348552	0.0227003	0.0194032	0.0179768
a76	0.0934308	0.105009	0.12175	0.134399	0.18286	0.1581	0.0842026	0.0426848	0.028502	0.025019	0.0240429
a94	0.102725	0.11785	0.132162	0.130939	0.166763	0.159918	0.0927564	0.041217	0.0226445	0.0172623	0.0157617
a57	0.0641057	0.0836468	0.117725	0.135587	0.17784	0.180905	0.105434	0.0481047	0.032029	0.027065	0.027558
a38	0.0196033	0.027569	0.0463761	0.0699632	0.128056	0.212075	0.175958	0.110497	0.0787795	0.0654902	0.0656322
a41	0.0327033	0.0404383	0.0633481	0.0880759	0.142891	0.19312	0.144476	0.0921066	0.0734293	0.062725	0.0666866
a27	0.038491	0.0420969	0.060214	0.0835463	0.162732	0.206687	0.160751	0.0861981	0.0615503	0.0499189	0.0478143
a25	0.014824	0.0164883	0.0224293	0.0332301	0.0796821	0.184477	0.208079	0.156738	0.111614	0.0869051	0.0855335
a87	0.0224235	0.025518	0.0340832	0.0497032	0.0992094	0.190171	0.177738	0.11428	0.0878262	0.0836961	0.115351
a99	0.00923427	0.0125843	0.0228107	0.0461785	0.0946124	0.141362	0.174355	0.152851	0.128175	0.106072	0.111765
a50	0.0161431	0.0180226	0.0288029	0.0550178	0.11436	0.150912	0.168059	0.119543	0.104695	0.0946934	0.129751
a98	0.0171148	0.0184266	0.0265455	0.0407911	0.08041	0.107267	0.12254	0.106733	0.133881	0.14784	0.198451
a0	0.02035	0.0215964	0.0264268	0.0399257	0.087891	0.142631	0.159163	0.127909	0.12048	0.11707	0.136558
a11	0.0138413	0.0168313	0.0242119	0.0396824	0.0781662	0.121562	0.142163	0.125317	0.13642	0.141956	0.159849
a90	0.0120909	0.0143122	0.0202084	0.033314	0.065983	0.112079	0.140926	0.140223	0.155373	0.15322	0.152272
a98	0.0194726	0.0208071	0.0241369	0.0317975	0.0590691	0.107168	0.155767	0.144445	0.143136	0.137087	0.157114
a70	0.0128435	0.0124211	0.0140844	0.0204008	0.0473722	0.0997284	0.147121	0.139302	0.150229	0.157634	0.198863
a4	0.0115426	0.0120294	0.0143271	0.0200761	0.0381168	0.0661562	0.105491	0.138544	0.173983	0.190054	0.229681
a13	0.0176843	0.0155358	0.0167704	0.0234272	0.0427508	0.0716505	0.103297	0.139792	0.179385	0.184521	0.205186
a9	0.00997432	0.00799234	0.00838874	0.0119763	0.025783	0.0514212	0.0806327	0.13363	0.190747	0.222473	0.256982
a53	0.00525863	0.00376147	0.00364353	0.00507699	0.0125058	0.0296433	0.0603728	0.12151	0.194722	0.251882	0.311624
a76	0.00575864	0.00337866	0.00311582	0.0040463	0.0109224	0.0250746	0.0478094	0.106285	0.185257	0.265935	0.342417
a69	0.00774876	0.00457373	0.00393997	0.00474117	0.0126401	0.0273577	0.046111	0.0900795	0.177426	0.246068	0.379314
a58	0.00188142	0.00153091	0.00179111	0.00284352	0.00902336	0.0211304	0.034537	0.0714377	0.164127	0.26933	0.422368
a84	0.00158993	0.000945441	0.000884294	0.00125167	0.00509714	0.0156352	0.0304345	0.0705083	0.164676	0.280082	0.428895
a87	0.00181164	0.000995123	0.00080816	0.00083267	0.00278296	0.00697148	0.0168631	0.0543517	0.143218	0.274466	0.496899
</S>	0.0080891	0.00467755	0.00332434	0.00236122	0.00635648	0.0101123	0.029291	0.0845945	0.178793	0.265073	0.407327
