 	cet	enfant	pisse	au	lit	</S>
a66	0.506569	0.361494	0.0779829	0.0270006	0.0130522	0.0139015
a87	0.710712	0.237854	0.0196169	0.0103686	0.00910254	0.0123456
a23	0.621909	0.220945	0.0402701	0.0269282	0.0366156	0.0533319
a53	0.427749	0.147785	0.0457482	0.0646809	0.11853	0.195507
a54	0.594855	0.271237	0.0528837	0.0290408	0.0249844	0.0269996
a79	0.337731	0.382383	0.154156	0.0587751	0.0359931	0.0309619
a37	0.233933	0.352313	0.257167	0.0917647	0.0341475	0.0306741
a6	0.247562	0.231844	0.238857	0.134284	0.0761509	0.0713019
a79	0.157453	0.254423	0.316483	0.131442	0.0673998	0.0728
a44	0.187708	0.262063	0.295365	0.123814	0.0679635	0.0630871
a90	0.169504	0.192413	0.265452	0.156099	0.104209	0.112323
a92	0.13847	0.180222	0.273221	0.182714	0.117798	0.107575
a85	0.0778978	0.126508	0.24778	0.202968	0.169529	0.175317
a6	0.0492325	0.0956327	0.21595	0.204688	0.206298	0.228198
a0	0.0303525	0.0596445	0.182139	0.241035	0.25535	0.231479
a11	0.00852758	0.0165348	0.0748179	0.177659	0.321304	0.401156
a62	0.00195715	0.0036025	0.026983	0.118756	0.309548	0.539153
a21	0.00160413	0.00307822	0.0183159	0.10409	0.320038	0.552873
a92	0.00100446	0.00244432	0.0133443	0.0702799	0.270238	0.642689
a37	0.000638261	0.00188398	0.0118371	0.0594333	0.232157	0.694051
a44	0.000562676	0.00152148	0.0108414	0.059552	0.237232	0.690291
a70	0.000778921	0.00231865	0.0148527	0.0748031	0.256101	0.651146
a13	0.00140102	0.00404802	0.0195605	0.0940786	0.283102	0.59781
a62	0.00314988	0.00718963	0.028417	0.112217	0.288587	0.56044
a88	0.00114692	0.00318531	0.0190693	0.0873411	0.282355	0.606902
a9	0.00167552	0.00563082	0.0269786	0.100792	0.272675	0.592248
a99	0.0212013	0.0332051	0.0738535	0.166369	0.295865	0.409507
a87	0.129346	0.101977	0.107376	0.156963	0.236599	0.267739
a23	0.402571	0.166819	0.0906466	0.0942739	0.116687	0.129003
a87	0.191111	0.0838337	0.0656134	0.0846582	0.190666	0.384117
</S>	0.0193551	0.0126969	0.0231852	0.045986	0.193508	0.705269
