 	je	n'	en	ai	vu	aucun	</S>
a23	0.3072	0.163423	0.138755	0.124388	0.115938	0.0797214	0.0705736
a10	0.383432	0.185726	0.111746	0.110986	0.0750135	0.0551023	0.077995
a87	0.236764	0.20467	0.162885	0.129123	0.075206	0.0674898	0.123862
a23	0.171637	0.172059	0.165635	0.162142	0.104182	0.0978658	0.126479
a13	0.252277	0.184425	0.153535	0.1272	0.0760289	0.0846518	0.121883
a24	0.40904	0.276528	0.171748	0.0799268	0.033845	0.0145049	0.0144082
a61	0.399396	0.293394	0.198559	0.0795198	0.0209628	0.00474392	0.00342388
a0	0.269631	0.265089	0.237742	0.140253	0.0554485	0.0180471	0.0137898
a75	0.217915	0.232043	0.22835	0.161078	0.0832987	0.0411069	0.0362082
a90	0.236827	0.239204	0.225044	0.158664	0.0853985	0.0320783	0.0227852
a9	0.226939	0.237481	0.228725	0.16364	0.0877084	0.032939	0.0225681
a75	0.178379	0.206351	0.221452	0.192551	0.114642	0.0494474	0.037179
a14	0.161833	0.191455	0.210838	0.197821	0.130479	0.0649981	0.0425768
a41	0.13163	0.158964	0.192687	0.212359	0.148973	0.0933782	0.062008
a43	0.12457	0.141967	0.174805	0.204775	0.162288	0.109503	0.0820917
a11	0.0957315	0.103087	0.12736	0.19948	0.234975	0.128155	0.111212
a75	0.0759714	0.0784741	0.0936648	0.155543	0.255868	0.184146	0.156333
a25	0.0825277	0.0829569	0.0978326	0.135494	0.186458	0.209779	0.204951
a90	0.0477256	0.0517556	0.0670786	0.109495	0.216377	0.265521	0.242047
a57	0.0578312	0.0563398	0.0648322	0.0904569	0.157674	0.28476	0.288106
a38	0.0224716	0.024185	0.030152	0.05119	0.119474	0.344207	0.408321
a90	0.0287282	0.026565	0.0304051	0.0443222	0.0893805	0.301855	0.478744
a25	0.0451609	0.0419001	0.0470324	0.064405	0.110994	0.285228	0.405279
a90	0.029262	0.0280086	0.0334775	0.0461927	0.0914597	0.301852	0.469748
a57	0.0310466	0.0278577	0.030198	0.0397323	0.070969	0.27601	0.524187
a40	0.00987456	0.0101955	0.012238	0.0204949	0.0416499	0.235457	0.67009
a98	0.0617318	0.0434091	0.0435108	0.0487582	0.0699881	0.221092	0.51151
a73	0.0279219	0.0202379	0.0208001	0.0239387	0.050479	0.220527	0.636095
a44	0.013469	0.0119932	0.0135339	0.0185725	0.0423136	0.209752	0.690365
a84	0.0111563	0.0100404	0.0110458	0.0178354	0.0398429	0.206975	0.703104
a87	0.00647723	0.00597864	0.00689796	0.0146912	0.0355287	0.21364	0.716786
a23	0.0268336	0.019298	0.0195925	0.0326637	0.0691471	0.268731	0.563734
a87	0.0365778	0.025	0.0219571	0.0315058	0.0557467	0.248716	0.580497
</S>	0.021033	0.0157129	0.0160372	0.0257889	0.0663905	0.272242	0.582796
