 	je	ne	me	sens	pas	bien	</S>
a66	0.295528	0.182566	0.169558	0.153863	0.101679	0.0575645	0.0392416
a87	0.354988	0.239195	0.160497	0.102006	0.0583383	0.0455812	0.0393951
a23	0.494673	0.258106	0.0918427	0.0396068	0.0284189	0.0405982	0.0467546
a18	0.501696	0.236815	0.0961999	0.0470571	0.0275514	0.0363518	0.054329
a83	0.322865	0.19542	0.106861	0.0787308	0.0768743	0.100305	0.118944
a54	0.340805	0.242469	0.151995	0.0699374	0.0509451	0.0712815	0.0725669
a44	0.210748	0.219349	0.21783	0.134588	0.0751811	0.0736794	0.0686246
a70	0.146051	0.179992	0.207256	0.138503	0.0933534	0.108099	0.126746
a93	0.143979	0.187867	0.211426	0.130681	0.0890781	0.104276	0.132692
a56	0.124955	0.169346	0.211049	0.14947	0.102281	0.108319	0.13458
a93	0.106397	0.142195	0.18544	0.167097	0.1286	0.122747	0.147524
a99	0.0752703	0.131532	0.194574	0.181194	0.136601	0.128551	0.152277
a93	0.0619171	0.116287	0.187672	0.174312	0.123089	0.138233	0.19849
a70	0.0709688	0.109848	0.18215	0.205786	0.148305	0.125554	0.157389
a62	0.0277046	0.0393855	0.0821483	0.16412	0.183029	0.209991	0.293622
a83	0.0211432	0.0263068	0.0543349	0.139139	0.182466	0.237632	0.338979
a99	0.0104564	0.013472	0.029585	0.0999867	0.177007	0.275655	0.393838
a18	0.00252316	0.00329838	0.00745537	0.0364346	0.115496	0.309922	0.524871
a44	0.00373899	0.00390756	0.00642543	0.0342869	0.13726	0.321416	0.492965
a40	0.000724178	0.000933785	0.00203548	0.0157544	0.0845738	0.304816	0.591162
a7	0.000479604	0.000722046	0.00178696	0.0132875	0.0669844	0.285366	0.631373
a26	0.000257374	0.000330365	0.000707797	0.00580063	0.0414032	0.248595	0.702905
a57	0.0162152	0.0107132	0.0110468	0.023347	0.0757319	0.245433	0.617513
a87	0.181764	0.0749253	0.0403635	0.0392849	0.0741772	0.189443	0.400042
a23	0.333421	0.147541	0.0703324	0.0472516	0.0634545	0.126923	0.211077
a87	0.245446	0.117943	0.0558182	0.0510325	0.0838861	0.178438	0.267437
a23	0.0865948	0.0578469	0.0377378	0.0548929	0.103649	0.236564	0.422714
a87	0.134805	0.0876077	0.0535293	0.0658673	0.110674	0.208791	0.338726
</S>	0.106122	0.0772358	0.0513148	0.0691234	0.0997971	0.223826	0.372581
