 	j'	ai	mangé	du	riz	hier	</S>
a66	0.576821	0.203856	0.0689271	0.0312545	0.0444321	0.0394746	0.0352344
a87	0.66237	0.2161	0.0644662	0.0250659	0.0143837	0.00801624	0.00959764
a23	0.567988	0.263845	0.0765992	0.0334969	0.0241268	0.0149497	0.0189939
a83	0.478906	0.298331	0.0943632	0.0280605	0.0198782	0.0266767	0.0537839
a11	0.365256	0.267087	0.14819	0.064094	0.0438187	0.0449763	0.0665782
a31	0.382535	0.342538	0.200286	0.0403817	0.0133957	0.00978091	0.0110818
a12	0.193038	0.34463	0.334528	0.0806243	0.0230366	0.0125107	0.0116325
a31	0.148969	0.271209	0.364647	0.133222	0.0411647	0.0209528	0.0198349
a21	0.108769	0.19339	0.338295	0.211151	0.082483	0.0359006	0.0300116
a75	0.101486	0.144824	0.241933	0.235954	0.149922	0.0714306	0.0544511
a92	0.0500525	0.0832422	0.152232	0.199103	0.200077	0.165889	0.149405
a56	0.0447348	0.0571155	0.0894451	0.182414	0.245029	0.200359	0.180903
a75	0.033351	0.0308097	0.0361123	0.0969482	0.310347	0.251517	0.240914
a47	0.0104591	0.00988579	0.0160055	0.0672785	0.280679	0.298605	0.317087
a7	0.00304799	0.00200781	0.00346291	0.0179267	0.180825	0.307645	0.485085
a93	0.0011897	0.000810074	0.00135234	0.00732949	0.0748562	0.273468	0.640994
a69	0.0019865	0.00111374	0.00130023	0.00708284	0.081605	0.309291	0.597621
a58	0.000566692	0.000297055	0.000432239	0.00309933	0.0535666	0.295482	0.646556
a82	0.000812533	0.000578097	0.00103172	0.00471541	0.0531509	0.243129	0.696582
a87	0.101553	0.0515341	0.0401227	0.0487301	0.0957026	0.19039	0.471968
a23	0.572264	0.209775	0.0532463	0.0358312	0.0392765	0.0401309	0.0494752
a87	0.226416	0.0868054	0.0253912	0.0316249	0.112824	0.236738	0.280201
</S>	0.0370371	0.0183142	0.010274	0.0214801	0.0929781	0.309437	0.510479
