 	cette	année	le	riz	n'	a	pas	donné	beaucoup	</S>
a23	0.276945	0.174153	0.119714	0.095734	0.101436	0.0931587	0.0531123	0.0366573	0.0254174	0.0236726
a83	0.353668	0.154586	0.093708	0.0705852	0.0817899	0.0729062	0.0480276	0.0454455	0.0390219	0.0402615
a75	0.287333	0.19373	0.127477	0.0698389	0.0563554	0.0455062	0.0401595	0.046171	0.0528114	0.0806172
a5	0.396644	0.219121	0.155515	0.0817399	0.050008	0.0333419	0.0220102	0.0167765	0.0122933	0.0125496
a36	0.36616	0.242324	0.19253	0.0964571	0.0452231	0.0203693	0.00965572	0.00806411	0.00839423	0.0108226
a75	0.231124	0.200918	0.221073	0.161771	0.0750367	0.0334804	0.0184684	0.0167878	0.0185143	0.0228265
a85	0.214637	0.177318	0.196841	0.151523	0.0883951	0.0485769	0.0302605	0.0260277	0.0290534	0.0373677
a75	0.158556	0.167612	0.173561	0.15298	0.100457	0.0649943	0.0463023	0.0386429	0.0427289	0.0541657
a85	0.130424	0.146938	0.16426	0.162211	0.113248	0.0779064	0.0609477	0.0471395	0.0447758	0.0521492
a5	0.0661946	0.0938832	0.100665	0.125999	0.11119	0.0978091	0.102943	0.0956892	0.0950379	0.110589
a21	0.115061	0.145942	0.129855	0.145977	0.129932	0.0912691	0.0663704	0.0516121	0.0553053	0.0686752
a75	0.125954	0.130793	0.10971	0.111893	0.117496	0.102047	0.0839769	0.0651263	0.0689675	0.0840361
a92	0.0923208	0.0924911	0.0722222	0.0706695	0.0804696	0.093495	0.118522	0.106283	0.119239	0.154288
a43	0.0789739	0.0846948	0.0707796	0.0761525	0.0932967	0.100224	0.118346	0.100485	0.116188	0.160859
a62	0.0636776	0.0682836	0.0612775	0.0731736	0.110576	0.138929	0.13942	0.101205	0.103584	0.139873
a88	0.0513809	0.0503746	0.0498738	0.0628847	0.0987637	0.138767	0.181766	0.137975	0.109269	0.118946
a62	0.0275056	0.0290133	0.0303131	0.0437433	0.0724842	0.114436	0.175124	0.169598	0.161466	0.176317
a70	0.0189739	0.0204598	0.0227465	0.0343535	0.0614774	0.106757	0.184962	0.192091	0.17971	0.178469
a0	0.00730023	0.00843519	0.0089723	0.0149325	0.0273783	0.0497753	0.102898	0.164435	0.261016	0.354857
a43	0.00317245	0.00376997	0.00386226	0.00567424	0.0107963	0.0246658	0.062599	0.13673	0.287405	0.461325
a62	0.00158082	0.00188007	0.00201289	0.00322081	0.00700425	0.0176046	0.0491357	0.126691	0.289451	0.501419
a31	0.00232121	0.00286668	0.00322658	0.0056391	0.0114728	0.02497	0.0581346	0.125106	0.285092	0.481171
a62	0.00162901	0.00198664	0.00217128	0.00347182	0.00713802	0.0177118	0.0485271	0.115114	0.28808	0.51417
a88	0.00126013	0.00153195	0.00161511	0.00248333	0.00503493	0.0124996	0.0356398	0.0999463	0.286017	0.553971
a9	0.00402115	0.00429809	0.00412103	0.00496059	0.00918015	0.0190631	0.0508892	0.132366	0.285796	0.485305
a38	0.0215976	0.0164367	0.0120088	0.0111436	0.0149234	0.026974	0.0644131	0.142254	0.259981	0.430268
a75	0.0243397	0.0151215	0.0114934	0.0102229	0.0126934	0.0235433	0.052423	0.126302	0.268684	0.455176
a35	0.00228299	0.00185122	0.00177711	0.00209212	0.00405813	0.00928402	0.0275739	0.0885852	0.279806	0.582689
a2	0.000399601	0.0004044	0.00052172	0.000792806	0.00189003	0.00552125	0.0224529	0.0809783	0.271507	0.615532
a57	0.00338916	0.00364334	0.00373606	0.00416242	0.0069763	0.0147597	0.0469532	0.125091	0.28656	0.504729
a87	0.065442	0.0446933	0.0296821	0.0232113	0.0295392	0.0469169	0.0826011	0.153102	0.227974	0.296837
a23	0.146959	0.100383	0.0570464	0.0364761	0.0370003	0.0513982	0.0781728	0.133014	0.170773	0.188777
a87	0.0259904	0.0180229	0.0153189	0.0171327	0.0323878	0.0614873	0.114862	0.19467	0.248328	0.2718
</S>	0.00588788	0.00564296	0.00563284	0.00857439	0.0215871	0.0444516	0.0857649	0.165302	0.2722	0.384957
