 	il	allonge	ses	pieds	sous	la	table	</S>
a23	0.369469	0.275581	0.108214	0.0877764	0.043886	0.0375872	0.039918	0.0375688
a53	0.277223	0.30598	0.130404	0.0733364	0.0487325	0.0543357	0.0514656	0.0585233
a20	0.234386	0.346626	0.150338	0.0921369	0.0608478	0.0532421	0.0353292	0.0270939
a35	0.455499	0.393221	0.076749	0.0368747	0.0163949	0.0111732	0.00662579	0.00346218
a30	0.347762	0.446758	0.102367	0.0532877	0.0240265	0.0136998	0.0073979	0.00470218
a35	0.363776	0.409459	0.124127	0.0629142	0.0197402	0.00893211	0.00631454	0.00473758
a11	0.32701	0.29489	0.179796	0.102742	0.0483268	0.0242113	0.0130525	0.00997123
a75	0.283619	0.278337	0.206754	0.122821	0.0560431	0.0249615	0.0148521	0.0126127
a41	0.222986	0.263807	0.228006	0.143992	0.0695373	0.0362406	0.0194422	0.0159899
a35	0.176226	0.258265	0.252527	0.158157	0.0699159	0.0388803	0.0249165	0.0211137
a66	0.132373	0.208681	0.289515	0.186903	0.08716	0.0456238	0.0272371	0.0225071
a54	0.0600755	0.139225	0.252779	0.206896	0.144203	0.0844294	0.0539037	0.0584896
a30	0.0900265	0.189399	0.192179	0.124433	0.0868674	0.0902409	0.108559	0.118295
a14	0.098113	0.171138	0.235895	0.183559	0.103564	0.0746649	0.0660899	0.0669756
a44	0.0866635	0.104238	0.157488	0.152396	0.12329	0.109792	0.119148	0.146985
a57	0.0537187	0.0979982	0.133452	0.141802	0.137304	0.133213	0.136424	0.166087
a53	0.0174072	0.0355768	0.103612	0.138067	0.171633	0.175212	0.156197	0.202295
a90	0.0123074	0.0343652	0.08023	0.0883753	0.129123	0.164005	0.20009	0.291504
a57	0.0129566	0.0223236	0.044444	0.0595251	0.114332	0.183502	0.240433	0.322483
a10	0.00481854	0.0145697	0.0345037	0.0479382	0.100536	0.169416	0.247256	0.380962
a11	0.00253933	0.00882667	0.0265487	0.0386791	0.0881242	0.165234	0.270122	0.399926
a75	0.00230671	0.00593971	0.0197035	0.0288125	0.0753938	0.152132	0.279652	0.436059
a14	0.00300833	0.00731748	0.0180578	0.0240497	0.0622742	0.145787	0.286638	0.452867
a35	0.00583769	0.0155631	0.0337124	0.0356655	0.0652002	0.143914	0.27675	0.423357
a41	0.00500036	0.0116289	0.0337362	0.0333511	0.0629144	0.136492	0.29984	0.417037
a43	0.0106049	0.017544	0.0352816	0.0387243	0.0714169	0.141602	0.286621	0.398205
a54	0.0019346	0.00328474	0.00885402	0.0106229	0.0330207	0.0990798	0.301523	0.541681
a14	0.00487339	0.00807448	0.0185073	0.0204661	0.0498962	0.117857	0.29576	0.484566
a30	0.00368167	0.00740617	0.0223103	0.0253706	0.0546111	0.12619	0.296772	0.463658
a7	0.00449966	0.00885589	0.0197532	0.018658	0.0377946	0.102199	0.290343	0.517897
a57	0.000879387	0.0027217	0.0133548	0.0174313	0.0559189	0.146187	0.314014	0.449492
a87	0.001274	0.00250196	0.00971915	0.0144516	0.0524815	0.147745	0.306053	0.465774
</S>	0.00194198	0.00334952	0.0108959	0.017649	0.0571118	0.166055	0.301307	0.44169
